TAXAID,COMMONNAME,FAMILY,newFAMILY,GENUS,BCG_ATTR,BCGATTR_ROMAN,BCG_ATTR2,BCG_ATTR2_ROMAN,BCG_NUM,NATIVE,TROPHIC,HABITAT,REPRODUCTION,TYPE,SCC,SCC_Summary,USGS_range,Thermal_indicator,CONNECTIVITY
ETHEOSTOMA NIGRUM,JOHNNY DARTER,PERCIDAE,,ETHEOSTOMA,4,IV,4_BETTER,IVa,4,NATIVE,IV,B,COMPLEX NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=814,cowa,FALSE
FUNDULUS CATENATUS,NORTHERN STUDFISH,FUNDULIDAE,,FUNDULUS,3,III,3_BETTER,IIIa,3,NATIVE,IV,W,BROADCASTER; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=683,cowa,FALSE
FUNDULUS OLIVACEUS,BLACKSPOTTED TOPMINNOW,FUNDULIDAE,,FUNDULUS,4,IV,4_BETTER,IVa,4,NATIVE,IV,F;W,BROADCASTER,,FALSE,,,cowa,FALSE
HYBOGNATHUS HANKINSONI,BRASSY MINNOW,CYPRINIDAE,LEUCISCIDAE,HYBOGNATHUS,4,IV,4_BETTER,IVa,4,NATIVE,HB,F,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=544,cowa,FALSE
LUXILUS CORNUTUS,COMMON SHINER,CYPRINIDAE,LEUCISCIDAE,LUXILUS,4,IV,4_BETTER,IVa,4,NATIVE,OM,F;W,SIMPLE NEST; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=563,cowa,FALSE
LUXILUS ZONATUS,BLEEDING SHINER,CYPRINIDAE,LEUCISCIDAE,LUXILUS,3,III,3_MIDDLE,III,3,NATIVE,IV,F;W,,,FALSE,,,cowa,FALSE
LYTHRURUS UMBRATILIS,REDFIN SHINER,CYPRINIDAE,LEUCISCIDAE,LYTHRURUS,3,III,3_BETTER,IIIa,3,NATIVE,IV,F;W,SIMPLE NEST,,FALSE,,,cowa,FALSE
MOXOSTOMA DUQUESNII,BLACK REDHORSE,CATOSTOMIDAE,,MOXOSTOMA,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,BROADCASTER; MIGRATORY; LITHOPHIL,,TRUE,SCC_Thrtnd,,cowa,FALSE
MOXOSTOMA MACROLEPIDOTUM,SHORTHEAD REDHORSE,CATOSTOMIDAE,,MOXOSTOMA,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,BROADCASTER; MIGRATORY; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=366,cowa,FALSE
NOCOMIS BIGUTTATUS,HORNYHEAD CHUB,CYPRINIDAE,LEUCISCIDAE,NOCOMIS,3,III,3_BETTER,IIIa,3,NATIVE,OM,F;W,LITHOPHIL,,TRUE,SCC_Thrtnd,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=574,cowa,FALSE
NOTEMIGONUS CRYSOLEUCAS,GOLDEN SHINER,CYPRINIDAE,LEUCISCIDAE,NOTEMIGONUS,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,W,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=579,cowa,FALSE
NOTROPIS NUBILUS,OZARK MINNOW,CYPRINIDAE,LEUCISCIDAE,NOTROPIS,3,III,3_BETTER,IIIa,3,NATIVE,HB,F,SIMPLE NEST; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=603,cowa,FALSE
NOTROPIS PERCOBROMUS,CARMINE SHINER,CYPRINIDAE,LEUCISCIDAE,NOTROPIS,3,III,3_BETTER,IIIa,3,NATIVE,OM,F;W,LITHOPHIL,,FALSE,,,cowa,FALSE
NOTURUS EXILIS,SLENDER MADTOM,ICTALURIDAE,,NOTURUS,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,B;F,COMPLEX NEST,,TRUE,Endangered,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=744,cowa,FALSE
PERCA FLAVESCENS,YELLOW PERCH,PERCIDAE,,PERCA,4,IV,4_WORSE,IVb,4.5,NATIVE,TC,W,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=820,cowa,FALSE
PERCINA FULVITAENIA,OZARK LOGPERCH,PERCIDAE,,PERCINA,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,B,LITHOPHIL,,FALSE,,,cowa,FALSE
PERCINA MACULATA,BLACKSIDE DARTER,PERCIDAE,,PERCINA,4,IV,4_BETTER,IVa,4,NATIVE,IV,B,BROADCASTER; MIGRATORY; LITHOPHIL,,TRUE,SCC_Thrtnd,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=823,cowa,FALSE
CHROSOMUS,DACE,CYPRINIDAE,LEUCISCIDAE,CHROSOMUS,4,IV,4_BETTER,IVa,4,NATIVE,OM,,,,FALSE,,,cool,FALSE
CHROSOMUS ERYTHROGASTER,SOUTHERN REDBELLY DACE,CYPRINIDAE,LEUCISCIDAE,CHROSOMUS,3,III,3_BETTER,IIIa,3,NATIVE,HB,F,BROADCASTER; LITHOPHIL,,FALSE,,,cool,FALSE
CULAEA INCONSTANS,BROOK STICKLEBACK,GASTEROSTEIDAE,,CULAEA,4,IV,4_BETTER,IVa,4,NATIVE,IV,W,COMPLEX NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=701,cool,FALSE
ETHEOSTOMA FLABELLARE,FANTAIL DARTER,PERCIDAE,,ETHEOSTOMA,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,COMPLEX NEST,,FALSE,,,cool,FALSE
HYBOPSIS DORSALIS,BIGMOUTH SHINER,CYPRINIDAE,LEUCISCIDAE,HYBOPSIS,4,IV,4_BETTER,IVa,4,NATIVE,IV,F,BROADCASTER,,FALSE,,,cool,FALSE
HYPENTELIUM NIGRICANS,NORTHERN HOG SUCKER,CATOSTOMIDAE,,HYPENTELIUM,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,BROADCASTER; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=360,cool,FALSE
LETHENTERON APPENDIX,AMERICAN BROOK LAMPREY,PETROMYZONTIDAE,,LETHENTERON,3,III,3_BETTER,IIIa,3,NATIVE,OM,F,LITHOPHIL,NPL,TRUE,Threatened,,cool,FALSE
MICROPTERUS DOLOMIEU,SMALLMOUTH BASS,CENTRARCHIDAE,,MICROPTERUS,3,III,3_BETTER,IIIa,3,NATIVE,TC,W,COMPLEX NEST; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=396,cool,FALSE
RHINICHTHYS ATRATULUS,EASTERN BLACKNOSE DACE,CYPRINIDAE,LEUCISCIDAE,RHINICHTHYS,3,III,3_MIDDLE,III,3,NATIVE,OM,F,LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=637,cool,FALSE
RHINICHTHYS CATARACTAE,LONGNOSE DACE,CYPRINIDAE,LEUCISCIDAE,RHINICHTHYS,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,BROADCASTER; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=638,cool,FALSE
RHINICHTHYS OBTUSUS,WESTERN BLACKNOSE DACE,CYPRINIDAE,LEUCISCIDAE,RHINICHTHYS,4,IV,4_BETTER,IVa,4,NATIVE,OM,F,SIMPLE NEST; LITHOPHIL,,FALSE,,,cool,FALSE
UMBRA LIMI,CENTRAL MUDMINNOW,UMBRIDAE,,UMBRA,5,V,5_MIDDLE,V,5,NATIVE,IV,,COMPLEX NEST,,TRUE,Endangered,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=977,cool,FALSE
CATOSTOMUS CATOSTOMUS,LONGNOSE SUCKER,CATOSTOMIDAE,,CATOSTOMUS,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=345,cold,FALSE
COTTUS BAIRDII,MOTTLED SCULPIN,COTTIDAE,,COTTUS,3,III,3_MIDDLE,III,3,NATIVE,IV,B;F,COMPLEX NEST; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=502,cold,FALSE
COTTUS COGNATUS,SLIMY SCULPIN,COTTIDAE,,COTTUS,2,II,2_MIDDLE,II,2,NATIVE,IV,B;F,COMPLEX NEST; LITHOPHIL,,FALSE,,,cold,FALSE
ONCHORHYNCHUS CLARKI,CUTTHROAT TROUT,SALMONIDAE,,ONCHORHYNCHUS,2,II,2_MIDDLE,II,2,NON_NATIVE,TC,,LITHOPHIL,,FALSE,,,cold,FALSE
ONCORHYNCHUS KISUTCH,COHO SALMON,SALMONIDAE,,ONCORHYNCHUS,,,,,,NON_NATIVE,IV,W,SIMPLE NEST; MIGRATORY; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=908,cold,FALSE
ONCORHYNCHUS MYKISS,RAINBOW TROUT,SALMONIDAE,,ONCORHYNCHUS,3,III,3_BETTER,IIIa,3,NON_NATIVE,TC,W,SIMPLE NEST; MIGRATORY; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=910,cold,FALSE
SALMO TRUTTA,BROWN TROUT,SALMONIDAE,,SALMO,3,III,3_BETTER,IIIa,3,NON_NATIVE,TC,W,SIMPLE NEST; MIGRATORY; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=931,cold,FALSE
SALVELINUS FONTINALIS,BROOK TROUT,SALMONIDAE,,SALVELINUS,3,III,3_BETTER,IIIa,3,NON_NATIVE,TC,W,SIMPLE NEST; MIGRATORY; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=939,cold,FALSE
ALOSA CHRYSOCHLORIS,SKIPJACK HERRING,CLUPEIDAE,ALOSIDAE (SHADS),ALOSA,4,IV,4_BETTER,IVa,4,NATIVE,TC,W,BROADCASTER; MIGRATORY,,TRUE,Endangered,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=489,,FALSE
ALOSA PSEUDOHARENGUS,ALEWIFE,CLUPEIDAE,ALOSIDAE (SHADS),ALOSA,3,III,3_MIDDLE,III,3,NATIVE,IV,F;W,BROADCASTER; MIGRATORY,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=490,,FALSE
AMBLOPLITES ARIOMMUS,SHADOW BASS,CENTRARCHIDAE,,AMBLOPLITES,3,III,3_MIDDLE,III,3,NATIVE,TC,F;W,COMPLEX NEST; LITHOPHIL,,FALSE,,,,FALSE
AMBLOPLITES CONSTELLATUS,OZARK BASS,CENTRARCHIDAE,,AMBLOPLITES,3,III,3_MIDDLE,III,3,NATIVE,TC,F;W,COMPLEX NEST; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=372,,FALSE
AMEIURUS NEBULOSUS,BROWN BULLHEAD,ICTALURIDAE,,AMEIURUS,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,,COMPLEX NEST,,FALSE,,,,FALSE
AMIA CALVA,BOWFIN,AMIIDAE,,AMIA,4,IV,4_BETTER,IVa,4,NATIVE,TC,W,COMPLEX NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=305,,FALSE
AMMOCRYPTA CLARA,WESTERN SAND DARTER,PERCIDAE,,AMMOCRYPTA,,,,,,NATIVE,IV,B;F,BROADCASTER; LITHOPHIL,,TRUE,SCC_Thrtnd,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=806,,FALSE
AMMOCRYPTA VIVAX,SCALY SAND DARTER,PERCIDAE,,AMMOCRYPTA,3,III,3_MIDDLE,III,3,NATIVE,IV,B;F,,,FALSE,,,,FALSE
APHREDODERUS SAYANUS,PIRATE PERCH,APHREDODERIDAE,,APHREDODERUS,4,IV,4_BETTER,IVa,4,NATIVE,IV,W,COMPLEX NEST; BEARER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=313,,FALSE
ATRACTOSTEUS SPATULA,ALLIGATOR GAR,LEPISOSTEIDAE,,ATRACTOSTEUS,4,IV,4_BETTER,IVa,4,NATIVE,TC,W,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=755,,FALSE
CAMPOSTOMA ANOMALUM X RHINICHTHYS ATRATULUS,CENTRAL STONEROLLER X BLACKNOSE DACE,CYPRINIDAE,LEUCISCIDAE,CAMPOSTOMA,,,,,,NATIVE,OM,F,,,FALSE,,,,FALSE
CARASSIUS AURATUS,GOLDFISH,CYPRINIDAE,CYPRINIDAE,CARASSIUS,4,IV,4_WORSE,IVb,4.5,NON_NATIVE,OM,,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=508,,FALSE
CARPIODES CYPRINUS,QUILLBACK,CATOSTOMIDAE,,CARPIODES,4,IV,4_BETTER,IVa,4,NATIVE,OM,,BROADCASTER; MIGRATORY; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=342,,FALSE
CARPIODES VELIFER,HIGHFIN CARPSUCKER,CATOSTOMIDAE,,CARPIODES,3,III,3_WORSE,IIIb,3.5,NATIVE,OM,F,BROADCASTER; MIGRATORY; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=343,,FALSE
CENTRARCHUS MACROPTERUS,FLIER,CENTRARCHIDAE,,CENTRARCHUS,4,IV,4_BETTER,IVa,4,NATIVE,IV,F;W,COMPLEX NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=375,,FALSE
CHROSOMUS EOS,NORTHERN REDBELLY DACE,CYPRINIDAE,LEUCISCIDAE,CHROSOMUS,4,IV,4_BETTER,IVa,4,NATIVE,OM,,BROADCASTER,,TRUE,Endangered,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=618,,FALSE
CHROSOMUS NEOGAEUS,FINESCALE DACE,CYPRINIDAE,LEUCISCIDAE,CHROSOMUS,2,II,2_MIDDLE,II,2,NATIVE,IV,F,BROADCASTER,,TRUE,Endangered,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=2556,,FALSE
CLINOSTOMUS ELONGATUS,REDSIDE DACE,CYPRINIDAE,LEUCISCIDAE,CLINOSTOMUS,,,,,,NATIVE,OM,W,SIMPLE NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=510,,FALSE
COTTUS,SCULPIN,COTTIDAE,,COTTUS,3,III,3_MIDDLE,III,3,NATIVE,IV,B;F,,,FALSE,,,,FALSE
COTTUS HYPSELURUS,OZARK SCULPIN,COTTIDAE,,COTTUS,3,III,3_MIDDLE,III,3,NATIVE,IV,B;F,LITHOPHIL,,FALSE,,,,FALSE
COTTUS IMMACULATUS,KNOBFIN SCULPIN,COTTIDAE,,COTTUS,3,III,3_MIDDLE,III,3,NATIVE,OM,F,LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=3231,,FALSE
COTTUS SPECUS,GROTTO SCULPIN,COTTIDAE,,COTTUS,,,,,,NATIVE,OM,F,LITHOPHIL,,TRUE,SCC_E_Endmc,,,FALSE
CRYSTALLARIA ASPRELLA,CRYSTAL DARTER,PERCIDAE,,CRYSTALLARIA,,,,,,,,,,,,,,,FALSE
CTENOPHARYNGODON IDELLA,GRASS CARP,CYPRINIDAE,XENOCYPRIDIDAE,CTENOPHARYNGODON,4,IV,4_WORSE,IVb,4.5,NON_NATIVE,HB,W,BROADCASTER; MIGRATORY,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=514,,FALSE
CYPRINELLA CAMURA,BLUNTFACE SHINER,CYPRINIDAE,LEUCISCIDAE,CYPRINELLA,4,IV,4_BETTER,IVa,4,NATIVE,IV,F;W,SIMPLE NEST,,FALSE,,,,FALSE
CYPRINELLA GALACTURA,WHITETAIL SHINER,CYPRINIDAE,LEUCISCIDAE,CYPRINELLA,3,III,3_MIDDLE,III,3,NATIVE,IV,F;W,SIMPLE NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=517,,FALSE
CYPRINELLA LUTRENSIS X SPILOPTERA,RED SHINER X SPOTFIN SHINER,CYPRINIDAE,,CYPRINELLA,,,,,,,,,,,,,,,FALSE
CYPRINIDAE HYBRID,CYPRINIDAE HYBRID,CYPRINIDAE,,CYPRINIDAE,,,,,,,,,,,,,,,FALSE
CYPRINODON RUBROFLUVIATILIS,RED RIVER PUPFISH,CYPRINODONTIDAE,,CYPRINODON,4,IV,4_BETTER,IVa,4,NATIVE,OM,,,SALT,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=660,,FALSE
DOROSOMA PETENENSE,THREADFIN SHAD,CLUPEIDAE,DOROSOMATIDAE,DOROSOMA,4,IV,4_WORSE,IVb,4.5,NON_NATIVE,OM,W,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=493,,FALSE
ELASSOMA ZONATUM,BANDED PYGMY SUNFISH,ELASSOMATIDAE,,ELASSOMA,3,III,3_MIDDLE,III,3,NATIVE,IV,W,COMPLEX NEST,,FALSE,,,,FALSE
ERIMYSTAX HARRYI,OZARK CHUB,CYPRINIDAE,LEUCISCIDAE,ERIMYSTAX,3,III,3_MIDDLE,III,3,NATIVE,OM,F,LITHOPHIL,,FALSE,,,,FALSE
ERIMYSTAX X-PUNCTATUS,GRAVEL CHUB,CYPRINIDAE,LEUCISCIDAE,ERIMYSTAX,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,BROADCASTER; LITHOPHIL,,TRUE,SCC_Thrtnd,,,FALSE
ERIMYZON CLAVIFORMIS,WESTERN CREEK CHUBSUCKER,CATOSTOMIDAE,,ERIMYZON,3,III,3_MIDDLE,III,3,NATIVE,OM,F;W,LITHOPHIL,,FALSE,,,,FALSE
ERIMYZON OBLONGUS,CREEK CHUBSUCKER,CATOSTOMIDAE,,ERIMYZON,4,IV,4_BETTER,IVa,4,NATIVE,OM,F;W,BROADCASTER; MIGRATORY; LITHOPHIL,,FALSE,,,,FALSE
ERIMYZON SUCETTA,LAKE CHUBSUCKER,CATOSTOMIDAE,,ERIMYZON,4,IV,4_BETTER,IVa,4,NATIVE,OM,W,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=358,,FALSE
ESOX AMERICANUS,REDFIN OR GRASS PICKEREL,ESOCIDAE,,ESOX,3,III,3_BETTER,IIIa,3,NATIVE,TC,W,,,TRUE,Threatened,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=1421,,FALSE
ESOX MASQUINONGY,MUSKELLUNGE,ESOCIDAE,,ESOX,3,III,3_WORSE,IIIb,3.5,NATIVE,TC,W,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=679,,FALSE
ESOX NIGER,CHAIN PICKEREL,ESOCIDAE,,ESOX,4,IV,4_BETTER,IVa,4,NATIVE,TC,W,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=681,,FALSE
ETHEOSTOMA ARTESIAE,REDSPOT DARTER,PERCIDAE,,ETHEOSTOMA,3,III,3_MIDDLE,III,3,NATIVE,IV,B;F,LITHOPHIL,,FALSE,,,,FALSE
ETHEOSTOMA ASPRIGENE,MUD DARTER,PERCIDAE,,ETHEOSTOMA,4,IV,4_BETTER,IVa,4,NATIVE,IV,B,COMPLEX NEST,,FALSE,,,,FALSE
ETHEOSTOMA AUTUMNALE,AUTUMN DARTER,PERCIDAE,,ETHEOSTOMA,,,,,,NATIVE,OM,,,,FALSE,,,,FALSE
ETHEOSTOMA BURRI,BROOK DARTER,PERCIDAE,,ETHEOSTOMA,,,,,,NATIVE,IV,B;F,LITHOPHIL,,FALSE,,,,FALSE
ETHEOSTOMA CHLOROSOMA,BLUNTNOSE DARTER,PERCIDAE,,ETHEOSTOMA,3,III,3_BETTER,IIIa,3,NATIVE,IV,B,COMPLEX NEST,,TRUE,SCC_Endngrd,,,FALSE
ETHEOSTOMA COLLETTEI,CREOLE DARTER,PERCIDAE,,ETHEOSTOMA,,,,,,NATIVE,IV,B;F,LITHOPHIL,,FALSE,,,,FALSE
ETHEOSTOMA ERYTHROZONUM,MERAMEC SADDLED DARTER,PERCIDAE,,ETHEOSTOMA,,,,,,NATIVE,OM,F,LITHOPHIL,,FALSE,,,,FALSE
ETHEOSTOMA EUZONUM,ARKANSAS SADDLED DARTER,PERCIDAE,,ETHEOSTOMA,,,,,,NATIVE,IV,B;F,LITHOPHIL,,FALSE,,,,FALSE
ETHEOSTOMA EXILE,IOWA DARTER,PERCIDAE,,ETHEOSTOMA,4,IV,4_BETTER,IVa,4,NATIVE,IV,B,COMPLEX NEST; MIGRATORY,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=812,,FALSE
ETHEOSTOMA FLABELLARE FLABELLARE,BARRED FANTAIL DARTER,PERCIDAE,,ETHEOSTOMA,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,LITHOPHIL,,FALSE,,,,FALSE
ETHEOSTOMA FLABELLARE LINEOLATUM,STRIPED FANTAIL DARTER,PERCIDAE,,ETHEOSTOMA,3,III,3_MIDDLE,III,3,NATIVE,IV,B;F,,,FALSE,,,,FALSE
ETHEOSTOMA FUSIFORME,SWAMP DARTER,PERCIDAE,,ETHEOSTOMA,,,,,,,,,,,,,,,FALSE
ETHEOSTOMA GRACILE,SLOUGH DARTER,PERCIDAE,,ETHEOSTOMA,4,IV,4_BETTER,IVa,4,NATIVE,IV,B,COMPLEX NEST,,FALSE,,,,FALSE
ETHEOSTOMA HISTRIO,HARLEQUIN DARTER,PERCIDAE,,ETHEOSTOMA,3,III,3_MIDDLE,III,3,NATIVE,IV,B;F,COMPLEX NEST,,TRUE,Endangered,,,FALSE
ETHEOSTOMA MICROPERCA,LEAST DARTER,PERCIDAE,,ETHEOSTOMA,3,III,3_BETTER,IIIa,3,NATIVE,IV,B,COMPLEX NEST; MIGRATORY,,TRUE,SCC_Endngrd,,,FALSE
ETHEOSTOMA MIHILEZE,SUNBURST DARTER,PERCIDAE,,ETHEOSTOMA,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,B,,,FALSE,,,,FALSE
ETHEOSTOMA NIANGUAE,NIANGUA DARTER,PERCIDAE,,ETHEOSTOMA,,,,,,,,,,,,,,,FALSE
ETHEOSTOMA PARVIPINNE,GOLDSTRIPE DARTER,PERCIDAE,,ETHEOSTOMA,3,III,3_MIDDLE,III,3,NATIVE,IV,B;F,,,TRUE,Endangered,,,FALSE
ETHEOSTOMA PROELIARE,CYPRESS DARTER,PERCIDAE,,ETHEOSTOMA,,,,,,NATIVE,IV,B,SIMPLE NEST,,FALSE,,,,FALSE
ETHEOSTOMA PUNCTULATUM,STIPPLED DARTER,PERCIDAE,,ETHEOSTOMA,3,III,3_MIDDLE,III,3,NATIVE,IV,B,,,FALSE,,,,FALSE
ETHEOSTOMA STIGMAEUM,SPECKLED DARTER,PERCIDAE,,ETHEOSTOMA,3,III,3_MIDDLE,III,3,NATIVE,IV,B,SIMPLE NEST; LITHOPHIL,,FALSE,,,,FALSE
ETHEOSTOMA TEDDYROOSEVELT,HIGHLAND DARTER,PERCIDAE,,ETHEOSTOMA,,,,,,NATIVE,OM,F,LITHOPHIL,,FALSE,,,,FALSE
ETHEOSTOMA TETRAZONUM,MISSOURI SADDLED DARTER,PERCIDAE,,ETHEOSTOMA,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,LITHOPHIL,,FALSE,,,,FALSE
ETHEOSTOMA UNIPORUM,CURRENT DARTER,PERCIDAE,,ETHEOSTOMA,,,,,,NATIVE,IV,B;F,LITHOPHIL,,FALSE,,,,FALSE
ETHEOSTOMA WHIPPLEI,REDFIN DARTER,PERCIDAE,,ETHEOSTOMA,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,LITHOPHIL,,TRUE,SCC_E_Endmc,,,FALSE
ETHEOSTOMA ZONALE,BANDED DARTER,PERCIDAE,,ETHEOSTOMA,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=818,,FALSE
FUNDULUS CHRYSOTUS,GOLDEN TOPMINNOW,FUNDULIDAE,,FUNDULUS,4,IV,4_BETTER,IVa,4,NATIVE,IV,W,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=684,,FALSE
FUNDULUS DISPAR,STARHEAD TOPMINNOW,FUNDULIDAE,,FUNDULUS,,,,,,NATIVE,IV,W,,,FALSE,,,,FALSE
FUNDULUS SCIADICUS,PLAINS TOPMINNOW,FUNDULIDAE,,FUNDULUS,3,III,3_BETTER,IIIa,3,NATIVE,IV,W,,,TRUE,SCC_T_Endmc,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=691,,FALSE
HIODON TERGISUS,MOONEYE,HIODONTIDAE,,HIODON,4,IV,4_BETTER,IVa,4,NATIVE,TC,W,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=727,,FALSE
