TaxaID,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,LIFE_CYCLE,AirBreather,HABSTRUCT,HABSTRUCT_Full,BioticIndex_MO,BISource_MO,FFG_MO,PrimaryFFG_MO,SecondaryFFG_MO,FFG_Source,FHG_MO,PrimaryHabit_MO,SecondaryHabit_MO,FHG_Source,Phylum,Class,Subclass,Order,Family,Subfamily,Tribe,Genus
HYALELLA AZTECA,FALSE,4,4_worse,CG,SP,multi,FALSE,,,7.9,L,Ga,GA,,EPA,,,,,ARTHROPODA,CRUSTACEA,,AMPHIPODA,HYALELLIDAE,,,HYALELLA
HYBOMITRA,FALSE,4,4_middle,PR,SP,uni,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,DIPTERA,TABANIDAE,,,HYBOMITRA
HYDATICUS,FALSE,,,PR,SW,uni,TRUE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,HYDATICUS
HYDATOPHYLAX,FALSE,,,,,,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,TRICHOPTERA,LIMNEPHILIDAE,,,HYDATOPHYLAX
HYDRACARINA,TRUE,,,,,,FALSE,,,,,,,,,,,,,ARTHROPODA,ARACHNIDA,,,,,,
HYDRAENA,FALSE,4,4_middle,PR,CN,"multi,uni",TRUE,,,5,KY,Pr,PR,,EPA,"Cg,Cl",CG,CL,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDRAENIDAE,,,HYDRAENA
HYDROBAENUS,FALSE,4,4_worse,SC,SP,uni,FALSE,,,9.6,L,"Sc,Ga",SC,GA,MC,Sp,SP,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,HYDROBAENUS
HYDROBIIDAE,FALSE,4,4_middle,SC,CB,multi,FALSE,,,8,B,Sc,SC,,EPA,,,,,MOLLUSCA,GASTROPODA,,NEOTAENIOGLOSSA,HYDROBIIDAE,,,
HYDROBIUS,FALSE,4,4_worse,PR,"CB,CN",uni,TRUE,,,5,B,Pr,PR,,EPA,"Cl,Cg",CL,CG,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,,HYDROBIUS
HYDROCANTHUS,FALSE,,,PR,CB,uni,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,NOTERIDAE,,,HYDROCANTHUS
HYDROCHARA,FALSE,4,4_middle,PR,SW,uni,TRUE,,,6,KS,Pr,PR,,KY,"Sw,Dv",SW,DV,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,,HYDROCHARA
HYDROCHUS,FALSE,4,4_worse,SH,"CB,SW",uni,FALSE,SG,snag,4.6,KS,Sh,SH,,MC,Cl,CL,,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROCHIDAE,,,HYDROCHUS
HYDROMETRA,FALSE,4,4_middle,PR,SK,multi,TRUE,,,7.3,KS,"Pr,Pi",PR,PI,MC**,Sk,SK,,,ARTHROPODA,INSECTA,,HEMIPTERA,HYDROMETRIDAE,,,HYDROMETRA
HYDROPERLA,FALSE,3,,,,uni,0,,,,,,,,,,,,,ARTHROPODA,INSECTA,,PLECOPTERA,PERLODIDAE,,,HYDROPERLA
HYDROPERLA CROSBYI,FALSE,3,,,,uni,0,,,,,,,,,,,,,ARTHROPODA,INSECTA,,PLECOPTERA,PERLODIDAE,,,HYDROPERLA
HYDROPHILIDAE,FALSE,4,4_middle,PR,SW,uni,TRUE,,,9,KY,"Ga,Pr",GA,PR,MC,"Dv,Sw",DV,SW,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,,
HYDROPHILUS,FALSE,,,PR,"SW,CB",,TRUE,,,4.6,KS,"Pr,Ga",PR,GA,MC,"Sw,Dv",SW,DV,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,,HYDROPHILUS
HYDROPORUS,FALSE,4,4_middle,PR,SW,semi,TRUE,,,8.9,L,"Pr,Pi",PR,PI,MC,"Sw,Cl",SW,CL,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS
HYDROPSYCHE,FALSE,4,4_worse,CF,CN,uni,FALSE,,,4,L,"Fi,Sc",FI,SC,MC,Cg,CG,,,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPSYCHIDAE,,,HYDROPSYCHE
HYDROPSYCHIDAE,FALSE,4,4_middle,CF,CN,uni,FALSE,,,4,H,"Fi,Pr",FI,PR,MC,Cg,CG,,,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPSYCHIDAE,,,
HYDROPTILA,FALSE,4,4_middle,"SC,PH",CN,uni,FALSE,,,6.2,L,"Pi,Sc",PI,SC,MC,Cg,CG,,,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPTILIDAE,,,HYDROPTILA
HYDROPTILIDAE,FALSE,4,4_middle,"SC,PH",CB,uni,FALSE,,,4,H,"Pi,Sc",PI,SC,MC,"Cg,Cl",CG,CL,,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPTILIDAE,,,
HYDROVATUS,FALSE,4,4_middle,PR,SW,uni,TRUE,,,3.7,KS,"Pr,Pi",PR,PI,MC,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,HYDROVATUS
HYGROTUS,FALSE,4,4_worse,PR,SW,multi,TRUE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,HYGROTUS
HYPORHYGMA,FALSE,,,,,,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,HYPORHYGMA
ILYBIUS,FALSE,4,4_middle,PR,SW,uni,TRUE,,,3.7,KS,"Pr,Pi",PR,PI,MC,"Sw,Dv",SW,DV,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,ILYBIUS
ILYODRILUS TEMPLETONI,FALSE,4,4_middle,CG,BU,NA,FALSE,NF,pool,9.4,L,Ga,GA,,EPA,,,,,ANNELIDA,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,TUBIFICIDAE,,,ILYODRILUS
IRONOQUIA,FALSE,4,4_middle,SH,"CB,CN,SP",uni,FALSE,,,7.3,L,Sh,SH,,MC,Sp,SP,,,ARTHROPODA,INSECTA,,TRICHOPTERA,LIMNEPHILIDAE,,,IRONOQUIA
ISCHNURA,FALSE,4,4_worse,PR,CB,uni,FALSE,RM,root_mat,9.4,L,Pr,PR,,MC,Cl,CL,,,ARTHROPODA,INSECTA,,ODONATA,COENAGRIONIDAE,,,ISCHNURA
ISONYCHIA,FALSE,4,4_middle,CF,"SW,CN",uni,FALSE,CS,coarse,3.8,L,"Fi,Pr",FI,PR,MC,"Sw,Cg",SW,CG,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,ISONYCHIIDAE,,,ISONYCHIA
ISONYCHIA BICOLOR,FALSE,3,,CF,SW,uni,FALSE,,,2,H,"Fi,Pr",FI,PR,MC**,"Sw,Cg",SW,CG,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,ISONYCHIIDAE,,,ISONYCHIA
ISONYCHIA RUFA,FALSE,4,4_middle,CF,"SW,CN",uni,FALSE,CS,coarse,3.7,KS,"Fi,Pr",FI,PR,MC**,"Sw,Cg",SW,CG,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,ISONYCHIIDAE,,,ISONYCHIA
ISONYCHIA SICCA,FALSE,4,4_middle,CF,SW,,FALSE,CS,,,,,,,,,,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,ISONYCHIIDAE,,,ISONYCHIA
ISONYCHIIDAE,FALSE,4,4_middle,CF,SW,NA,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,ISONYCHIIDAE,,,
ISOPERLA,FALSE,3,,PR,CN,uni,FALSE,CS,coarse,2,L,"Pr,Ga",PR,GA,MC,"Cg,Sp",CG,SP,,ARTHROPODA,INSECTA,,PLECOPTERA,PERLODIDAE,,,ISOPERLA
KIEFFERULUS,FALSE,4,4_middle,CG,BU,multi,FALSE,SG,snag,10,L,Ga,GA,,MC,Bu,BU,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,KIEFFERULUS
KLOOSIA,FALSE,,,,,,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,KLOOSIA
KRENOPELOPIA,FALSE,,,,,NA,0,,,,,,,,,,,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,,,KRENOPELOPIA
KRENOSMITTIA,FALSE,,,,,,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,KRENOSMITTIA
KRIBIODORUM PERPULCHRUM,FALSE,4,4_middle,CG,BU,NA,FALSE,SG,snag,4.6,L,Ga,GA,,EPA,,,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,KRIBIODORUM
LABRUNDINIA,FALSE,4,4_middle,PR,SP,uni,FALSE,,,5.3,L*,"Pr,Pi",PR,PI,MC,Sp,SP,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,LABRUNDINIA
LACCOBIUS,FALSE,4,4_worse,PH,CN,uni,TRUE,SG,snag,8,L,Pi,PI,,MC,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,,LACCOBIUS
LACCODYTES,FALSE,,,PR,,,TRUE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,LACCODYTES
LACCOPHILUS,FALSE,4,4_worse,PR,SW,multi,TRUE,RM,root_mat,10,L,"Pr,Pi",PR,PI,MC,"Sw,Dv",SW,DV,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,LACCOPHILUS
LAEVAPEX,FALSE,3,,SC,CB,uni,FALSE,,,7.3,L,Sc,SC,,EPA,,,,,MOLLUSCA,GASTROPODA,,BASOMMATOPHORA,ANCYLIDAE,,,LAEVAPEX
LARSIA,FALSE,4,4_middle,PR,SP,"multi,uni",FALSE,,,8.3,L,Pr,PR,,MC,Sp,SP,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,LARSIA
LAUTERBORNIELLA,FALSE,,,,,,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,,CHIRONOMINI,LAUTERBORNIELLA
LEPIDOPTERA,FALSE,,,SH,SP,,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,LEPIDOPTERA,,,,
LEPIDOSTOMA,FALSE,3,,SH,CB,uni,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPIDOSTOMATIDAE,,,LEPIDOSTOMA
LEPTOCERIDAE,FALSE,4,4_middle,CG,CB,uni,FALSE,,,4,H,"Ga,Fi",GA,FI,MC,"Cl,Sp",CL,SP,,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,,
LEPTOCERUS AMERICANUS,FALSE,4,4_middle,CG,CB,uni,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,TRICHOPTERA,LEPTOCERIDAE,,,LEPTOCERUS
LEPTOHYPHIDAE,FALSE,,,,,,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,LEPTOHYPHIDAE,,,
LEPTOPHLEBIA,FALSE,4,4_better,CG,SW,uni,FALSE,,,6.4,L,"Ga,Sh",GA,SH,MC,"Sw,Cg",SW,CG,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,LEPTOPHLEBIIDAE,,,LEPTOPHLEBIA
LEPTOPHLEBIIDAE,FALSE,4,4_better,CG,"SW,CN,SP",uni,FALSE,,,2,H,"Ga,Sc",GA,SC,MC,"Sw,Cg",SW,CG,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,LEPTOPHLEBIIDAE,,,
LEPTOXIS,FALSE,,,,,,FALSE,,,,,,,,,,,,,MOLLUSCA,GASTROPODA,,NEOTAENIOGLOSSA,PLEUROCERIDAE,,,LEPTOXIS
LESTES,FALSE,4,4_middle,PR,CB,uni,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,ODONATA,LESTIDAE,,,LESTES
LESTIDAE,FALSE,,,PR,CB,uni,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,ODONATA,LESTIDAE,,,
LETHOCERUS,FALSE,,,PR,"SW,CB",multi,TRUE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,HEMIPTERA,BELOSTOMATIDAE,,,LETHOCERUS
LEUCOTRICHIA,FALSE,,,,,,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,TRICHOPTERA,HYDROPTILIDAE,,,LEUCOTRICHIA
LEUCROCUTA,FALSE,3,,SC,CN,uni,FALSE,,,0,L,"Sc,Ga",SC,GA,MC,Cg,CG,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,,LEUCROCUTA
LEUCTRA,FALSE,3,,SH,SP,uni,FALSE,,,0.7,L,Sh,SH,,MC,,,,,ARTHROPODA,INSECTA,,PLECOPTERA,LEUCTRIDAE,,,LEUCTRA
LEUCTRIDAE,FALSE,3,,SH,"CN,SP",uni,FALSE,,,0,H,Sh,SH,,MC,"Sp,Cg",SP,CG,,ARTHROPODA,INSECTA,,PLECOPTERA,LEUCTRIDAE,,,
LIBELLULA,FALSE,4,4_middle,PR,SP,uni,FALSE,,,9.8,L,Pr,PR,,MC,Sp,SP,,,ARTHROPODA,INSECTA,,ODONATA,LIBELLULIDAE,,,LIBELLULA
LIBELLULIDAE,FALSE,4,4_middle,PR,SP,uni,FALSE,,,5.7,H,Pr,PR,,MC,Sp,SP,,,ARTHROPODA,INSECTA,,ODONATA,LIBELLULIDAE,,,
LIBELLULINAE,FALSE,,,PR,SP,,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,ODONATA,LIBELLULIDAE,LIBELLULINAE,,
LIMNEBIUS,FALSE,,,,,,TRUE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDRAENIDAE,,,LIMNEBIUS
LIMNEPHILIDAE,FALSE,4,4_middle,SH,CB,uni,FALSE,,,4,H,"Sh,Sc",SH,SC,MC,"Cl,Sp",CL,SP,,ARTHROPODA,INSECTA,,TRICHOPTERA,LIMNEPHILIDAE,,,
LIMNODRILUS,FALSE,4,4_middle,CG,"BU,CN",,FALSE,,,,,,,,,,,,,ANNELIDA,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,,,LIMNODRILUS
LIMNODRILUS CERVIX,FALSE,4,4_middle,CG,BU,NA,FALSE,NF,pool,9.8,L,Ga,GA,,EPA,,,,,ANNELIDA,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,TUBIFICIDAE,,,LIMNODRILUS
LIMNODRILUS CLAPAREDIANUS,FALSE,4,4_middle,CG,BU,NA,FALSE,NF,pool,10,B,Ga,GA,,EPA,,,,,ANNELIDA,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,TUBIFICIDAE,,,LIMNODRILUS
LIMNODRILUS HOFFMEISTERI,FALSE,4,4_middle,CG,BU,NA,FALSE,,,9.8,L,Ga,GA,,EPA,,,,,ANNELIDA,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,TUBIFICIDAE,,,LIMNODRILUS
LIMNODRILUS UDEKEMIANUS,FALSE,4,4_middle,CG,BU,NA,FALSE,,,9.7,L,Ga,GA,,EPA,,,,,ANNELIDA,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,TUBIFICIDAE,,,LIMNODRILUS
LIMNOPHILA,FALSE,4,4_middle,PR,BU,uni,FALSE,,,4.6,KS,Pr,PR,,MC,Bu,BU,,,ARTHROPODA,INSECTA,,DIPTERA,TIPULIDAE,,,LIMNOPHILA
LIMNOPHYES,FALSE,4,4_worse,CG,SP,"multi,uni",FALSE,,,8,,Ga,GA,,MC,Sp,SP,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,LIMNOPHYES
LIMONIA,FALSE,4,4_middle,SH,BU,uni,FALSE,SG,snag,10,L,Sh,SH,,MC,"Bu,Sp",BU,SP,,ARTHROPODA,INSECTA,,DIPTERA,TIPULIDAE,,,LIMONIA
LIODESSUS,FALSE,4,4_middle,PR,SW,"multi,uni",TRUE,,,,,"Pr,Pi",PR,PI,MC,"Sw,Cl",SW,CL,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,LIODESSUS
LIOPOREUS,FALSE,,,PR,SW,,TRUE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,LIOPOREUS
LIOPOREUS TRIANGULARIS,FALSE,,,PR,SW,,TRUE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,DYTISCIDAE,,,LIOPOREUS
LIPINIELLA,FALSE,,,,,,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,LIPINIELLA
LIRCEUS,FALSE,3,,CG,SP,NA,FALSE,,,7.7,L,Ga,GA,,EPA,,,,,ARTHROPODA,CRUSTACEA,,ISOPODA,ASELLIDAE,,,LIRCEUS
LOPESCLADIUS,FALSE,4,4_middle,CG,"BU,SP",multi,FALSE,,,2.2,L,Ga,GA,,MC,Sp,SP,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,LOPESCLADIUS
LUMBRICIDAE,FALSE,4,4_middle,CG,BU,,FALSE,,,,,,,,,,,,,ANNELIDA,CLITELLATA,OLIGOCHAETA,TUBIFICIDA,LUMBRICIDAE,,,
LUMBRICINA,FALSE,,,,,,FALSE,,,10,,Ga,GA,,EPA,,,,,ANNELIDA,OLIGOCHAETA,,LUMBRICINA,,,,
LUMBRICULIDAE,FALSE,4,4_middle,CG,BU,NA,FALSE,,,8,B,Ga,GA,,EPA,,,,,ANNELIDA,OLIGOCHAETA,,LUMBRICULIDA,LUMBRICULIDAE,,,
LUTROCHUS,FALSE,3,,SH,SP,semi,FALSE,,,2.8,KS,Sh,SH,,MC,Cg,CG,,,ARTHROPODA,INSECTA,,COLEOPTERA,LUTROCHIDAE,,,LUTROCHUS
LYMNAEA,FALSE,4,4_middle,SC,CB,multi,FALSE,,,,,,,,,,,,,MOLLUSCA,GASTROPODA,,BASOMMATOPHORA,LYMNAEIDAE,,,LYMNAEA
LYMNAEIDAE,FALSE,4,4_middle,SC,CB,multi,FALSE,,,8,KY,Sc,SC,,EPA,,,,,MOLLUSCA,GASTROPODA,,BASOMMATOPHORA,LYMNAEIDAE,,,
LYPE DIVERSA,FALSE,,,,,,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,TRICHOPTERA,PSYCHOMYIIDAE,,,LYPE
MACCAFFERTIUM,FALSE,4,4_middle,SC,CN,uni,FALSE,,,3.4,L*,"Sc,Ga",SC,GA,MC,Cg,CG,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,,MACCAFFERTIUM
MACCAFFERTIUM BEDNARIKI,FALSE,,,SC,CN,,,,,,,,,,,,,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,,MACCAFFERTIUM
MACCAFFERTIUM EXIGUUM,FALSE,4,4_middle,SC,CN,uni,FALSE,,,5,H,"Sc,Ga",SC,GA,MC**,Cg,CG,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,,MACCAFFERTIUM
MACCAFFERTIUM INTEGRUM,FALSE,,,SC,CN,uni,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,,MACCAFFERTIUM
MACCAFFERTIUM MEDIOPUNCTATUM,FALSE,4,4_middle,SC,CN,uni,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,,MACCAFFERTIUM
MACCAFFERTIUM MEXICANUM INTEGRUM,FALSE,4,4_middle,SC,CN,uni,0,,,,,,,,,,,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,,MACCAFFERTIUM
MACCAFFERTIUM MODESTUM,FALSE,4,4_middle,SC,CN,uni,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,,MACCAFFERTIUM
MACCAFFERTIUM PULCHELLUM,FALSE,3,,SC,CN,uni,FALSE,,,3,H,"Sc,Ga",SC,GA,MC**,Cg,CG,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,,MACCAFFERTIUM
MACCAFFERTIUM TERMINATUM,FALSE,4,4_worse,SC,CN,uni,FALSE,,,4.5,L,"Sc,Ga",SC,GA,MC**,Cg,CG,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,,MACCAFFERTIUM
MACCAFFERTIUM VICARIUM,FALSE,4,4_middle,SC,CN,uni,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,,MACCAFFERTIUM
MACROMIA,FALSE,4,4_middle,PR,SP,semi,FALSE,,,6.7,L,Pr,PR,,MC,Sp,SP,,,ARTHROPODA,INSECTA,,ODONATA,CORDULIIDAE,MACROMIINAE,,MACROMIA
MACRONYCHUS,FALSE,4,4_middle,CG,CN,"semi,uni",FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,ELMIDAE,,,MACRONYCHUS
MACRONYCHUS GLABRATUS,FALSE,4,4_middle,CG,CN,"semi,uni",FALSE,SG,snag,4.7,L,Ga,GA,,MC,Cg,CG,,,ARTHROPODA,INSECTA,,COLEOPTERA,ELMIDAE,,,MACRONYCHUS
MARILIA,FALSE,3,,SH,CN,NA,FALSE,,,,,Sh,SH,,MC,Sp,SP,,,ARTHROPODA,INSECTA,,TRICHOPTERA,ODONTOCERIDAE,,,MARILIA
MEGALOPTERA,FALSE,,,PR,,,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,MEGALOPTERA,,,,MEGALOPTERA
MENETUS,FALSE,4,4_middle,SC,CB,NA,FALSE,,,8.4,L,Sc,SC,,EPA,,,,,MOLLUSCA,GASTROPODA,,BASOMMATOPHORA,PLANORBIDAE,,,MENETUS
MENETUS SAMPSONI,FALSE,,,SC,CB,multi,FALSE,,,,,,,,,,,,,MOLLUSCA,GASTROPODA,,BASOMMATOPHORA,PLANORBIDAE,,,MENETUS
MERRAGATA,FALSE,,,PR,SK,multi,TRUE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,HEMIPTERA,HEBRIDAE,,,MERRAGATA
MESOCRICOTOPUS,FALSE,,,CG,SP,,FALSE,,,,,Ga,GA,,MC,Sp,SP,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,MESOCRICOTOPUS
MESOSMITTIA,FALSE,4,4_middle,CG,SP,multi,FALSE,,,7,KS,Ga,GA,,KY,,,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,MESOSMITTIA
MESOVELIA,FALSE,4,4_worse,PR,"SK,CB",multi,TRUE,RM,root_mat,6.4,KS,"Pr,Pi",PR,PI,MC,"Sk,Cl",SK,CL,,ARTHROPODA,INSECTA,,HEMIPTERA,MESOVELIIDAE,,,MESOVELIA
