orig_FinalID_IA,OTU_BCG_IA,modified_BCG,Notes,OTU_TaxaTolAnal
Acentrella,ACENTRELLA,FALSE,,ACENTRELLA
Acentrella parvula,ACENTRELLA PARVULA,FALSE,,ACENTRELLA PARVULA
Acentrella turbida,ACENTRELLA TURBIDA,FALSE,,ACENTRELLA TURBIDA
Acerpenna,ACERPENNA,FALSE,,ACERPENNA
Acerpenna macdunnoughi,ACERPENNA MACDUNNOUGHI,FALSE,,ACERPENNA MACDUNNOUGHI
Acerpenna pygmaea,ACERPENNA PYGMAEA,FALSE,,ACERPENNA PYGMAEA
Acilius,ACILIUS,FALSE,,ACILIUS
Acilius fraternus,ACILIUS FRATERNUS,FALSE,,ACILIUS FRATERNUS
Acilius mediatus,ACILIUS MEDIATUS,FALSE,,ACILIUS MEDIATUS
Acilius sylvanus,ACILIUS SYLVANUS,FALSE,,ACILIUS SYLVANUS
Acroneuria,ACRONEURIA,FALSE,,ACRONEURIA
Acroneuria abnormis,ACRONEURIA ABNORMIS,FALSE,,ACRONEURIA ABNORMIS
Acroneuria lycorias,ACRONEURIA LYCORIAS,FALSE,,ACRONEURIA LYCORIAS
Actinobdella inequiannulata,ACTINOBDELLA INEQUIANNULATA,FALSE,,ACTINOBDELLA INEQUIANNULATA
Aedes,AEDES,FALSE,,AEDES
Aeshna,AESHNA,FALSE,,AESHNA
Aeshna umbrosa,AESHNA UMBROSA,FALSE,,AESHNA UMBROSA
Aeshna/Anax,AESHNA/ANAX,FALSE,,AESHNA/ANAX
Aeshnidae,AESHNIDAE,FALSE,,AESHNIDAE
Agabinae,AGABINAE,FALSE,,AGABINAE
Agabini-Complex,AGABINI-COMPLEX,FALSE,,AGABINI
Agabus,AGABUS,FALSE,,AGABUS
Agabus ambiguus,AGABUS AMBIGUUS,FALSE,,AGABUS AMBIGUUS
Agabus disintegratus,AGABUS DISINTEGRATUS,FALSE,,AGABUS DISINTEGRATUS
Agabus/Ilybisoma/Platambus,AGABUS/ILYBISOMA/PLATAMBUS,FALSE,,AGABUS/ILYBISOMA/PLATAMBUS
Agabus/Ilybius,AGABUS/ILYBIUS,FALSE,,AGABUS/ILYBIUS
Agnetina,AGNETINA,FALSE,,AGNETINA
Agnetina capitata,AGNETINA CAPITATA,FALSE,,AGNETINA CAPITATA
Alasmidonta marginata,ALASMIDONTA MARGINATA,FALSE,,ALASMIDONTA MARGINATA
Allocapnia,ALLOCAPNIA,FALSE,,ALLOCAPNIA
Alluaudomyia,ALLUAUDOMYIA,FALSE,,ALLUAUDOMYIA
Amercaenis,AMERCAENIS,FALSE,,AMERCAENIS
Amercaenis ridens,AMERCAENIS RIDENS,FALSE,,AMERCAENIS RIDENS
Amnicola limosus,AMNICOLA LIMOSUS,FALSE,,AMNICOLA LIMOSA
Amphiagrion,AMPHIAGRION,FALSE,,AMPHIAGRION
Amphinemura,AMPHINEMURA,FALSE,,AMPHINEMURA
Amphinemura delosa,AMPHINEMURA DELOSA,FALSE,,AMPHINEMURA DELOSA
Amphinemura varshava,AMPHINEMURA VARSHAVA,FALSE,,AMPHINEMURA VARSHAVA
Amphipoda,AMPHIPODA,FALSE,,AMPHIPODA
Anabolia,ANABOLIA,FALSE,,ANABOLIA
Anacaena,ANACAENA,FALSE,,ANACAENA
Anacaena lutescens,ANACAENA LUTESCENS,FALSE,,ANACAENA LUTESCENS
Anax,ANAX,FALSE,,ANAX
Anax junius,ANAX JUNIUS,FALSE,,ANAX JUNIUS
Ancylidae,ANCYLIDAE,FALSE,,ANCYLIDAE
Ancyronyx,ANCYRONYX,FALSE,,ANCYRONYX
Ancyronyx variegatus,ANCYRONYX VARIEGATUS,FALSE,,ANCYRONYX VARIEGATUS
Annelida,ANNELIDA,FALSE,,ANNELIDA
Anodontinae,ANODONTINAE,FALSE,,ANODONTINAE
Anodontoides ferussacianus,ANODONTOIDES FERUSSACIANUS,FALSE,,ANODONTOIDES FERUSSACIANUS
Anopheles,ANOPHELES,FALSE,,ANOPHELES
Anthopotamus,ANTHOPOTAMUS,FALSE,,ANTHOPOTAMUS
Anthopotamus myops,ANTHOPOTAMUS MYOPS,FALSE,,ANTHOPOTAMUS MYOPS
Antocha,ANTOCHA,FALSE,,ANTOCHA
Apobaetis,APOBAETIS,FALSE,,APOBAETIS
Aquarius,AQUARIUS,FALSE,,AQUARIUS
Aquarius remigis,AQUARIUS REMIGIS,FALSE,,AQUARIUS REMIGIS
Archilestes,ARCHILESTES,FALSE,,ARCHILESTES
Archilestes grandis,ARCHILESTES GRANDIS,FALSE,,ARCHILESTES GRANDIS
Argia,ARGIA,FALSE,,ARGIA
Argia apicalis,ARGIA APICALIS,FALSE,,ARGIA APICALIS
Argia moesta,ARGIA MOESTA,FALSE,,ARGIA MOESTA
Arhynchobdellida,ARHYNCHOBDELLIDA,FALSE,,ARHYNCHOBDELLIDA
Arigomphus,ARIGOMPHUS,FALSE,,ARIGOMPHUS
Arigomphus cornutus,ARIGOMPHUS CORNUTUS,FALSE,,ARIGOMPHUS CORNUTUS
Asellidae,ASELLIDAE,FALSE,,ASELLIDAE
Atherix,ATHERIX,FALSE,,ATHERIX
Atherix variegatus,ATHERIX VARIEGATUS,FALSE,,ATHERIX VARIEGATUS
Atrichopogon,ATRICHOPOGON,FALSE,,ATRICHOPOGON
Attaneuria,ATTANEURIA,FALSE,,ATTANEURIA
Attaneuria ruralis,ATTANEURIA RURALIS,FALSE,,ATTANEURIA RURALIS
Baetidae,BAETIDAE,FALSE,,BAETIDAE
Baetis,BAETIS,FALSE,,BAETIS
Baetis brunneicolor,BAETIS BRUNNEICOLOR,FALSE,,BAETIS BRUNNEICOLOR
Baetis flavistriga,BAETIS FLAVISTRIGA,FALSE,,BAETIS FLAVISTRIGA
Baetis intercalaris,BAETIS INTERCALARIS,FALSE,,BAETIS INTERCALARIS
Baetis pluto,BAETIS PLUTO,FALSE,,BAETIS PLUTO
Baetis tricaudatus,BAETIS TRICAUDATUS,FALSE,ORWA uses 'Baetis tricaudatus complex',BAETIS TRICAUDATUS COMPLEX
Baetisca,BAETISCA,FALSE,,BAETISCA
Baetisca lacustris,BAETISCA LACUSTRIS,FALSE,,BAETISCA LACUSTRIS
Baetisca laurentina,BAETISCA LAURENTINA,FALSE,,BAETISCA LAURENTINA
Baetisca obesa,BAETISCA OBESA,FALSE,,BAETISCA OBESA
Baetiscidae,BAETISCIDAE,FALSE,,BAETISCIDAE
Basiaeschna janata,BASIAESCHNA JANATA,FALSE,,BASIAESCHNA JANATA
Belostoma,BELOSTOMA,FALSE,,BELOSTOMA
Belostoma flumineum,BELOSTOMA FLUMINEUM,FALSE,,BELOSTOMA FLUMINEUM
Belostomatidae,BELOSTOMATIDAE,FALSE,,BELOSTOMATIDAE
Berosus,BEROSUS,FALSE,,BEROSUS
Berosus aculeatus,BEROSUS ACULEATUS,FALSE,,BEROSUS ACULEATUS
Berosus fraternus,BEROSUS FRATERNUS,FALSE,,BEROSUS FRATERNUS
Berosus infuscatus,BEROSUS INFUSCATUS,FALSE,,BEROSUS INFUSCATUS
Berosus pantherinus,BEROSUS PANTHERINUS,FALSE,,BEROSUS PANTHERINUS
Berosus peregrinus,BEROSUS PEREGRINUS,FALSE,,BEROSUS PEREGRINUS
Berosus sayi,BEROSUS SAYI,FALSE,,BEROSUS SAYI
Bezzia,BEZZIA,FALSE,,BEZZIA
Bezzia/Palpomyia,BEZZIA/PALPOMYIA,FALSE,,BEZZIA/PALPOMYIA
Bittacomorpha,BITTACOMORPHA,FALSE,,BITTACOMORPHA
Bittacomorpha clavipes,BITTACOMORPHA CLAVIPES,FALSE,,BITTACOMORPHA CLAVIPES
Bivalvia,BIVALVIA,FALSE,,BIVALVIA
Boyeria,BOYERIA,FALSE,,BOYERIA
Boyeria vinosa,BOYERIA VINOSA,FALSE,,BOYERIA VINOSA
Brachycentridae,BRACHYCENTRIDAE,FALSE,,BRACHYCENTRIDAE
Brachycentrus,BRACHYCENTRUS,FALSE,,BRACHYCENTRUS
Brachycentrus americanus,BRACHYCENTRUS AMERICANUS,FALSE,,BRACHYCENTRUS AMERICANUS
Brachycentrus lateralis,BRACHYCENTRUS LATERALIS,FALSE,,BRACHYCENTRUS LATERALIS
Brachycentrus numerosus,BRACHYCENTRUS NUMEROSUS,FALSE,,BRACHYCENTRUS NUMEROSUS
Brachycentrus occidentalis,BRACHYCENTRUS OCCIDENTALIS,FALSE,,BRACHYCENTRUS OCCIDENTALIS
Brachycercus,BRACHYCERCUS,FALSE,,BRACHYCERCUS
Brachycercus flavus,BRACHYCERCUS FLAVUS,FALSE,,SPARBARUS FLAVUS
Branchiobdellida,BRANCHIOBDELLIDA,FALSE,,BRANCHIOBDELLIDA
Branchiura sowerbyi,BRANCHIURA SOWERBYI,FALSE,,BRANCHIURA SOWERBYI
Buenoa,BUENOA,FALSE,,BUENOA
Caecidotea,CAECIDOTEA,FALSE,,CAECIDOTEA
Caecidotea intermedia,CAECIDOTEA INTERMEDIA,FALSE,,CAECIDOTEA INTERMEDIA
Caecidotea kendeighi,CAECIDOTEA KENDEIGHI,FALSE,,CAECIDOTEA KENDEIGHI
Caenidae,CAENIDAE,FALSE,,CAENIDAE
Caenis,CAENIS,FALSE,,CAENIS
Caenis amica,CAENIS DIMUNTA GROUP,TRUE,"DIMUNTA GROUP per Sean Sullivan, ToddH (11/29)",CAENIS AMICA
Caenis anceps,CAENIS HILARIS GROUP,TRUE,"HILARIS GROUP per Sean Sullivan, ToddH (11/29)",CAENIS ANCEPS
Caenis diminuta,CAENIS DIMUNTA GROUP,TRUE,"DIMUNTA GROUP per Sean Sullivan, ToddH (11/29)",CAENIS DIMINUTA
CAENIS DIMUNTA GROUP,CAENIS DIMUNTA GROUP,FALSE,,
Caenis hilaris,CAENIS HILARIS GROUP,TRUE,"HILARIS GROUP per Sean Sullivan, ToddH (11/29)",CAENIS HILARIS
CAENIS HILARIS GROUP,CAENIS HILARIS GROUP,FALSE,,
Caenis latipennis,CAENIS DIMUNTA GROUP,TRUE,"DIMUNTA GROUP per Sean Sullivan, ToddH (11/29)",CAENIS LATIPENNIS
Caenis punctata,CAENIS DIMUNTA GROUP,TRUE,"DIMUNTA GROUP per Sean Sullivan, ToddH (11/29)",CAENIS PUNCTATA
Caenis tardata,CAENIS TARDATA,FALSE,,CAENIS TARDATA
Callibaetis,CALLIBAETIS,FALSE,,CALLIBAETIS
Callibaetis ferrugineus,CALLIBAETIS FERRUGINEUS,FALSE,,CALLIBAETIS FERRUGINEUS
Callibaetis floridanus,CALLIBAETIS FLORIDANUS,FALSE,,CALLIBAETIS FLORIDANUS
Callibaetis fluctuans,CALLIBAETIS FLUCTUANS,FALSE,,CALLIBAETIS FLUCTUANS
Callibaetis pictus,CALLIBAETIS PICTUS,FALSE,,CALLIBAETIS PICTUS
Caloparyphus,CALOPARYPHUS,FALSE,,CALOPARYPHUS
Calopterygidae,CALOPTERYGIDAE,FALSE,,CALOPTERYGIDAE
Calopteryx,CALOPTERYX,FALSE,,CALOPTERYX
Calopteryx maculata,CALOPTERYX MACULATA,FALSE,,CALOPTERYX MACULATA
Cambaridae,CAMBARIDAE,FALSE,,CAMBARIDAE
Cambarus diogenes,CAMBARUS DIOGENES,FALSE,,CAMBARUS DIOGENES
Camelobaetidius,CAMELOBAETIDIUS,FALSE,,CAMELOBAETIDIUS
Camelobaetidius waltzi,CAMELOBAETIDIUS WALTZI,FALSE,,CAMELOBAETIDIUS WALTZI
Camelobaetidius warreni,CAMELOBAETIDIUS WARRENI,FALSE,,CAMELOBAETIDIUS WARRENI
Campeloma,CAMPELOMA,FALSE,,CAMPELOMA
Capniidae,CAPNIIDAE,FALSE,,CAPNIIDAE
Carabidae,CARABIDAE,FALSE,,EXCLUDE
Celina,CELINA,FALSE,,CELINA
Centroptilum,CENTROPTILUM,FALSE,,ANAFROPTILUM/NEOCLOEON
Centroptilum album,CENTROPTILUM ALBUM,FALSE,,ANAFROPTILUM ALBUM
Centroptilum bifurcatum,CENTROPTILUM BIFURCATUM,FALSE,,ANAFROPTILUM BIFURCATUM
Centroptilum triangulifer,CENTROPTILUM TRIANGULIFER,FALSE,,NEOCLOEON TRIANGULIFER
Centroptilum victoriae,CENTROPTILUM VICTORIAE,FALSE,,ANAFROPTILUM VICTORIAE
Ceraclea,CERACLEA,FALSE,,CERACLEA
Ceraclea alces,CERACLEA ALCES,FALSE,,CERACLEA ALCES
Ceraclea ancylus,CERACLEA ANCYLUS,FALSE,,CERACLEA ANCYLUS
Ceraclea cancellata,CERACLEA CANCELLATA,FALSE,,CERACLEA CANCELLATA
Ceraclea enodis,CERACLEA ENODIS,FALSE,,CERACLEA ENODIS
Ceraclea flava,CERACLEA FLAVA,FALSE,,CERACLEA FLAVA
Ceraclea maculata,CERACLEA MACULATA,FALSE,,CERACLEA MACULATA
Ceraclea neffi,CERACLEA NEFFI,FALSE,,CERACLEA NEFFI
Ceraclea nepha,CERACLEA NEPHA,FALSE,,CERACLEA NEPHA
Ceraclea spongillovorax,CERACLEA SPONGILLOVORAX,FALSE,,CERACLEA SPONGILLOVORAX
Ceraclea tarsipunctata,CERACLEA TARSIPUNCTATA,FALSE,,CERACLEA TARSIPUNCTATA
Ceratopogon,CERATOPOGON,FALSE,,CERATOPOGON
Ceratopogonidae,CERATOPOGONIDAE,FALSE,,CERATOPOGONIDAE
Ceratopsyche,CERATOPSYCHE,FALSE,,CERATOPSYCHE
Ceratopsyche alhedra,CERATOPSYCHE ALHEDRA,FALSE,,CERATOPSYCHE ALHEDRA
Ceratopsyche alternans,CERATOPSYCHE ALTERNANS,FALSE,,CERATOPSYCHE ALTERNANS
Ceratopsyche bronta,CERATOPSYCHE BRONTA,FALSE,,CERATOPSYCHE BRONTA
Ceratopsyche morosa,CERATOPSYCHE MOROSA,FALSE,,CERATOPSYCHE MOROSA
Ceratopsyche slossonae,CERATOPSYCHE SLOSSONAE,FALSE,,CERATOPSYCHE SLOSSONAE
Ceratopsyche sparna,CERATOPSYCHE SPARNA,FALSE,,CERATOPSYCHE SPARNA
Cercobrachys,CERCOBRACHYS,FALSE,,CERCOBRACHYS
Cercobrachys fox,CERCOBRACHYS FOX,FALSE,,CERCOBRACHYS FOX
Cercobrachys serpentis,CERCOBRACHYS SERPENTIS,FALSE,,CERCOBRACHYS SERPENTIS
Chaoborus,CHAOBORUS,FALSE,,CHAOBORUS
Chaoborus punctipennis,CHAOBORUS PUNCTIPENNIS,FALSE,,CHAOBORUS PUNCTIPENNIS
Chauliodes,CHAULIODES,FALSE,,CHAULIODES
Chauliodes pectinicornis,CHAULIODES PECTINICORNIS,FALSE,,CHAULIODES PECTINICORNIS
Chauliodes rastricornis,CHAULIODES RASTRICORNIS,FALSE,,CHAULIODES RASTRICORNIS
Chelifera/Metachela,CHELIFERA/METACHELA,FALSE,,CHELIFERA/METACHELA
Cheumatopsyche,CHEUMATOPSYCHE,FALSE,,CHEUMATOPSYCHE
Chimarra,CHIMARRA,FALSE,,CHIMARRA
Chimarra aterrima,CHIMARRA ATERRIMA,FALSE,,CHIMARRA ATERRIMA
Chimarra obscura,CHIMARRA OBSCURA,FALSE,,CHIMARRA OBSCURA
Chironomidae,CHIRONOMIDAE,FALSE,,CHIRONOMIDAE
Chrysomelidae,CHRYSOMELIDAE,FALSE,,CHRYSOMELIDAE
Chrysops,CHRYSOPS,FALSE,,CHRYSOPS
Climacia,CLIMACIA,FALSE,,CLIMACIA
Clinocera,CLINOCERA,FALSE,,CLINOCERA
Clinohelea,CLINOHELEA,FALSE,,CLINOHELEA
Clioperla clio,CLIOPERLA CLIO,FALSE,,CLIOPERLA CLIO
Cloeon,CLOEON,FALSE,,CLOEON
Cnephia,CNEPHIA,FALSE,,CNEPHIA
Coenagrion,COENAGRION,FALSE,,COENAGRION
Coenagrion/Enallagma,COENAGRION/ENALLAGMA,FALSE,,COENAGRION/ENALLAGMA
Coenagrionidae,COENAGRIONIDAE,FALSE,,COENAGRIONIDAE
Coleoptera,COLEOPTERA,FALSE,,COLEOPTERA
Collembola,COLLEMBOLA,FALSE,,COLLEMBOLA
Colymbetes,COLYMBETES,FALSE,,COLYMBETES
Copelatus,COPELATUS,FALSE,,COPELATUS
COPELATUS CHEVROLATI,COPELATUS CHEVROLATI,FALSE,,
Copelatus chevrolati chevrolati,COPELATUS CHEVROLATI,TRUE,collapsed to species (vs using subspecies),COPELATUS CHEVROLATI
Copelatus glyphicus,COPELATUS GLYPHICUS,FALSE,,COPELATUS GLYPHICUS
Coptotomus,COPTOTOMUS,FALSE,,COPTOTOMUS
Coptotomus longulus,COPTOTOMUS LONGULUS,FALSE,,COPTOTOMUS LONGULUS
Coptotomus loticus,COPTOTOMUS LOTICUS,FALSE,,COPTOTOMUS LOTICUS
Corbicula,CORBICULA,FALSE,,CORBICULA
Corbicula fluminea,CORBICULA FLUMINEA,FALSE,,CORBICULA FLUMINEA
Cordulegaster obliqua,CORDULEGASTER OBLIQUA,FALSE,,CORDULEGASTER OBLIQUA
Corduliidae,CORDULIIDAE,FALSE,,CORDULIIDAE
Corisella,CORISELLA,FALSE,,CORISELLA
Corixidae,CORIXIDAE,FALSE,,CORIXIDAE
Corydalidae,CORYDALIDAE,FALSE,,CORYDALIDAE
Corydalus,CORYDALUS,FALSE,,CORYDALUS
Corydalus cornutus,CORYDALUS CORNUTUS,FALSE,,CORYDALUS CORNUTUS
Crambidae,CRAMBIDAE,FALSE,,CRAMBIDAE
Crambus,CRAMBUS,FALSE,,CRAMBUS
Crangonyx,CRANGONYX,FALSE,,CRANGONYX
Culex,CULEX,FALSE,,CULEX
Culicidae,CULICIDAE,FALSE,,CULICIDAE
Culiseta,CULISETA,FALSE,,CULISETA
Cura,CURA,FALSE,,CURA
Cura foremanii,CURA FOREMANII,FALSE,,CURA FOREMANII
Curculionidae,CURCULIONIDAE,FALSE,,CURCULIONIDAE
Cybister fimbriolatus,CYBISTER FIMBRIOLATUS,FALSE,,CYBISTER FIMBRIOLATUS
Cymbiodyta,CYMBIODYTA,FALSE,,CYMBIODYTA
Cymbiodyta blanchardi,CYMBIODYTA BLANCHARDI,FALSE,,CYMBIODYTA BLANCHARDI
Cymbiodyta chamberlaini,CYMBIODYTA CHAMBERLAINI,FALSE,,CYMBIODYTA CHAMBERLAINI
Cymbiodyta semistriata,CYMBIODYTA SEMISTRIATA,FALSE,,CYMBIODYTA SEMISTRIATA
Cymbiodyta toddi,CYMBIODYTA TODDI,FALSE,,CYMBIODYTA TODDI
Cymbiodyta vindicata,CYMBIODYTA VINDICATA,FALSE,,CYMBIODYTA VINDICATA
Cyphon,CYPHON,FALSE,,SCIRTIDAE
Cyrnellus fraternus,CYRNELLUS FRATERNUS,FALSE,,CYRNELLUS FRATERNUS
Decapoda,DECAPODA,FALSE,,DECAPODA
Desmopachria convexa,DESMOPACHRIA CONVEXA,FALSE,,DESMOPACHRIA CONVEXA
Dicranota,DICRANOTA,FALSE,,DICRANOTA
Dicranota iowa,DICRANOTA IOWA,FALSE,,DICRANOTA IOWA
Didymops,DIDYMOPS,FALSE,,DIDYMOPS
Didymops transversa,DIDYMOPS TRANSVERSA,FALSE,,DIDYMOPS TRANSVERSA
Dineutus,DINEUTUS,FALSE,,DINEUTUS
Dineutus assimilis,DINEUTUS ASSIMILIS,FALSE,,DINEUTUS ASSIMILIS
Dineutus discolor,DINEUTUS DISCOLOR,FALSE,,DINEUTUS DISCOLOR
Dineutus nigrior,DINEUTUS NIGRIOR,FALSE,,DINEUTUS NIGRIOR
Diphetor hageni,DIPHETOR HAGENI,FALSE,,DIPHETOR HAGENI
Diplectrona modesta,DIPLECTRONA MODESTA,FALSE,,DIPLECTRONA MODESTA
Diptera,DIPTERA,FALSE,,DIPTERA
Dixa,DIXA,FALSE,,DIXA
Dixella,DIXELLA,FALSE,,DIXELLA
Dixidae,DIXIDAE,FALSE,,DIXIDAE
Dolichopodidae,DOLICHOPODIDAE,FALSE,,DOLICHOPODIDAE
Dromogomphus,DROMOGOMPHUS,FALSE,,DROMOGOMPHUS
Dromogomphus spinosus,DROMOGOMPHUS SPINOSUS,FALSE,,DROMOGOMPHUS SPINOSUS
Dryopidae,DRYOPIDAE,FALSE,,DRYOPIDAE
Dubiraphia,DUBIRAPHIA,FALSE,,DUBIRAPHIA
Dubiraphia bivittata,DUBIRAPHIA BIVITTATA,FALSE,,DUBIRAPHIA BIVITTATA
Dubiraphia minima,DUBIRAPHIA MINIMA,FALSE,,DUBIRAPHIA MINIMA
Dubiraphia quadrinotata,DUBIRAPHIA QUADRINOTATA,FALSE,,DUBIRAPHIA QUADRINOTATA
Dubiraphia vittata,DUBIRAPHIA VITTATA,FALSE,,DUBIRAPHIA VITTATA
Dugesiidae,DUGESIIDAE,FALSE,,DUGESIIDAE
Dytiscidae,DYTISCIDAE,FALSE,,DYTISCIDAE
Dytiscus,DYTISCUS,FALSE,,DYTISCUS
Dytiscus hybridus,DYTISCUS HYBRIDUS,FALSE,,DYTISCUS HYBRIDUS
Dytiscus verticalis,DYTISCUS VERTICALIS,FALSE,,DYTISCUS VERTICALIS
Ectemnia,ECTEMNIA,FALSE,,ECTEMNIA
Ectopria,ECTOPRIA,FALSE,,ECTOPRIA
Eiseniella,EISENIELLA,FALSE,,EISENIELLA
Eiseniella tetredra,EISENIELLA TETREDRA,FALSE,,EISENIELLA TETREDRA
Elimia,ELIMIA,FALSE,,ELIMIA
Elmidae,ELMIDAE,FALSE,,ELMIDAE
Elophila,ELOPHILA,FALSE,,ELOPHILA
Empididae,EMPIDIDAE,FALSE,,EMPIDIDAE
Enallagma,ENALLAGMA,FALSE,,ENALLAGMA
Enochrus,ENOCHRUS,FALSE,,ENOCHRUS
Enochrus cinctus,ENOCHRUS CINCTUS,FALSE,,ENOCHRUS CINCTUS
Enochrus collinus,ENOCHRUS COLLINUS,FALSE,,ENOCHRUS COLLINUS
Enochrus consortus,ENOCHRUS CONSORTUS,FALSE,,ENOCHRUS CONSORTUS
Enochrus diffusus/hamiltoni,ENOCHRUS DIFFUSUS/HAMILTONI,FALSE,,ENOCHRUS DIFFUSUS/HAMILTONI
Enochrus hamiltoni,ENOCHRUS HAMILTONI,FALSE,,ENOCHRUS HAMILTONI
Enochrus ochraceus,ENOCHRUS OCHRACEUS,FALSE,,ENOCHRUS OCHRACEUS
Enochrus pygmaeus,ENOCHRUS PYGMAEUS,FALSE,,ENOCHRUS PYGMAEUS
Enochrus sayi,ENOCHRUS SAYI,FALSE,,ENOCHRUS SAYI
Ephemerella,EPHEMERELLA,FALSE,,EPHEMERELLA
Ephemerella excrucians,EPHEMERELLA EXCRUCIANS,FALSE,,EPHEMERELLA EXCRUCIANS
Ephemerella invaria,EPHEMERELLA INVARIA,FALSE,,EPHEMERELLA INVARIA
Ephemerella needhami,EPHEMERELLA NEEDHAMI,FALSE,,EPHEMERELLA NEEDHAMI
Ephemerella subvaria,EPHEMERELLA SUBVARIA,FALSE,,EPHEMERELLA SUBVARIA
Ephemerellidae,EPHEMERELLIDAE,FALSE,,EPHEMERELLIDAE
Ephemeridae,EPHEMERIDAE,FALSE,,EPHEMERIDAE
Ephemeroptera,EPHEMEROPTERA,FALSE,,EPHEMEROPTERA
Ephoron,EPHORON,FALSE,,EPHORON
Ephoron album,EPHORON ALBUM,FALSE,,EPHORON ALBUM
Ephydra,EPHYDRA,FALSE,,EPHYDRA
Ephydridae,EPHYDRIDAE,FALSE,,EPHYDRIDAE
Epitheca,EPITHECA,FALSE,,EPITHECA
Epitheca princeps,EPITHECA PRINCEPS,FALSE,,EPITHECA PRINCEPS
Erioptera,ERIOPTERA,FALSE,,ERIOPTERA
Erpobdella,ERPOBDELLA,FALSE,,ERPOBDELLA
Erpobdella bucera,ERPOBDELLA BUCERA,FALSE,,ERPOBDELLA BUCERA
Erpobdella dubia,ERPOBDELLA DUBIA,FALSE,,ERPOBDELLA DUBIA
Erpobdella fervida,ERPOBDELLA FERVIDA,FALSE,,ERPOBDELLA FERVIDA
Erpobdella melanostoma,ERPOBDELLA MELANOSTOMA,FALSE,,ERPOBDELLA MELANOSTOMA
Erpobdella microstoma,ERPOBDELLA MICROSTOMA,FALSE,,ERPOBDELLA MICROSTOMA
Erpobdella obscura,ERPOBDELLA OBSCURA,FALSE,,ERPOBDELLA OBSCURA
Erpobdella parva,ERPOBDELLA PARVA,FALSE,,ERPOBDELLA PARVA
Erpobdella punctata,ERPOBDELLA PUNCTATA,FALSE,,ERPOBDELLA PUNCTATA
Erpobdella tetragon,ERPOBDELLA TETRAGON,FALSE,,ERPOBDELLA TETRAGON
Erpobdellidae,ERPOBDELLIDAE,FALSE,,ERPOBDELLIDAE
Erythemis,ERYTHEMIS,FALSE,,ERYTHEMIS
Erythemis simplicicollis,ERYTHEMIS SIMPLICICOLLIS,FALSE,,ERYTHEMIS SIMPLICICOLLIS
Euparyphus,EUPARYPHUS,FALSE,,EUPARYPHUS
Eurylophella,EURYLOPHELLA,FALSE,,EURYLOPHELLA
Fallceon,FALLCEON,FALSE,,FALLCEON
Fallceon quilleri,FALLCEON QUILLERI,FALSE,,FALLCEON QUILLERI
Ferrissia,FERRISSIA,FALSE,,FERRISSIA
Fontigens,FONTIGENS,FALSE,,FONTIGENS
Forcipomyia,FORCIPOMYIA,FALSE,,FORCIPOMYIA
Fossaria,FOSSARIA,FALSE,,LYMNAEA
Frenesia,FRENESIA,FALSE,,FRENESIA
Frenesia missa,FRENESIA MISSA,FALSE,,FRENESIA MISSA
Gammaridae,GAMMARIDAE,FALSE,,GAMMARIDAE
Gammarus,GAMMARUS,FALSE,,GAMMARUS
Gammarus pseudolimnaeus,GAMMARUS PSEUDOLIMNAEUS,FALSE,,GAMMARUS PSEUDOLIMNAEUS
Gastropoda,GASTROPODA,FALSE,,GASTROPODA
Gerridae,GERRIDAE,FALSE,,GERRIDAE
Gerris,GERRIS,FALSE,,GERRIS
Gerris buenoi,GERRIS BUENOI,FALSE,,GERRIS BUENOI
Gerris marginatus,GERRIS MARGINATUS,FALSE,,GERRIS MARGINATUS
Girardia,GIRARDIA,FALSE,,GIRARDIA
Girardia tigrina,GIRARDIA TIGRINA,FALSE,,GIRARDIA TIGRINA
