TaxaID_orig,modified_BCG,OTU_BCG,Notes,OTU_MMI,OTU_MMI_genus,OTU_bcgTaxaTolAnal
ABLABESMYIA,FALSE,ABLABESMYIA,,ABLABESMYIA,ABLABESMYIA,ABLABESMYIA
ACENTRELLA,FALSE,ACENTRELLA,,ACENTRELLA,ACENTRELLA,ACENTRELLA
ACERPENNA,FALSE,ACERPENNA,,ACERPENNA,ACERPENNA,ACERPENNA
ACERPENNA PYGMAEA,FALSE,ACERPENNA PYGMAEA,,ACERPENNA PYGMAEA,ACERPENNA,ACERPENNA PYGMAEA
ACILIUS,FALSE,ACILIUS,,ACILIUS,ACILIUS,ACILIUS
ACRONEURIA,FALSE,ACRONEURIA,,ACRONEURIA,ACRONEURIA,ACRONEURIA
ACRONEURIA ABNORMIS,FALSE,ACRONEURIA ABNORMIS,,ACRONEURIA ABNORMIS,ACRONEURIA,ACRONEURIA ABNORMIS
ACRONEURIA EVOLUTA,FALSE,ACRONEURIA EVOLUTA,,ACRONEURIA EVOLUTA,ACRONEURIA,ACRONEURIA EVOLUTA
ACRONEURIA PERPLEXA,FALSE,ACRONEURIA PERPLEXA,,ACRONEURIA PERPLEXA,ACRONEURIA,ACRONEURIA PERPLEXA
AEDES,FALSE,AEDES,,AEDES,AEDES,AEDES
AESHNA,FALSE,AESHNA,,AESHNA,AESHNA,AESHNA
AESHNA UMBROSA,FALSE,AESHNA UMBROSA,,AESHNA UMBROSA,AESHNA,AESHNA UMBROSA
AESHNIDAE,FALSE,AESHNIDAE,,AESHNIDAE,AESHNIDAE,AESHNIDAE
AGABUS,FALSE,AGABUS,,AGABUS,AGABUS,AGABUS
AGABUS DISINTEGRATUS,FALSE,AGABUS DISINTEGRATUS,,AGABUS DISINTEGRATUS,AGABUS,AGABUS DISINTEGRATUS
AGAPETUS,FALSE,AGAPETUS,,AGAPETUS,AGAPETUS,AGAPETUS
AGNETINA,FALSE,AGNETINA,,AGNETINA,AGNETINA,AGNETINA
AGNETINA FLAVESCENS,FALSE,AGNETINA FLAVESCENS,,AGNETINA FLAVESCENS,AGNETINA,AGNETINA FLAVESCENS
ALLOCAPNIA,FALSE,ALLOCAPNIA,,ALLOCAPNIA,ALLOCAPNIA,ALLOCAPNIA
ALLOCAPNIA VIVIPARA,FALSE,ALLOCAPNIA VIVIPARA,,ALLOCAPNIA VIVIPARA,ALLOCAPNIA,ALLOCAPNIA VIVIPARA
ALOTANYPUS,FALSE,ALOTANYPUS,,ALOTANYPUS,ALOTANYPUS,ALOTANYPUS
AMERCAENIS,FALSE,AMERCAENIS,,AMERCAENIS,AMERCAENIS,AMERCAENIS
AMERCAENIS RIDENS,FALSE,AMERCAENIS RIDENS,,AMERCAENIS RIDENS,AMERCAENIS,AMERCAENIS RIDENS
AMERCAENIS/CAENIS,FALSE,AMERCAENIS/CAENIS,,AMERCAENIS/CAENIS,AMERCAENIS/CAENIS,
AMNICOLA,FALSE,AMNICOLA,,AMNICOLA,AMNICOLA,AMNICOLA
AMNICOLA LIMOSA,FALSE,AMNICOLA LIMOSA,,AMNICOLA LIMOSA,AMNICOLA,AMNICOLA LIMOSA
AMPHINEMURA,FALSE,AMPHINEMURA,,AMPHINEMURA,AMPHINEMURA,AMPHINEMURA
AMPHINEMURA VARSHAVA,FALSE,AMPHINEMURA VARSHAVA,,AMPHINEMURA VARSHAVA,AMPHINEMURA,AMPHINEMURA VARSHAVA
AMPHIPODA,FALSE,AMPHIPODA,,AMPHIPODA,AMPHIPODA,AMPHIPODA
ANACAENA,FALSE,ANACAENA,,ANACAENA,ANACAENA,ANACAENA
ANAX,FALSE,ANAX,,ANAX,ANAX,ANAX
ANAX JUNIUS,FALSE,ANAX JUNIUS,,ANAX JUNIUS,ANAX,ANAX JUNIUS
ANCYLIDAE,FALSE,ANCYLIDAE,,ANCYLIDAE,ANCYLIDAE,ANCYLIDAE
ANCYRONYX,FALSE,ANCYRONYX,,ANCYRONYX,ANCYRONYX,ANCYRONYX
ANCYRONYX VARIEGATUS,FALSE,ANCYRONYX VARIEGATUS,,ANCYRONYX VARIEGATUS,ANCYRONYX,ANCYRONYX VARIEGATUS
ANOPHELES,FALSE,ANOPHELES,,ANOPHELES,ANOPHELES,ANOPHELES
ANTHOMYIIDAE,FALSE,ANTHOMYIIDAE,,ANTHOMYIIDAE,ANTHOMYIIDAE,ANTHOMYIIDAE
ANTHOPOTAMUS,FALSE,ANTHOPOTAMUS,,ANTHOPOTAMUS,ANTHOPOTAMUS,ANTHOPOTAMUS
ANTHOPOTAMUS MYOPS,FALSE,ANTHOPOTAMUS MYOPS,,ANTHOPOTAMUS MYOPS,ANTHOPOTAMUS,ANTHOPOTAMUS MYOPS
APOBAETIS,FALSE,APOBAETIS,,APOBAETIS,APOBAETIS,APOBAETIS
APSECTROTANYPUS,FALSE,APSECTROTANYPUS,,APSECTROTANYPUS,APSECTROTANYPUS,APSECTROTANYPUS
AQUARIUS,FALSE,AQUARIUS,,AQUARIUS,AQUARIUS,AQUARIUS
AQUARIUS NEBULARIS,FALSE,AQUARIUS NEBULARIS,,AQUARIUS NEBULARIS,AQUARIUS,AQUARIUS NEBULARIS
ARACHNIDA,FALSE,ARACHNIDA,,ARACHNIDA,ARACHNIDA,ARACHNIDA
ARCHILESTES,FALSE,ARCHILESTES,,ARCHILESTES,ARCHILESTES,ARCHILESTES
ARCHILESTES GRANDIS,FALSE,ARCHILESTES GRANDIS,,ARCHILESTES GRANDIS,ARCHILESTES,ARCHILESTES GRANDIS
ARGIA,FALSE,ARGIA,,ARGIA,ARGIA,ARGIA
ARGIA APICALIS,FALSE,ARGIA APICALIS,,ARGIA APICALIS,ARGIA,ARGIA APICALIS
ARGIA BIPUNCTULATA,FALSE,ARGIA BIPUNCTULATA,,ARGIA BIPUNCTULATA,ARGIA,ARGIA BIPUNCTULATA
ARGIA FUMIPENNIS,FALSE,ARGIA FUMIPENNIS,,ARGIA FUMIPENNIS,ARGIA,ARGIA FUMIPENNIS
ARGIA FUMIPENNIS VIOLACEA,TRUE,ARGIA FUMIPENNIS,removed subspecies,ARGIA FUMIPENNIS,ARGIA,ARGIA FUMIPENNIS VIOLACEA
ARGIA MOESTA,FALSE,ARGIA MOESTA,,ARGIA MOESTA,ARGIA,ARGIA MOESTA
ARGULUS,FALSE,ARGULUS,,ARGULUS,ARGULUS,ARGULUS
ARIGOMPHUS,FALSE,ARIGOMPHUS,,ARIGOMPHUS,ARIGOMPHUS,ARIGOMPHUS
ARIGOMPHUS LENTULUS,FALSE,ARIGOMPHUS LENTULUS,,ARIGOMPHUS LENTULUS,ARIGOMPHUS,ARIGOMPHUS LENTULUS
ARIGOMPHUS LENTULUS/GOMPHUS MILITARIS,FALSE,ARIGOMPHUS LENTULUS/GOMPHUS MILITARIS,,ARIGOMPHUS LENTULUS/GOMPHUS MILITARIS,ARIGOMPHUS LENTULUS/GOMPHUS MILITARIS,
ARIGOMPHUS SUBMEDIANUS,FALSE,ARIGOMPHUS SUBMEDIANUS,,ARIGOMPHUS SUBMEDIANUS,ARIGOMPHUS,ARIGOMPHUS SUBMEDIANUS
ASELLIDAE,FALSE,ASELLIDAE,,ASELLIDAE,ASELLIDAE,ASELLIDAE
ASELLUS,FALSE,ASELLUS,,ASELLUS,ASELLUS,CAECIDOTEA
ATHERIX,FALSE,ATHERIX,,ATHERIX,ATHERIX,ATHERIX
ATRICHOPOGON,FALSE,ATRICHOPOGON,,ATRICHOPOGON,ATRICHOPOGON,ATRICHOPOGON
ATTANEURIA,FALSE,ATTANEURIA,,ATTANEURIA,ATTANEURIA,ATTANEURIA
ATTANEURIA RURALIS,FALSE,ATTANEURIA RURALIS,,ATTANEURIA RURALIS,ATTANEURIA,ATTANEURIA RURALIS
AULODRILUS PLURISETA,FALSE,AULODRILUS PLURISETA,,AULODRILUS PLURISETA,OLIGOCHAETA,AULODRILUS PLURISETA
AXARUS,FALSE,AXARUS,,AXARUS,AXARUS,AXARUS
BACTRURUS,FALSE,BACTRURUS,,BACTRURUS,BACTRURUS,BACTRURUS
BAETIDAE,FALSE,BAETIDAE,,BAETIDAE,BAETIDAE,BAETIDAE
BAETIS,FALSE,BAETIS,,BAETIS,BAETIS,BAETIS
BAETIS INTERCALARIS,FALSE,BAETIS INTERCALARIS,,BAETIS INTERCALARIS,BAETIS,BAETIS INTERCALARIS
BAETIS/FALLCEON/HETEROCLOEON/PLAUDITUS,FALSE,BAETIS/FALLCEON/HETEROCLOEON/PLAUDITUS,,BAETIS/FALLCEON/HETEROCLOEON/PLAUDITUS,BAETIS/FALLCEON/HETEROCLOEON/PLAUDITUS,
BASIAESCHNA,FALSE,BASIAESCHNA,,BASIAESCHNA,BASIAESCHNA,BASIAESCHNA
BASIAESCHNA JANATA,FALSE,BASIAESCHNA JANATA,,BASIAESCHNA JANATA,BASIAESCHNA,BASIAESCHNA JANATA
BELOSTOMA,FALSE,BELOSTOMA,,BELOSTOMA,BELOSTOMA,BELOSTOMA
BELOSTOMATIDAE,FALSE,BELOSTOMATIDAE,,BELOSTOMATIDAE,BELOSTOMATIDAE,BELOSTOMATIDAE
BEROSUS,FALSE,BEROSUS,,BEROSUS,BEROSUS,BEROSUS
BEZZIA/PALPOMYIA,FALSE,BEZZIA/PALPOMYIA,,BEZZIA/PALPOMYIA,BEZZIA/PALPOMYIA,BEZZIA/PALPOMYIA
BIVALVIA,FALSE,BIVALVIA,,BIVALVIA,BIVALVIA,BIVALVIA
BOYERIA,FALSE,BOYERIA,,BOYERIA,BOYERIA,BOYERIA
BOYERIA VINOSA,FALSE,BOYERIA VINOSA,,BOYERIA VINOSA,BOYERIA,BOYERIA VINOSA
BRACHYCENTRUS,FALSE,BRACHYCENTRUS,,BRACHYCENTRUS,BRACHYCENTRUS,BRACHYCENTRUS
BRACHYCENTRUS NUMEROSUS,FALSE,BRACHYCENTRUS NUMEROSUS,,BRACHYCENTRUS NUMEROSUS,BRACHYCENTRUS,BRACHYCENTRUS NUMEROSUS
BRACHYCERCUS,FALSE,BRACHYCERCUS,,BRACHYCERCUS,BRACHYCERCUS,BRACHYCERCUS
BRANCHIOBDELLIDAE,FALSE,BRANCHIOBDELLIDAE,,BRANCHIOBDELLIDAE,BRANCHIOBDELLIDAE,BRANCHIOBDELLIDA
BRANCHIURA SOWERBYI,FALSE,BRANCHIURA SOWERBYI,,BRANCHIURA SOWERBYI,OLIGOCHAETA,BRANCHIURA SOWERBYI
BRATISLAVIA,FALSE,BRATISLAVIA,,BRATISLAVIA,OLIGOCHAETA,BRATISLAVIA
BRECHMORHOGA,FALSE,BRECHMORHOGA,,BRECHMORHOGA,BRECHMORHOGA,BRECHMORHOGA
BRECHMORHOGA MENDAX,FALSE,BRECHMORHOGA MENDAX,,BRECHMORHOGA MENDAX,BRECHMORHOGA,BRECHMORHOGA MENDAX
BRILLIA,FALSE,BRILLIA,,BRILLIA,BRILLIA,BRILLIA
BUENOA,FALSE,BUENOA,,BUENOA,BUENOA,BUENOA
BUENOA MARGARITACEA,FALSE,BUENOA MARGARITACEA,,BUENOA MARGARITACEA,BUENOA,BUENOA MARGARITACEA
CAECIDOTEA,FALSE,CAECIDOTEA,,CAECIDOTEA,CAECIDOTEA,CAECIDOTEA
CAENIDAE,FALSE,CAENIDAE,,CAENIDAE,CAENIDAE,CAENIDAE
CAENIS,FALSE,CAENIS,,CAENIS,CAENIS,CAENIS
CALLIBAETIS,FALSE,CALLIBAETIS,,CALLIBAETIS,CALLIBAETIS,CALLIBAETIS
CALLICORIXA,FALSE,CALLICORIXA,,CALLICORIXA,CALLICORIXA,CALLICORIXA
CALLIOBDELLA VIVIDA,FALSE,CALLIOBDELLA VIVIDA,,CALLIOBDELLA VIVIDA,PISCICOLIDAE,CALLIOBDELLA VIVIDA
CALOPTERYGIDAE,FALSE,CALOPTERYGIDAE,,CALOPTERYGIDAE,CALOPTERYGIDAE,CALOPTERYGIDAE
CALOPTERYX,FALSE,CALOPTERYX,,CALOPTERYX,CALOPTERYX,CALOPTERYX
CALOPTERYX MACULATA,FALSE,CALOPTERYX MACULATA,,CALOPTERYX MACULATA,CALOPTERYX,CALOPTERYX MACULATA
CAMBARIDAE,FALSE,CAMBARIDAE,,CAMBARIDAE,CAMBARIDAE,CAMBARIDAE
CAMBARINCOLA,FALSE,CAMBARINCOLA,,CAMBARINCOLA,OLIGOCHAETA,CAMBARINCOLA
CAMBARUS,FALSE,CAMBARUS,,CAMBARUS,CAMBARUS,CAMBARUS
CAMBARUS DIOGENES,FALSE,CAMBARUS DIOGENES,,CAMBARUS DIOGENES,CAMBARUS,CAMBARUS DIOGENES
CAMELOBAETIDIUS,FALSE,CAMELOBAETIDIUS,,CAMELOBAETIDIUS,CAMELOBAETIDIUS,CAMELOBAETIDIUS
CAPNIIDAE,FALSE,CAPNIIDAE,,CAPNIIDAE,CAPNIIDAE,CAPNIIDAE
CARABIDAE,FALSE,CARABIDAE,,CARABIDAE,CARABIDAE,EXCLUDE
CARDIOCLADIUS,FALSE,CARDIOCLADIUS,,CARDIOCLADIUS,CARDIOCLADIUS,CARDIOCLADIUS
CELINA,FALSE,CELINA,,CELINA,CELINA,CELINA
CELINA HUBBELLI,FALSE,CELINA HUBBELLI,,CELINA HUBBELLI,CELINA,CELINA HUBBELLI
CELITHEMIS,FALSE,CELITHEMIS,,CELITHEMIS,CELITHEMIS,CELITHEMIS
CELITHEMIS EPONINA,FALSE,CELITHEMIS EPONINA,,CELITHEMIS EPONINA,CELITHEMIS,CELITHEMIS EPONINA
CENOCORIXA,FALSE,CENOCORIXA,,CENOCORIXA,CENOCORIXA,CENOCORIXA
CENTROPTILUM,FALSE,CENTROPTILUM,,CENTROPTILUM,CENTROPTILUM,ANAFROPTILUM/NEOCLOEON
CERACLEA,FALSE,CERACLEA,,CERACLEA,CERACLEA,CERACLEA
CERACLEA ANCYLUS,FALSE,CERACLEA ANCYLUS,,CERACLEA ANCYLUS,CERACLEA,CERACLEA ANCYLUS
CERACLEA FLAVA,FALSE,CERACLEA FLAVA,,CERACLEA FLAVA,CERACLEA,CERACLEA FLAVA
CERACLEA MACULATA,FALSE,CERACLEA MACULATA,,CERACLEA MACULATA,CERACLEA,CERACLEA MACULATA
CERACLEA NEFFI,FALSE,CERACLEA NEFFI,,CERACLEA NEFFI,CERACLEA,CERACLEA NEFFI
CERACLEA NEPHA,FALSE,CERACLEA NEPHA,,CERACLEA NEPHA,CERACLEA,CERACLEA NEPHA
CERACLEA SPONGILLOVORAX,FALSE,CERACLEA SPONGILLOVORAX,,CERACLEA SPONGILLOVORAX,CERACLEA,CERACLEA SPONGILLOVORAX
CERACLEA TRANSVERSA,FALSE,CERACLEA TRANSVERSA,,CERACLEA TRANSVERSA,CERACLEA,CERACLEA TRANSVERSA
CERATOPOGON,FALSE,CERATOPOGON,,CERATOPOGON,CERATOPOGON,CERATOPOGON
CERATOPOGONIDAE,FALSE,CERATOPOGONIDAE,,CERATOPOGONIDAE,CERATOPOGONIDAE,CERATOPOGONIDAE
CERATOPSYCHE,FALSE,CERATOPSYCHE,,CERATOPSYCHE,CERATOPSYCHE,CERATOPSYCHE
CERATOPSYCHE MOROSA,FALSE,CERATOPSYCHE MOROSA,,CERATOPSYCHE MOROSA,CERATOPSYCHE,CERATOPSYCHE MOROSA
CERCOBRACHYS,FALSE,CERCOBRACHYS,,CERCOBRACHYS,CERCOBRACHYS,CERCOBRACHYS
CHAETARTHRIA,FALSE,CHAETARTHRIA,,CHAETARTHRIA,CHAETARTHRIA,CHAETARTHRIA
CHAOBORUS,FALSE,CHAOBORUS,,CHAOBORUS,CHAOBORUS,CHAOBORUS
CHAULIODES,FALSE,CHAULIODES,,CHAULIODES,CHAULIODES,CHAULIODES
CHAULIODES RASTRICORNIS,FALSE,CHAULIODES RASTRICORNIS,,CHAULIODES RASTRICORNIS,CHAULIODES,CHAULIODES RASTRICORNIS
CHERNOVSKIIA,FALSE,CHERNOVSKIIA,,CHERNOVSKIIA,CHERNOVSKIIA,CHERNOVSKIIA
CHEUMATOPSYCHE,FALSE,CHEUMATOPSYCHE,,CHEUMATOPSYCHE,CHEUMATOPSYCHE,CHEUMATOPSYCHE
CHIMARRA,FALSE,CHIMARRA,,CHIMARRA,CHIMARRA,CHIMARRA
CHIMARRA FERIA,FALSE,CHIMARRA FERIA,,CHIMARRA FERIA,CHIMARRA,CHIMARRA FERIA
CHIMARRA OBSCURA,FALSE,CHIMARRA OBSCURA,,CHIMARRA OBSCURA,CHIMARRA,CHIMARRA OBSCURA
CHIRONOMIDAE,FALSE,CHIRONOMIDAE,,CHIRONOMIDAE,CHIRONOMIDAE,CHIRONOMIDAE
CHIRONOMUS,FALSE,CHIRONOMUS,,CHIRONOMUS,CHIRONOMUS,CHIRONOMUS
CHIRONOMUS ATTENUATUS,FALSE,CHIRONOMUS ATTENUATUS,,CHIRONOMUS ATTENUATUS,CHIRONOMUS,CHIRONOMUS ATTENUATUS
CHIRONOMUS RIPARIUS,FALSE,CHIRONOMUS RIPARIUS,,CHIRONOMUS RIPARIUS,CHIRONOMUS,CHIRONOMUS RIPARIUS
CHOROTERPES,FALSE,CHOROTERPES,,CHOROTERPES,CHOROTERPES,CHOROTERPES
CHOROTERPES/NEOCHOROTERPES,FALSE,CHOROTERPES/NEOCHOROTERPES,,CHOROTERPES/NEOCHOROTERPES,CHOROTERPES/NEOCHOROTERPES,
CHRYSOMELIDAE,FALSE,CHRYSOMELIDAE,,CHRYSOMELIDAE,CHRYSOMELIDAE,CHRYSOMELIDAE
CHRYSOPS,FALSE,CHRYSOPS,,CHRYSOPS,CHRYSOPS,CHRYSOPS
CINCINNATIA,FALSE,CINCINNATIA,,CINCINNATIA,CINCINNATIA,CINCINNATIA
CINCINNATIA INTEGRA,FALSE,CINCINNATIA INTEGRA,,CINCINNATIA INTEGRA,CINCINNATIA,CINCINNATIA INTEGRA
CIPANGOPALUDINA,FALSE,CIPANGOPALUDINA,,CIPANGOPALUDINA,CIPANGOPALUDINA,CIPANGOPALUDINA
CIPANGOPALUDINA JAPONICA,FALSE,CIPANGOPALUDINA JAPONICA,,CIPANGOPALUDINA JAPONICA,CIPANGOPALUDINA,CIPANGOPALUDINA JAPONICA
CLADOPELMA,FALSE,CLADOPELMA,,CLADOPELMA,CLADOPELMA,CLADOPELMA
CLADOTANYTARSUS,FALSE,CLADOTANYTARSUS,,CLADOTANYTARSUS,CLADOTANYTARSUS,CLADOTANYTARSUS
CLIMACIA,FALSE,CLIMACIA,,CLIMACIA,CLIMACIA,CLIMACIA
CLIMACIA AREOLARIS,FALSE,CLIMACIA AREOLARIS,,CLIMACIA AREOLARIS,CLIMACIA,CLIMACIA AREOLARIS
CLINOTANYPUS,FALSE,CLINOTANYPUS,,CLINOTANYPUS,CLINOTANYPUS,CLINOTANYPUS
CLOEON DIPTERUM,FALSE,CLOEON DIPTERUM,,CLOEON DIPTERUM,CLOEON DIPTERUM,CLOEON DIPTERUM
COELOTANYPUS,FALSE,COELOTANYPUS,,COELOTANYPUS,COELOTANYPUS,COELOTANYPUS
COENAGRIONIDAE,FALSE,COENAGRIONIDAE,,COENAGRIONIDAE,COENAGRIONIDAE,COENAGRIONIDAE
COLEOPTERA,FALSE,COLEOPTERA,,COLEOPTERA,COLEOPTERA,COLEOPTERA
COLLEMBOLA,FALSE,COLLEMBOLA,,COLLEMBOLA,COLLEMBOLA,COLLEMBOLA
COPELATUS,FALSE,COPELATUS,,COPELATUS,COPELATUS,COPELATUS
COPELATUS CHEVROLATI,FALSE,COPELATUS CHEVROLATI,,COPELATUS CHEVROLATI,COPELATUS,
COPELATUS CHEVROLATI RENOVATUS,TRUE,COPELATUS CHEVROLATI,removed subspecies,COPELATUS CHEVROLATI,COPELATUS,COPELATUS CHEVROLATI RENOVATUS
COPELATUS GLYPHICUS,FALSE,COPELATUS GLYPHICUS,,COPELATUS GLYPHICUS,COPELATUS,COPELATUS GLYPHICUS
COPTOTOMUS,FALSE,COPTOTOMUS,,COPTOTOMUS,COPTOTOMUS,COPTOTOMUS
COPTOTOMUS INTERROGATUS,FALSE,COPTOTOMUS INTERROGATUS,,COPTOTOMUS INTERROGATUS,COPTOTOMUS,COPTOTOMUS INTERROGATUS
COPTOTOMUS LONGULUS,FALSE,COPTOTOMUS LONGULUS,,COPTOTOMUS LONGULUS,COPTOTOMUS,COPTOTOMUS LONGULUS
CORBICULA,FALSE,CORBICULA,,CORBICULA,CORBICULA,CORBICULA
CORBICULA FLUMINEA,FALSE,CORBICULA FLUMINEA,,CORBICULA FLUMINEA,CORBICULA,CORBICULA FLUMINEA
CORDULEGASTER,FALSE,CORDULEGASTER,,CORDULEGASTER,CORDULEGASTER,CORDULEGASTER
CORDULEGASTER OBLIQUA,FALSE,CORDULEGASTER OBLIQUA,,CORDULEGASTER OBLIQUA,CORDULEGASTER,CORDULEGASTER OBLIQUA
CORDULIIDAE,FALSE,CORDULIIDAE,,CORDULIIDAE,CORDULIIDAE,CORDULIIDAE
CORISELLA,FALSE,CORISELLA,,CORISELLA,CORISELLA,CORISELLA
CORIXIDAE,FALSE,CORIXIDAE,,CORIXIDAE,CORIXIDAE,CORIXIDAE
CORYDALIDAE,FALSE,CORYDALIDAE,,CORYDALIDAE,CORYDALIDAE,CORYDALIDAE
CORYDALUS,FALSE,CORYDALUS,,CORYDALUS,CORYDALUS,CORYDALUS
CORYDALUS CORNUTUS,FALSE,CORYDALUS CORNUTUS,,CORYDALUS CORNUTUS,CORYDALUS,CORYDALUS CORNUTUS
CORYNONEURA,FALSE,CORYNONEURA,,CORYNONEURA,CORYNONEURA,CORYNONEURA
CRAMBIDAE,FALSE,CRAMBIDAE,,CRAMBIDAE,CRAMBIDAE,CRAMBIDAE
CRANGONYCTIDAE,FALSE,CRANGONYCTIDAE,,CRANGONYCTIDAE,CRANGONYCTIDAE,CRANGONYCTIDAE
CRANGONYX,FALSE,CRANGONYX,,CRANGONYX,CRANGONYX,CRANGONYX
CRICOTOPUS,FALSE,CRICOTOPUS,,CRICOTOPUS,CRICOTOPUS,CRICOTOPUS
CRICOTOPUS (CRICOTOPUS),FALSE,CRICOTOPUS (CRICOTOPUS),,CRICOTOPUS (CRICOTOPUS),CRICOTOPUS,CRICOTOPUS
CRICOTOPUS (CRICOTOPUS) BICINCTUS GR.,FALSE,CRICOTOPUS (CRICOTOPUS) BICINCTUS GR.,,CRICOTOPUS (CRICOTOPUS) BICINCTUS GR.,CRICOTOPUS,CRICOTOPUS BICINCTUS GROUP
CRICOTOPUS (CRICOTOPUS) TREMULUS GR.,FALSE,CRICOTOPUS (CRICOTOPUS) TREMULUS GR.,,CRICOTOPUS (CRICOTOPUS) TREMULUS GR.,CRICOTOPUS,CRICOTOPUS TREMULUS GROUP
CRICOTOPUS (CRICOTOPUS) TRIFASCIA GR.,FALSE,CRICOTOPUS (CRICOTOPUS) TRIFASCIA GR.,,CRICOTOPUS (CRICOTOPUS) TRIFASCIA GR.,CRICOTOPUS,CRICOTOPUS TRIFASCIA GROUP
CRICOTOPUS (ISOCLADIUS),FALSE,CRICOTOPUS (ISOCLADIUS),,CRICOTOPUS (ISOCLADIUS),CRICOTOPUS,CRICOTOPUS
CRICOTOPUS (ISOCLADIUS) SYLVESTRIS GR.,FALSE,CRICOTOPUS (ISOCLADIUS) SYLVESTRIS GR.,,CRICOTOPUS (ISOCLADIUS) SYLVESTRIS GR.,CRICOTOPUS,CRICOTOPUS SYLVESTRIS GROUP
CRICOTOPUS/ORTHOCLADIUS,FALSE,CRICOTOPUS/ORTHOCLADIUS,,CRICOTOPUS/ORTHOCLADIUS,CRICOTOPUS/ORTHOCLADIUS,CRICOTOPUS/ORTHOCLADIUS
CRYPTOCHIRONOMUS,FALSE,CRYPTOCHIRONOMUS,,CRYPTOCHIRONOMUS,CRYPTOCHIRONOMUS,CRYPTOCHIRONOMUS
CRYPTOTENDIPES,FALSE,CRYPTOTENDIPES,,CRYPTOTENDIPES,CRYPTOTENDIPES,CRYPTOTENDIPES
CULEX,FALSE,CULEX,,CULEX,CULEX,CULEX
CULICIDAE,FALSE,CULICIDAE,,CULICIDAE,CULICIDAE,CULICIDAE
CULICOIDES,FALSE,CULICOIDES,,CULICOIDES,CULICOIDES,CULICOIDES
CURCULIONIDAE,FALSE,CURCULIONIDAE,,CURCULIONIDAE,CURCULIONIDAE,CURCULIONIDAE
CYBISTER,FALSE,CYBISTER,,CYBISTER,CYBISTER,CYBISTER
CYBISTER FIMBRIOLATUS,FALSE,CYBISTER FIMBRIOLATUS,,CYBISTER FIMBRIOLATUS,CYBISTER,CYBISTER FIMBRIOLATUS
CYMBIODYTA,FALSE,CYMBIODYTA,,CYMBIODYTA,CYMBIODYTA,CYMBIODYTA
CYPHON,FALSE,CYPHON,,CYPHON,SCIRTIDAE,SCIRTIDAE
CYRNELLUS,FALSE,CYRNELLUS,,CYRNELLUS,CYRNELLUS,CYRNELLUS
CYRNELLUS FRATERNUS,FALSE,CYRNELLUS FRATERNUS,,CYRNELLUS FRATERNUS,CYRNELLUS,CYRNELLUS FRATERNUS
DERO,FALSE,DERO,,DERO,OLIGOCHAETA,DERO
DESMOPACHRIA,FALSE,DESMOPACHRIA,,DESMOPACHRIA,DESMOPACHRIA,DESMOPACHRIA
DIAMESA,FALSE,DIAMESA,,DIAMESA,DIAMESA,DIAMESA
DICROTENDIPES,FALSE,DICROTENDIPES,,DICROTENDIPES,DICROTENDIPES,DICROTENDIPES
DICROTENDIPES MODESTUS,FALSE,DICROTENDIPES MODESTUS,,DICROTENDIPES MODESTUS,DICROTENDIPES,DICROTENDIPES MODESTUS
DICROTENDIPES NEOMODESTUS,FALSE,DICROTENDIPES NEOMODESTUS,,DICROTENDIPES NEOMODESTUS,DICROTENDIPES,DICROTENDIPES NEOMODESTUS
