TaxaID_orig,modified_BCG,OTU_BCG,Notes,OTU_MMI,OTU_MMI_genus,OTU_bcgTaxaTolAnal
DICROTENDIPES SIMPSONI,FALSE,DICROTENDIPES SIMPSONI,,DICROTENDIPES SIMPSONI,DICROTENDIPES,DICROTENDIPES SIMPSONI
DIDYMOPS,FALSE,DIDYMOPS,,DIDYMOPS,DIDYMOPS,DIDYMOPS
DIDYMOPS TRANSVERSA,FALSE,DIDYMOPS TRANSVERSA,,DIDYMOPS TRANSVERSA,DIDYMOPS,DIDYMOPS TRANSVERSA
DINEUTUS,FALSE,DINEUTUS,,DINEUTUS,DINEUTUS,DINEUTUS
DINEUTUS CILIATUS,FALSE,DINEUTUS CILIATUS,,DINEUTUS CILIATUS,DINEUTUS,DINEUTUS CILIATUS
DINEUTUS SERRULATUS,FALSE,DINEUTUS SERRULATUS,,DINEUTUS SERRULATUS,DINEUTUS,DINEUTUS SERRULATUS
DIPLOCLADIUS,FALSE,DIPLOCLADIUS,,DIPLOCLADIUS,DIPLOCLADIUS,DIPLOCLADIUS
DIPTERA,FALSE,DIPTERA,,DIPTERA,DIPTERA,DIPTERA
DOLICHOPODIDAE,FALSE,DOLICHOPODIDAE,,DOLICHOPODIDAE,DOLICHOPODIDAE,DOLICHOPODIDAE
DREISSENA,FALSE,DREISSENA,,DREISSENA,DREISSENA,DREISSENA
DREISSENA POLYMORPHA,FALSE,DREISSENA POLYMORPHA,,DREISSENA POLYMORPHA,DREISSENA,DREISSENA POLYMORPHA
DROMOGOMPHUS,FALSE,DROMOGOMPHUS,,DROMOGOMPHUS,DROMOGOMPHUS,DROMOGOMPHUS
DROMOGOMPHUS SPINOSUS,FALSE,DROMOGOMPHUS SPINOSUS,,DROMOGOMPHUS SPINOSUS,DROMOGOMPHUS,DROMOGOMPHUS SPINOSUS
DROMOGOMPHUS SPOLIATUS,FALSE,DROMOGOMPHUS SPOLIATUS,,DROMOGOMPHUS SPOLIATUS,DROMOGOMPHUS,DROMOGOMPHUS SPOLIATUS
DUBIRAPHIA,FALSE,DUBIRAPHIA,,DUBIRAPHIA,DUBIRAPHIA,DUBIRAPHIA
DUBIRAPHIA BREVIPENNIS,FALSE,DUBIRAPHIA BREVIPENNIS,,DUBIRAPHIA BREVIPENNIS,DUBIRAPHIA,DUBIRAPHIA BREVIPENNIS
DUBIRAPHIA MINIMA,FALSE,DUBIRAPHIA MINIMA,,DUBIRAPHIA MINIMA,DUBIRAPHIA,DUBIRAPHIA MINIMA
DUBIRAPHIA VITTATA,FALSE,DUBIRAPHIA VITTATA,,DUBIRAPHIA VITTATA,DUBIRAPHIA,DUBIRAPHIA VITTATA
DUGESIA,FALSE,DUGESIA,,DUGESIA,DUGESIA,DUGESIA
DUGESIA TIGRINA,FALSE,DUGESIA TIGRINA,,DUGESIA TIGRINA,DUGESIA,DUGESIA TIGRINA
DYTHEMIS,FALSE,DYTHEMIS,,DYTHEMIS,DYTHEMIS,DYTHEMIS
DYTHEMIS FUGAX,FALSE,DYTHEMIS FUGAX,,DYTHEMIS FUGAX,DYTHEMIS,DYTHEMIS FUGAX
DYTISCIDAE,FALSE,DYTISCIDAE,,DYTISCIDAE,DYTISCIDAE,DYTISCIDAE
ECTOPRIA,FALSE,ECTOPRIA,,ECTOPRIA,ECTOPRIA,ECTOPRIA
EINFELDIA,FALSE,EINFELDIA,,EINFELDIA,EINFELDIA,EINFELDIA
ELIMIA,FALSE,ELIMIA,,ELIMIA,ELIMIA,ELIMIA
ELIMIA POTOSIENSIS,FALSE,ELIMIA POTOSIENSIS,,ELIMIA POTOSIENSIS,ELIMIA,ELIMIA POTOSIENSIS
ELMIDAE,FALSE,ELMIDAE,,ELMIDAE,ELMIDAE,ELMIDAE
EMPIDIDAE,FALSE,EMPIDIDAE,,EMPIDIDAE,EMPIDIDAE,EMPIDIDAE
ENALLAGMA,FALSE,ENALLAGMA,,ENALLAGMA,ENALLAGMA,ENALLAGMA
ENALLAGMA BASIDENS,FALSE,ENALLAGMA BASIDENS,,ENALLAGMA BASIDENS,ENALLAGMA,ENALLAGMA BASIDENS
ENALLAGMA EXSULANS,FALSE,ENALLAGMA EXSULANS,,ENALLAGMA EXSULANS,ENALLAGMA,ENALLAGMA EXSULANS
ENALLAGMA TRIVIATUM,FALSE,ENALLAGMA TRIVIATUM,,ENALLAGMA TRIVIATUM,ENALLAGMA,ENALLAGMA TRIVIATUM
ENCHYTRAEIDAE,FALSE,ENCHYTRAEIDAE,,ENCHYTRAEIDAE,OLIGOCHAETA,ENCHYTRAEIDAE
ENDOCHIRONOMUS,FALSE,ENDOCHIRONOMUS,,ENDOCHIRONOMUS,ENDOCHIRONOMUS,ENDOCHIRONOMUS
ENDOTRIBELOS,FALSE,ENDOTRIBELOS,,ENDOTRIBELOS,ENDOTRIBELOS,ENDOTRIBELOS
ENOCHRUS,FALSE,ENOCHRUS,,ENOCHRUS,ENOCHRUS,ENOCHRUS
ENOCHRUS HAMILTONI,FALSE,ENOCHRUS HAMILTONI,,ENOCHRUS HAMILTONI,ENOCHRUS,ENOCHRUS HAMILTONI
EPHEMERA,FALSE,EPHEMERA,,EPHEMERA,EPHEMERA,EPHEMERA
EPHEMERA SIMULANS,FALSE,EPHEMERA SIMULANS,,EPHEMERA SIMULANS,EPHEMERA,EPHEMERA SIMULANS
EPHEMERELLA,FALSE,EPHEMERELLA,,EPHEMERELLA,EPHEMERELLA,EPHEMERELLA
EPHEMERIDAE,FALSE,EPHEMERIDAE,,EPHEMERIDAE,EPHEMERIDAE,EPHEMERIDAE
EPHEMEROPTERA,FALSE,EPHEMEROPTERA,,EPHEMEROPTERA,EPHEMEROPTERA,EPHEMEROPTERA
EPHORON,FALSE,EPHORON,,EPHORON,EPHORON,EPHORON
EPHORON ALBUM,FALSE,EPHORON ALBUM,,EPHORON ALBUM,EPHORON,EPHORON ALBUM
EPHORON LEUKON,FALSE,EPHORON LEUKON,,EPHORON LEUKON,EPHORON,EPHORON LEUKON
EPHYDRIDAE,FALSE,EPHYDRIDAE,,EPHYDRIDAE,EPHYDRIDAE,EPHYDRIDAE
EPITHECA,FALSE,EPITHECA,,EPITHECA,EPITHECA,EPITHECA
EPITHECA CYNOSURA,FALSE,EPITHECA CYNOSURA,,EPITHECA CYNOSURA,EPITHECA,EPITHECA CYNOSURA
EPITHECA PETECHIALIS,FALSE,EPITHECA PETECHIALIS,,EPITHECA PETECHIALIS,EPITHECA,EPITHECA PETECHIALIS
EPITHECA PRINCEPS,FALSE,EPITHECA PRINCEPS,,EPITHECA PRINCEPS,EPITHECA,EPITHECA PRINCEPS
EPOICOCLADIUS,FALSE,EPOICOCLADIUS,,EPOICOCLADIUS,EPOICOCLADIUS,EPOICOCLADIUS
ERETES,FALSE,ERETES,,ERETES,ERETES,ERETES
ERIOPTERA,FALSE,ERIOPTERA,,ERIOPTERA,ERIOPTERA,ERIOPTERA
ERISTALIS,FALSE,ERISTALIS,,ERISTALIS,SYRPHIDAE,ERISTALIS
ERPETOGOMPHUS,FALSE,ERPETOGOMPHUS,,ERPETOGOMPHUS,ERPETOGOMPHUS,ERPETOGOMPHUS
ERPETOGOMPHUS DESIGNATUS,FALSE,ERPETOGOMPHUS DESIGNATUS,,ERPETOGOMPHUS DESIGNATUS,ERPETOGOMPHUS,ERPETOGOMPHUS DESIGNATUS
ERPOBDELLA,FALSE,ERPOBDELLA,,ERPOBDELLA,ERPOBDELLIDAE,ERPOBDELLA
ERPOBDELLA PUNCTATA,FALSE,ERPOBDELLA PUNCTATA,,ERPOBDELLA PUNCTATA,ERPOBDELLIDAE,ERPOBDELLA PUNCTATA
ERPOBDELLIDAE,FALSE,ERPOBDELLIDAE,,ERPOBDELLIDAE,ERPOBDELLIDAE,ERPOBDELLIDAE
ERYTHEMIS,FALSE,ERYTHEMIS,,ERYTHEMIS,ERYTHEMIS,ERYTHEMIS
ERYTHEMIS SIMPLICICOLLIS,FALSE,ERYTHEMIS SIMPLICICOLLIS,,ERYTHEMIS SIMPLICICOLLIS,ERYTHEMIS,ERYTHEMIS SIMPLICICOLLIS
ERYTHRODIPLAX,FALSE,ERYTHRODIPLAX,,ERYTHRODIPLAX,ERYTHRODIPLAX,ERYTHRODIPLAX
ERYTHRODIPLAX UMBRATA,FALSE,ERYTHRODIPLAX UMBRATA,,ERYTHRODIPLAX UMBRATA,ERYTHRODIPLAX,ERYTHRODIPLAX UMBRATA
EUKIEFFERIELLA,FALSE,EUKIEFFERIELLA,,EUKIEFFERIELLA,EUKIEFFERIELLA,EUKIEFFERIELLA
EUPERA,FALSE,EUPERA,,EUPERA,EUPERA,EUPERA
EUPERA CUBENSIS,FALSE,EUPERA CUBENSIS,,EUPERA CUBENSIS,EUPERA,EUPERA CUBENSIS
EURYLOPHELLA,FALSE,EURYLOPHELLA,,EURYLOPHELLA,EURYLOPHELLA,EURYLOPHELLA
FALLCEON,FALSE,FALLCEON,,FALLCEON,FALLCEON,FALLCEON
FALLCEON QUILLERI,FALSE,FALLCEON QUILLERI,,FALLCEON QUILLERI,FALLCEON,FALLCEON QUILLERI
FERRISSIA,FALSE,FERRISSIA,,FERRISSIA,FERRISSIA,FERRISSIA
FOSSARIA,TRUE,LYMNAEIDAE,nomenclature issue,LYMNAEIDAE,LYMNAEIDAE,LYMNAEA
FOSSARIA BULIMOIDES,TRUE,LYMNAEIDAE,nomenclature issue,LYMNAEIDAE,LYMNAEIDAE,LYMNAEA BULIMOIDES
GALERUCELLA,FALSE,GALERUCELLA,,GALERUCELLA,CHRYSOMELIDAE,GALERUCELLA
GAMMARIDAE,FALSE,GAMMARIDAE,,GAMMARIDAE,GAMMARIDAE,GAMMARIDAE
GAMMARUS,FALSE,GAMMARUS,,GAMMARUS,GAMMARUS,GAMMARUS
GELASTOCORIS,FALSE,GELASTOCORIS,,GELASTOCORIS,GELASTOCORIS,GELASTOCORIS
GELASTOCORIS OCULATUS,FALSE,GELASTOCORIS OCULATUS,,GELASTOCORIS OCULATUS,GELASTOCORIS,GELASTOCORIS OCULATUS
GERRIDAE,FALSE,GERRIDAE,,GERRIDAE,GERRIDAE,GERRIDAE
GERRIS,FALSE,GERRIS,,GERRIS,GERRIS,GERRIS
GLOSSIPHONIIDAE,FALSE,GLOSSIPHONIIDAE,,GLOSSIPHONIIDAE,GLOSSIPHONIIDAE,GLOSSIPHONIIDAE
GLYPTOTENDIPES,FALSE,GLYPTOTENDIPES,,GLYPTOTENDIPES,GLYPTOTENDIPES,GLYPTOTENDIPES
GOELDICHIRONOMUS,FALSE,GOELDICHIRONOMUS,,GOELDICHIRONOMUS,GOELDICHIRONOMUS,GOELDICHIRONOMUS
GOELDICHIRONOMUS HOLOPRASINUS,FALSE,GOELDICHIRONOMUS HOLOPRASINUS,,GOELDICHIRONOMUS HOLOPRASINUS,GOELDICHIRONOMUS,GOELDICHIRONOMUS HOLOPRASINUS
GOMPHIDAE,FALSE,GOMPHIDAE,,GOMPHIDAE,GOMPHIDAE,GOMPHIDAE
GOMPHURUS,FALSE,GOMPHURUS,,GOMPHURUS,GOMPHURUS,
GOMPHUS,FALSE,GOMPHUS,,GOMPHUS,GOMPHUS,GOMPHIDAE
GOMPHUS EXTERNUS,FALSE,GOMPHUS EXTERNUS,,GOMPHUS EXTERNUS,GOMPHUS,GOMPHURUS EXTERNUS
GOMPHUS GRASLINELLUS,FALSE,GOMPHUS GRASLINELLUS,,GOMPHUS GRASLINELLUS,GOMPHUS,PHANOGOMPHUS GRASLINELLUS
GOMPHUS MILITARIS,FALSE,GOMPHUS MILITARIS,,GOMPHUS MILITARIS,GOMPHUS,PHANOGOMPHUS MILITARIS
GOMPHUS VASTUS,FALSE,GOMPHUS VASTUS,,GOMPHUS VASTUS,GOMPHUS,GOMPHURUS VASTUS
GORDIIDAE,FALSE,GORDIIDAE,,GORDIIDAE,GORDIIDAE,GORDIIDAE
GORDIUS,FALSE,GORDIUS,,GORDIUS,GORDIUS,GORDIUS
GYMNOCHTHEBIUS,FALSE,GYMNOCHTHEBIUS,,GYMNOCHTHEBIUS,GYMNOCHTHEBIUS,GYMNOCHTHEBIUS
GYRAULUS,FALSE,GYRAULUS,,GYRAULUS,GYRAULUS,GYRAULUS
GYRETES,FALSE,GYRETES,,GYRETES,GYRETES,GYRETES
GYRINIDAE,FALSE,GYRINIDAE,,GYRINIDAE,GYRINIDAE,GYRINIDAE
GYRINUS,FALSE,GYRINUS,,GYRINUS,GYRINUS,GYRINUS
HAEMOPIDAE,FALSE,HAEMOPIDAE,,HAEMOPIDAE,HAEMOPIDAE,
HAEMOPIS,FALSE,HAEMOPIS,,HAEMOPIS,HAEMOPIDAE,HAEMOPIS
HAGENIUS,FALSE,HAGENIUS,,HAGENIUS,HAGENIUS,HAGENIUS
HAGENIUS BREVISTYLUS,FALSE,HAGENIUS BREVISTYLUS,,HAGENIUS BREVISTYLUS,HAGENIUS,HAGENIUS BREVISTYLUS
HALIPLIDAE,FALSE,HALIPLIDAE,,HALIPLIDAE,HALIPLIDAE,HALIPLIDAE
HALIPLUS,FALSE,HALIPLUS,,HALIPLUS,HALIPLUS,HALIPLUS
HALIPLUS TRIOPSIS,FALSE,HALIPLUS TRIOPSIS,,HALIPLUS TRIOPSIS,HALIPLUS,HALIPLUS TRIOPSIS
HARNISCHIA,FALSE,HARNISCHIA,,HARNISCHIA,HARNISCHIA,HARNISCHIA
HEBRIDAE,FALSE,HEBRIDAE,,HEBRIDAE,HEBRIDAE,HEBRIDAE
HEBRUS,FALSE,HEBRUS,,HEBRUS,HEBRIDAE,HEBRUS
HELICHUS,FALSE,HELICHUS,,HELICHUS,HELICHUS,HELICHUS
HELICHUS BASALIS,FALSE,HELICHUS BASALIS,,HELICHUS BASALIS,HELICHUS,HELICHUS BASALIS
HELICHUS FASTIGIATUS,FALSE,HELICHUS FASTIGIATUS,,HELICHUS FASTIGIATUS,HELICHUS,HELICHUS FASTIGIATUS
HELICHUS LITHOPHILUS,FALSE,HELICHUS LITHOPHILUS,,HELICHUS LITHOPHILUS,HELICHUS,HELICHUS LITHOPHILUS
HELICHUS SUTURALIS,FALSE,HELICHUS SUTURALIS,,HELICHUS SUTURALIS,HELICHUS,HELICHUS SUTURALIS
HELICOPSYCHE,FALSE,HELICOPSYCHE,,HELICOPSYCHE,HELICOPSYCHE,HELICOPSYCHE
HELICOPSYCHE BOREALIS,FALSE,HELICOPSYCHE BOREALIS,,HELICOPSYCHE BOREALIS,HELICOPSYCHE,HELICOPSYCHE BOREALIS
HELICOPSYCHE PIORA,FALSE,HELICOPSYCHE PIORA,,HELICOPSYCHE PIORA,HELICOPSYCHE,HELICOPSYCHE PIORA
HELISOMA,FALSE,HELISOMA,,HELISOMA,HELISOMA,HELISOMA
HELOBDELLA,FALSE,HELOBDELLA,,HELOBDELLA,GLOSSIPHONIIDAE,HELOBDELLA
HELOBDELLA FUSCA,FALSE,HELOBDELLA FUSCA,,HELOBDELLA FUSCA,GLOSSIPHONIIDAE,HELOBDELLA FUSCA
HELOCHARES,FALSE,HELOCHARES,,HELOCHARES,HELOCHARES,HELOCHARES
HELOCHARES MACULICOLLIS,FALSE,HELOCHARES MACULICOLLIS,,HELOCHARES MACULICOLLIS,HELOCHARES,HELOCHARES MACULICOLLIS
HELOCOMBUS,FALSE,HELOCOMBUS,,HELOCOMBUS,HELOCOMBUS,HELOCOMBUS
HELOPHORUS,FALSE,HELOPHORUS,,HELOPHORUS,HELOPHORUS,HELOPHORUS
HEMERODROMIA,FALSE,HEMERODROMIA,,HEMERODROMIA,HEMERODROMIA,HEMERODROMIA
HEPTAGENIA,FALSE,HEPTAGENIA,,HEPTAGENIA,HEPTAGENIA,HEPTAGENIA
HEPTAGENIA ELEGANTULA,FALSE,HEPTAGENIA ELEGANTULA,,HEPTAGENIA ELEGANTULA,HEPTAGENIA,HEPTAGENIA ELEGANTULA
HEPTAGENIA FLAVESCENS,FALSE,HEPTAGENIA FLAVESCENS,,HEPTAGENIA FLAVESCENS,HEPTAGENIA,HEPTAGENIA FLAVESCENS
HEPTAGENIA MARGINALIS,FALSE,HEPTAGENIA MARGINALIS,,HEPTAGENIA MARGINALIS,HEPTAGENIA,HEPTAGENIA MARGINALIS
HEPTAGENIA PULLA,FALSE,HEPTAGENIA PULLA,,HEPTAGENIA PULLA,HEPTAGENIA,HEPTAGENIA PULLA
HEPTAGENIIDAE,FALSE,HEPTAGENIIDAE,,HEPTAGENIIDAE,HEPTAGENIIDAE,HEPTAGENIIDAE
HESPEROCORIXA,FALSE,HESPEROCORIXA,,HESPEROCORIXA,HESPEROCORIXA,HESPEROCORIXA
HETAERINA,FALSE,HETAERINA,,HETAERINA,HETAERINA,HETAERINA
HETAERINA AMERICANA,FALSE,HETAERINA AMERICANA,,HETAERINA AMERICANA,HETAERINA,HETAERINA AMERICANA
HETAERINA TITIA,FALSE,HETAERINA TITIA,,HETAERINA TITIA,HETAERINA,HETAERINA TITIA
HETERELMIS,FALSE,HETERELMIS,,HETERELMIS,HETERELMIS,HETERELMIS
HETERELMIS VULNERATA,FALSE,HETERELMIS VULNERATA,,HETERELMIS VULNERATA,HETERELMIS,HETERELMIS VULNERATA
HETEROCERIDAE,FALSE,HETEROCERIDAE,,HETEROCERIDAE,HETEROCERIDAE,HETEROCERIDAE
HETEROCLOEON,FALSE,HETEROCLOEON,,HETEROCLOEON,HETEROCLOEON,HETEROCLOEON
HETEROSTERNUTA,FALSE,HETEROSTERNUTA,,HETEROSTERNUTA,HETEROSTERNUTA,HETEROSTERNUTA
HETEROSTERNUTA DIVERSICORNIS,FALSE,HETEROSTERNUTA DIVERSICORNIS,,HETEROSTERNUTA DIVERSICORNIS,HETEROSTERNUTA,HETEROSTERNUTA DIVERSICORNIS
HETEROSTERNUTA PULCHER,FALSE,HETEROSTERNUTA PULCHER,,HETEROSTERNUTA PULCHER,HETEROSTERNUTA,HETEROSTERNUTA PULCHRA
HETEROSTERNUTA WICKHAMI,FALSE,HETEROSTERNUTA WICKHAMI,,HETEROSTERNUTA WICKHAMI,HETEROSTERNUTA,HETEROSTERNUTA WICKHAMI
HEXAGENIA,FALSE,HEXAGENIA,,HEXAGENIA,HEXAGENIA,HEXAGENIA
HEXAGENIA LIMBATA,FALSE,HEXAGENIA LIMBATA,,HEXAGENIA LIMBATA,HEXAGENIA,HEXAGENIA LIMBATA
HEXATOMA,FALSE,HEXATOMA,,HEXATOMA,HEXATOMA,HEXATOMA
HIRUDINEA,FALSE,HIRUDINEA,,HIRUDINEA,HIRUDINEA,HIRUDINEA
HIRUDINIDAE,FALSE,HIRUDINIDAE,,HIRUDINIDAE,HIRUDINIDAE,HIRUDINIDAE
HOMOEONEURIA,FALSE,HOMOEONEURIA,,HOMOEONEURIA,HOMOEONEURIA,HOMOEONEURIA
HOMOEONEURIA AMMOPHILA,FALSE,HOMOEONEURIA AMMOPHILA,,HOMOEONEURIA AMMOPHILA,HOMOEONEURIA,HOMOEONEURIA AMMOPHILA
HYALELLA,FALSE,HYALELLA,,HYALELLA,HYALELLA,HYALELLA
HYALELLA AZTECA,FALSE,HYALELLA AZTECA,,HYALELLA AZTECA,HYALELLA,HYALELLA AZTECA
HYBOMITRA,FALSE,HYBOMITRA,,HYBOMITRA,HYBOMITRA,HYBOMITRA
HYDROBAENUS,FALSE,HYDROBAENUS,,HYDROBAENUS,HYDROBAENUS,HYDROBAENUS
HYDROBIIDAE,FALSE,HYDROBIIDAE,,HYDROBIIDAE,HYDROBIIDAE,HYDROBIIDAE
HYDROBIUS,FALSE,HYDROBIUS,,HYDROBIUS,HYDROBIUS,HYDROBIUS
HYDROCANTHUS,FALSE,HYDROCANTHUS,,HYDROCANTHUS,HYDROCANTHUS,HYDROCANTHUS
HYDROCANTHUS IRICOLOR,FALSE,HYDROCANTHUS IRICOLOR,,HYDROCANTHUS IRICOLOR,HYDROCANTHUS,HYDROCANTHUS IRICOLOR
HYDROCHARA,FALSE,HYDROCHARA,,HYDROCHARA,HYDROCHARA,HYDROCHARA
HYDROCHUS,FALSE,HYDROCHUS,,HYDROCHUS,HYDROCHUS,HYDROCHUS
HYDROMETRA,FALSE,HYDROMETRA,,HYDROMETRA,HYDROMETRA,HYDROMETRA
HYDROMETRA MARTINI,FALSE,HYDROMETRA MARTINI,,HYDROMETRA MARTINI,HYDROMETRA,HYDROMETRA MARTINI
HYDROPERLA,FALSE,HYDROPERLA,,HYDROPERLA,HYDROPERLA,HYDROPERLA
HYDROPERLA CROSBYI,FALSE,HYDROPERLA CROSBYI,,HYDROPERLA CROSBYI,HYDROPERLA,HYDROPERLA CROSBYI
HYDROPERLA FUGITANS,FALSE,HYDROPERLA FUGITANS,,HYDROPERLA FUGITANS,HYDROPERLA,HYDROPERLA FUGITANS
HYDROPHILIDAE,FALSE,HYDROPHILIDAE,,HYDROPHILIDAE,HYDROPHILIDAE,HYDROPHILIDAE
HYDROPHILUS,FALSE,HYDROPHILUS,,HYDROPHILUS,HYDROPHILUS,HYDROPHILUS
HYDROPHILUS TRIANGULARIS,FALSE,HYDROPHILUS TRIANGULARIS,,HYDROPHILUS TRIANGULARIS,HYDROPHILUS,HYDROPHILUS TRIANGULARIS
HYDROPORINI,FALSE,HYDROPORINI,,HYDROPORINI,HYDROPORINI,HYDROPORINI
HYDROPORUS,FALSE,HYDROPORUS,,HYDROPORUS,HYDROPORUS,HYDROPORUS
HYDROPORUS NIGER,FALSE,HYDROPORUS NIGER,,HYDROPORUS NIGER,HYDROPORUS,HYDROPORUS NIGER
HYDROPORUS NOTABILIS,FALSE,HYDROPORUS NOTABILIS,,HYDROPORUS NOTABILIS,HYDROPORUS,HYDROPORUS NOTABILIS
HYDROPSYCHE,FALSE,HYDROPSYCHE,,HYDROPSYCHE,HYDROPSYCHE,HYDROPSYCHE
HYDROPSYCHE ARINALE,FALSE,HYDROPSYCHE ARINALE,,HYDROPSYCHE ARINALE,HYDROPSYCHE,HYDROPSYCHE ARINALE
HYDROPSYCHE BETTENI,FALSE,HYDROPSYCHE BETTENI,,HYDROPSYCHE BETTENI,HYDROPSYCHE,HYDROPSYCHE BETTENI
HYDROPSYCHE BIDENS,FALSE,HYDROPSYCHE BIDENS,,HYDROPSYCHE BIDENS,HYDROPSYCHE,HYDROPSYCHE BIDENS
HYDROPSYCHE BIDENS/ORRIS,FALSE,HYDROPSYCHE BIDENS/ORRIS,,HYDROPSYCHE BIDENS/ORRIS,HYDROPSYCHE,HYDROPSYCHE BIDENS/ORRIS
HYDROPSYCHE ORRIS,FALSE,HYDROPSYCHE ORRIS,,HYDROPSYCHE ORRIS,HYDROPSYCHE,HYDROPSYCHE ORRIS
HYDROPSYCHE SCALARIS,FALSE,HYDROPSYCHE SCALARIS,,HYDROPSYCHE SCALARIS,HYDROPSYCHE,HYDROPSYCHE SCALARIS
HYDROPSYCHE SIMULANS,FALSE,HYDROPSYCHE SIMULANS,,HYDROPSYCHE SIMULANS,HYDROPSYCHE,HYDROPSYCHE SIMULANS
HYDROPSYCHE VALANIS,FALSE,HYDROPSYCHE VALANIS,,HYDROPSYCHE VALANIS,HYDROPSYCHE,HYDROPSYCHE VALANIS
HYDROPSYCHIDAE,FALSE,HYDROPSYCHIDAE,,HYDROPSYCHIDAE,HYDROPSYCHIDAE,HYDROPSYCHIDAE
HYDROPTILA,FALSE,HYDROPTILA,,HYDROPTILA,HYDROPTILA,HYDROPTILA
HYDROPTILIDAE,FALSE,HYDROPTILIDAE,,HYDROPTILIDAE,HYDROPTILIDAE,HYDROPTILIDAE
HYDROVATUS,FALSE,HYDROVATUS,,HYDROVATUS,HYDROVATUS,HYDROVATUS
HYDROVATUS PUSTULATUS,FALSE,HYDROVATUS PUSTULATUS,,HYDROVATUS PUSTULATUS,HYDROVATUS,HYDROVATUS PUSTULATUS
HYGROTUS,FALSE,HYGROTUS,,HYGROTUS,HYGROTUS,HYGROTUS
HYGROTUS ACAROIDES,FALSE,HYGROTUS ACAROIDES,,HYGROTUS ACAROIDES,HYGROTUS,HYGROTUS ACAROIDES
ILYBIUS,FALSE,ILYBIUS,,ILYBIUS,ILYBIUS,ILYBIUS
ILYBIUS OBLITUS,FALSE,ILYBIUS OBLITUS,,ILYBIUS OBLITUS,ILYBIUS,ILYBIUS OBLITUS
IRONOQUIA,FALSE,IRONOQUIA,,IRONOQUIA,IRONOQUIA,IRONOQUIA
IRONOQUIA PUNCTATISSIMA,FALSE,IRONOQUIA PUNCTATISSIMA,,IRONOQUIA PUNCTATISSIMA,IRONOQUIA,IRONOQUIA PUNCTATISSIMA
ISCHNURA,FALSE,ISCHNURA,,ISCHNURA,ISCHNURA,ISCHNURA
ISONYCHIA,FALSE,ISONYCHIA,,ISONYCHIA,ISONYCHIA,ISONYCHIA
ISONYCHIIDAE,FALSE,ISONYCHIIDAE,,ISONYCHIIDAE,ISONYCHIIDAE,ISONYCHIIDAE
ISOPERLA,FALSE,ISOPERLA,,ISOPERLA,ISOPERLA,ISOPERLA
ISOPERLA BILINEATA,FALSE,ISOPERLA BILINEATA,,ISOPERLA BILINEATA,ISOPERLA,ISOPERLA BILINEATA
ISOPERLA MARLYNIA,FALSE,ISOPERLA MARLYNIA,,ISOPERLA MARLYNIA,ISOPERLA,ISOPERLA MARLYNIA
ISOPERLA MOHRI,FALSE,ISOPERLA MOHRI,,ISOPERLA MOHRI,ISOPERLA,ISOPERLA MOHRI
ISOTOMURUS,FALSE,ISOTOMURUS,,ISOTOMURUS,ISOTOMURUS,ISOTOMURUS
ITHYTRICHIA,FALSE,ITHYTRICHIA,,ITHYTRICHIA,ITHYTRICHIA,ITHYTRICHIA
ITHYTRICHIA CLAVATA,FALSE,ITHYTRICHIA CLAVATA,,ITHYTRICHIA CLAVATA,ITHYTRICHIA,ITHYTRICHIA CLAVATA
KIEFFERULUS,FALSE,KIEFFERULUS,,KIEFFERULUS,KIEFFERULUS,KIEFFERULUS
KRENOPELOPIA,FALSE,KRENOPELOPIA,,KRENOPELOPIA,KRENOPELOPIA,KRENOPELOPIA
LABRUNDINIA,FALSE,LABRUNDINIA,,LABRUNDINIA,LABRUNDINIA,LABRUNDINIA
LACCOBIUS,FALSE,LACCOBIUS,,LACCOBIUS,LACCOBIUS,LACCOBIUS
LACCODYTES,FALSE,LACCODYTES,,LACCODYTES,LACCODYTES,LACCODYTES
