orig_TaxaID,OTU_BCG_MO,ModifiedBCG,Notes
Ablabesmyia,ABLABESMYIA,FALSE,
Acarina,ACARINA,FALSE,
Acentrella,ACENTRELLA,FALSE,
Acerpenna,ACERPENNA,FALSE,
Acilius,ACILIUS,FALSE,
Acilius fraternus,ACILIUS FRATERNUS,FALSE,
Acroneuria,ACRONEURIA,FALSE,
Aedes,AEDES,FALSE,
Aeshna,AESHNA,FALSE,
Aeshnidae,AESHNIDAE,FALSE,
Agabus,AGABUS,FALSE,
Agapetus,AGAPETUS,FALSE,
Agnetina capitata,AGNETINA CAPITATA,FALSE,
Agnetina flavescens,AGNETINA FLAVESCENS,FALSE,
Agrypnia,AGRYPNIA,FALSE,
Allocapnia,ALLOCAPNIA,FALSE,
Allocrangonyx,ALLOCRANGONYX,FALSE,
Allognosta,ALLOGNOSTA,FALSE,
Allognostra,ALLOGNOSTA,TRUE,misspelling
Alloperla,ALLOPERLA,FALSE,
Ameletidae,AMELETIDAE,FALSE,
Ameletus,AMELETUS,FALSE,
Ameletus lineatus,AMELETUS LINEATUS,FALSE,
Ameletus ludens,AMELETUS LUDENS,FALSE,
Amercaenis,AMERCAENIS,FALSE,
Amphiagrion,AMPHIAGRION,FALSE,
Amphinemura,AMPHINEMURA,FALSE,
Amphipoda,AMPHIPODA,FALSE,
Anacaena,ANACAENA,FALSE,
Anax,ANAX,FALSE,
Ancylidae,ANCYLIDAE,FALSE,
Ancyronyx,ANCYRONYX,FALSE,
Ancyronyx variegatus,ANCYRONYX VARIEGATUS,FALSE,
Anisoptera,ANISOPTERA,FALSE,
Anopheles,ANOPHELES,FALSE,
Anthopotamus,ANTHOPOTAMUS,FALSE,
Antocha,ANTOCHA,FALSE,
Apedilum,APEDILUM,FALSE,
Apobaetis,APOBAETIS,FALSE,
Aquarius,AQUARIUS,FALSE,
Archilestes,ARCHILESTES,FALSE,
Argia,ARGIA,FALSE,
Arigomphus,ARIGOMPHUS,FALSE,
Asellidae,ASELLIDAE,FALSE,
Asheum beckae,ASHEUM BECKAE,FALSE,
Atherix,ATHERIX,FALSE,
Attaneuria ruralis,ATTANEURIA RURALIS,FALSE,
Aulodrilus,AULODRILUS,FALSE,
Aulodrilus pigueti,AULODRILUS PIGUETI,FALSE,
Axarus,AXARUS,FALSE,
Bactrurus,BACTRURUS,FALSE,
Baetidae,BAETIDAE,FALSE,
Baetis,BAETIS,FALSE,
Baetisca,BAETISCA,FALSE,
Baetisca lacustris,BAETISCA LACUSTRIS,FALSE,
Baetisca obesa,BAETISCA OBESA,FALSE,
Baetiscidae,BAETISCIDAE,FALSE,
Banksiola,BANKSIOLA,FALSE,
Barbaetis,BARBAETIS,FALSE,
Basiaeschna,BASIAESCHNA,FALSE,
Basiaeschna janata,BASIAESCHNA JANATA,FALSE,
Bellura,BELLURA,FALSE,
Belostoma,BELOSTOMA,FALSE,
Berosus,BEROSUS,FALSE,
Bezzia/Palpomyia,BEZZIA/PALPOMYIA,FALSE,
Bidessonotus,BIDESSONOTUS,FALSE,
Bittacomorpha,BITTACOMORPHA,FALSE,
Boyeria,BOYERIA,FALSE,
Brachycercus,BRACHYCERCUS,FALSE,
Brachyvatus,BRACHYVATUS,FALSE,
Braconidae,BRACONIDAE,FALSE,
Branchiobdellida,BRANCHIOBDELLIDA,FALSE,
Branchiura sowerbyi,BRANCHIURA SOWERBYI,FALSE,
Brillia,BRILLIA,FALSE,
Bryophaenocladius,BRYOPHAENOCLADIUS,FALSE,
Buenoa,BUENOA,FALSE,
Caecidotea,CAECIDOTEA,FALSE,
Caecidotea (Blind & Unpigmented),CAECIDOTEA,FALSE,
Caecidotea (epigean),CAECIDOTEA,TRUE,
Caecidotea (hypogean),CAECIDOTEA,TRUE,
Caenidae,CAENIDAE,FALSE,
Caenis,CAENIS,FALSE,
Caenis amica,CAENIS AMICA,FALSE,
Caenis anceps,CAENIS ANCEPS,FALSE,
Caenis hilaris,CAENIS HILARIS,FALSE,
Caenis latipennis,CAENIS LATIPENNIS,FALSE,
Caenis punctata,CAENIS PUNCTATA,FALSE,
Callibaetis,CALLIBAETIS,FALSE,
Caloparyphus,CALOPARYPHUS,FALSE,
Calopterygidae,CALOPTERYGIDAE,FALSE,
Calopteryx,CALOPTERYX,FALSE,
Cambarellus puer,CAMBARELLUS PUER,FALSE,
Cambaridae,CAMBARIDAE,FALSE,
Cambarus diogenes,CAMBARUS DIOGENES,FALSE,
Cambarus hubbsi,CAMBARUS HUBBSI,FALSE,
Cambarus maculatus,CAMBARUS MACULATUS,FALSE,
Campeloma,CAMPELOMA,FALSE,
Capniidae,CAPNIIDAE,FALSE,
Cardiocladius,CARDIOCLADIUS,FALSE,
Centroptilum,CENTROPTILUM,FALSE,
Ceraclea,CERACLEA,FALSE,
Ceratopogonidae,CERATOPOGONIDAE,FALSE,
Ceratopogoninae,CERATOPOGONINAE,FALSE,
Ceratopsyche,CERATOPSYCHE,FALSE,
Ceratopsyche morosa group,CERATOPSYCHE MOROSA GROUP,FALSE,
Ceratopsyche morosa grp,CERATOPSYCHE MOROSA GROUP,TRUE,group
Ceratopsyche piatrix,CERATOPSYCHE PIATRIX,FALSE,
Ceratopsyche slossonae,CERATOPSYCHE SLOSSONAE,FALSE,
Cercobrachys,CERCOBRACHYS,FALSE,
Cernotina,CERNOTINA,FALSE,
Chaetarthria,CHAETARTHRIA,FALSE,
Chaetocladius,CHAETOCLADIUS,FALSE,
Chaoborus,CHAOBORUS,FALSE,
Chauliodes,CHAULIODES,FALSE,
Chauliodes pectinicornis,CHAULIODES PECTINICORNIS,FALSE,
Chauliodes rastricornis,CHAULIODES RASTRICORNIS,FALSE,
Chelifera,CHELIFERA,FALSE,
Cheumatopsyche,CHEUMATOPSYCHE,FALSE,
Cheumatospyche,CHEUMATOPSYCHE,TRUE,misspelling
Chimarra,CHIMARRA,FALSE,
Chironomidae,CHIRONOMIDAE,FALSE,
Chironominae,CHIRONOMINAE,FALSE,
Chironomini,CHIRONOMINI,FALSE,
Chironomus,CHIRONOMUS,FALSE,
Chloroperlidae,CHLOROPERLIDAE,FALSE,
Chlorotabanus,CHLOROTABANUS,FALSE,
Chordodidae,CHORDODIDAE,FALSE,
Choroterpes,CHOROTERPES,FALSE,
Chromagrion,CHROMAGRION,FALSE,
Chrysomelidae,CHRYSOMELIDAE,FALSE,
Chrysops,CHRYSOPS,FALSE,
Cladopelma,CLADOPELMA,FALSE,
Cladotanytarsus,CLADOTANYTARSUS,FALSE,
Climacia,CLIMACIA,FALSE,
Clinocera,CLINOCERA,FALSE,
Clinotanypus,CLINOTANYPUS,FALSE,
Clioperla clio,CLIOPERLA CLIO,FALSE,
Cnephia,CNEPHIA,FALSE,
Coelotanypus,COELOTANYPUS,FALSE,
Coenagrionidae,COENAGRIONIDAE,FALSE,
Coleoptera,COLEOPTERA,FALSE,
Conchapelopia,CONCHAPELOPIA,FALSE,
Constempellina,CONSTEMPELLINA,FALSE,
Copelatus,COPELATUS,FALSE,
Coptotomus,COPTOTOMUS,FALSE,
Corbicula,CORBICULA,FALSE,
Cordulegaster,CORDULEGASTER,FALSE,
Corduliidae,CORDULIIDAE,FALSE,
Corduliinae,CORDULIINAE,FALSE,
Corisella,CORISELLA,FALSE,
Corixidae,CORIXIDAE,FALSE,
Corydalus,CORYDALUS,FALSE,
Corynoneura,CORYNONEURA,FALSE,
Cossidae,COSSIDAE,FALSE,
Crambidae,CRAMBIDAE,FALSE,
Crangonyx,CRANGONYX,FALSE,
Cricotopus /Orthocladius,CRICOTOPUS/ORTHOCLADIUS,TRUE,space
Cricotopus bicinctus,CRICOTOPUS BICINCTUS GROUP,TRUE,group
Cricotopus sylvestris group,CRICOTOPUS SYLVESTRIS GROUP,FALSE,
Cricotopus sylvestris grp,CRICOTOPUS SYLVESTRIS GROUP,FALSE,
Cricotopus trifascia,CRICOTOPUS TRIFASCIA,FALSE,
Cricotopus/Orthocladius,CRICOTOPUS/ORTHOCLADIUS,FALSE,
Cryptochironomus,CRYPTOCHIRONOMUS,FALSE,
Cryptolabis,CRYPTOLABIS,FALSE,
Cryptotendipes,CRYPTOTENDIPES,FALSE,
Culex,CULEX,FALSE,
Culicidae,CULICIDAE,FALSE,
Culiseta,CULISETA,FALSE,
Cybister,CYBISTER,FALSE,
Cyclorrhaphous-Brachycera,CYCLORRHAPHOUS-BRACHYCERA,FALSE,
Cymbiodyta,CYMBIODYTA,FALSE,
Cyrnellus,CYRNELLUS,FALSE,
Cyrnellus fraternus,CYRNELLUS FRATERNUS,FALSE,
Dactylolabis,DACTYLOLABIS,FALSE,
Dannella,DANNELLA,FALSE,
Dannella lita,DANNELLA LITA,FALSE,
Dasyheleinae,DASYHELEINAE,FALSE,
Demicryptochironomus,DEMICRYPTOCHIRONOMUS,FALSE,
Desmopachnia,DESMOPACHRIA,TRUE,misspelling
Desmopachria,DESMOPACHRIA,FALSE,
Diamesa,DIAMESA,FALSE,
Dibusa angata,DIBUSA ANGATA,FALSE,
Dicranopselaphus,DICRANOPSELAPHUS,FALSE,
Dicranota,DICRANOTA,FALSE,
Dicrotendipes,DICROTENDIPES,FALSE,
Didymops,DIDYMOPS,FALSE,
Dineutus,DINEUTUS,FALSE,
Diphetor,DIPHETOR,FALSE,
Diplectrona,DIPLECTRONA,FALSE,
Diplocladius,DIPLOCLADIUS,FALSE,
Diptera,DIPTERA,FALSE,
Dixa,DIXA,FALSE,
Dixella,DIXELLA,FALSE,
Dixidae,DIXIDAE,FALSE,
Djalmabatista,DJALMABATISTA,FALSE,
Dolichopodidae,DOLICHOPODIDAE,FALSE,
Dromogomphus,DROMOGOMPHUS,FALSE,
Dryopidae,DRYOPIDAE,FALSE,
Dubiraphia,DUBIRAPHIA,FALSE,
Dythemis,DYTHEMIS,FALSE,
Dytiscidae,DYTISCIDAE,FALSE,
Dytiscus,DYTISCUS,FALSE,
Ectopria,ECTOPRIA,FALSE,
Ectopria nervosa,ECTOPRIA NERVOSA,FALSE,
Einfeldia,EINFELDIA,FALSE,
Elimia,ELIMIA,FALSE,
Elimidae,ELMIDAE,TRUE,misspelling
Elmidae,ELMIDAE,FALSE,
Empididae,EMPIDIDAE,FALSE,
Enallagma,ENALLAGMA,FALSE,
Enchytraeidae,ENCHYTRAEIDAE,FALSE,
Endochironomus,ENDOCHIRONOMUS,FALSE,
Endotribelos,ENDOTRIBELOS,FALSE,
Enochrus,ENOCHRUS,FALSE,
Ephemera,EPHEMERA,FALSE,
Ephemera simulans,EPHEMERA SIMULANS,FALSE,
Ephemerella,EPHEMERELLA,FALSE,
Ephemerella invaria,EPHEMERELLA INVARIA,FALSE,
Ephemerella needhami,EPHEMERELLA NEEDHAMI,FALSE,
Ephemerella subvaria,EPHEMERELLA SUBVARIA,FALSE,
Ephemerellidae,EPHEMERELLIDAE,FALSE,
Ephemeridae,EPHEMERIDAE,FALSE,
Ephemeroptera,EPHEMEROPTERA,FALSE,
Ephoron,EPHORON,FALSE,
Ephydridae,EPHYDRIDAE,FALSE,
Epiaeschna heros,EPIAESCHNA HEROS,FALSE,
Epicordulia,EPICORDULIA,FALSE,
Epitheca (Epicordulia),EPITHECA (EPICORDULIA),FALSE,
Epitheca (Tetragoneuria),EPITHECA (TETRAGONEURIA),FALSE,
Epoicocladius,EPOICOCLADIUS,FALSE,
Erioptera,ERIOPTERA,FALSE,
Erpetogomphus,ERPETOGOMPHUS,FALSE,
Erpobdellidae,ERPOBDELLIDAE,FALSE,
Erythemis,ERYTHEMIS,FALSE,
Erythrodiplax,ERYTHRODIPLAX,FALSE,
Eubranchipus serratus,EUBRANCHIPUS SERRATUS,FALSE,
Eukiefferiella,EUKIEFFERIELLA,FALSE,
Eukiefferiella brehmi grp,EUKIEFFERIELLA BREHMI GROUP,FALSE,
Eukiefferiella bremi group,EUKIEFFERIELLA BREHMI GROUP,FALSE,
Eukiefferiella brevicalcar group,EUKIEFFERIELLA BREVICALCAR GROUP,FALSE,
Eukiefferiella claripennis group,EUKIEFFERIELLA CLARIPENNIS GROUP,FALSE,
Eukiefferiella devonica grp,EUKIEFFERIELLA DEVONICA GROUP,FALSE,
Eukiefferiella gracei group,EUKIEFFERIELLA GRACEI GROUP,FALSE,
Eukiefferiella gracei grp,EUKIEFFERIELLA GRACEI GROUP,FALSE,
Euparyphus,EUPARYPHUS,FALSE,
Eurylophella,EURYLOPHELLA,FALSE,
Eurylophella aestiva,EURYLOPHELLA AESTIVA,FALSE,
Eurylophella bicolor,EURYLOPHELLA BICOLOR,FALSE,
Eurylophella enoensis,EURYLOPHELLA ENOENSIS,FALSE,
Eurylophella macdunnoughi,EURYLOPHELLA MACDUNNOUGHI,FALSE,
Fallceon,FALLCEON,FALSE,
Fallicambarus fodiens,FALLICAMBARUS FODIENS,FALSE,
Faxonius,FAXONIUS,FALSE,
Faxonius harrisonii,FAXONIUS HARRISONII,FALSE,
Faxonius hylas,FAXONIUS HYLAS,FALSE,
Faxonius immunis,FAXONIUS IMMUNIS,FALSE,
Faxonius longidigitus,FAXONIUS LONGIDIGITUS,FALSE,
Faxonius luteus,FAXONIUS LUTEUS,FALSE,
Faxonius macrus,FAXONIUS MACRUS,FALSE,
Faxonius medius,FAXONIUS MEDIUS,FALSE,
Faxonius neglectus,FAXONIUS NEGLECTUS,FALSE,
Faxonius ozarkae,FAXONIUS OZARKAE,FALSE,
Faxonius palmeri,FAXONIUS PALMERI,FALSE,
Faxonius peruncus,FAXONIUS PERUNCUS,FALSE,
Faxonius punctimanus,FAXONIUS PUNCTIMANUS,FALSE,
Faxonius quadruncus,FAXONIUS QUADRUNCUS,FALSE,
Faxonius virilis,FAXONIUS VIRILIS,FALSE,
Faxonius williamsi,FAXONIUS WILLIAMSI,FALSE,
Ferrissia,FERRISSIA,FALSE,
Fittkauimyia,FITTKAUIMYIA,FALSE,
Forcipomyiinae,FORCIPOMYIINAE,FALSE,
Fossaria,FOSSARIA,FALSE,
Gammarus,GAMMARUS,FALSE,
Gelastocoris,GELASTOCORIS,FALSE,
Georthocladius,GEORTHOCLADIUS,FALSE,
Gerridae,GERRIDAE,FALSE,
Gerris,GERRIS,FALSE,
Glossiphoniidae,GLOSSIPHONIIDAE,FALSE,
Glossosoma,GLOSSOSOMA,FALSE,
Glossosomatidae,GLOSSOSOMATIDAE,FALSE,
Glyptotendipes,GLYPTOTENDIPES,FALSE,
Goeldichironomus,GOELDICHIRONOMUS,FALSE,
Gomphidae,GOMPHIDAE,FALSE,
Gomphus,GOMPHUS,FALSE,
Gonomyia,GONOMYIA,FALSE,
Gordiidae,GORDIIDAE,FALSE,
Graphoderus,GRAPHODERUS,FALSE,
Graphoderus liberus,GRAPHODERUS LIBERUS,FALSE,
Guttipelopia,GUTTIPELOPIA,FALSE,
Gymnochthebius,GYMNOCHTHEBIUS,FALSE,
Gymnometriocnemus,GYMNOMETRIOCNEMUS,FALSE,
Gyraulus,GYRAULUS,FALSE,
Gyretes,GYRETES,FALSE,
Gyrinidae,GYRINIDAE,FALSE,
Gyrinus,GYRINUS,FALSE,
Habrophlebiodes,HABROPHLEBIODES,FALSE,
Haemopis terrestris,HAEMOPIS TERRESTRIS,FALSE,
Hagenius,HAGENIUS,FALSE,
Hagenius brevistylus,HAGENIUS BREVISTYLUS,FALSE,
Haliplidae,HALIPLIDAE,FALSE,
Haliplus,HALIPLUS,FALSE,
Haploperla,HAPLOPERLA,FALSE,
Haplotaxidae,HAPLOTAXIDAE,FALSE,
Haplotaxis,HAPLOTAXIS,FALSE,
Harnischia,HARNISCHIA,FALSE,
Hebridae,HEBRIDAE,FALSE,
Hebrus,HEBRUS,FALSE,
Helichus,HELICHUS,FALSE,
Helichus basalis,HELICHUS BASALIS,FALSE,
Helichus fastigiatus,HELICHUS FASTIGIATUS,FALSE,
Helichus lithophilus,HELICHUS LITHOPHILUS,FALSE,
Helichus striatus,HELICHUS STRIATUS,FALSE,
Helicopsyche,HELICOPSYCHE,FALSE,
Helicopsychidae,HELICOPSYCHIDAE,FALSE,
Helisoma,HELISOMA,FALSE,
Helius,HELIUS,FALSE,
Helochares,HELOCHARES,FALSE,
Helocombus,HELOCOMBUS,FALSE,
Helocordulia,HELOCORDULIA,FALSE,
Helopelopia,HELOPELOPIA,FALSE,
Helophorus,HELOPHORUS,FALSE,
Helopicus nalatus,HELOPICUS NALATUS,FALSE,
Hemerodromia,HEMERODROMIA,FALSE,
Heptagenia,HEPTAGENIA,FALSE,
Heptageniidae,HEPTAGENIIDAE,FALSE,
Hesperocorixa,HESPEROCORIXA,FALSE,
Hetaerina,HETAERINA,FALSE,
Heterelmis,HETERELMIS,FALSE,
Heteroceridae,HETEROCERIDAE,FALSE,
Heterocloeon,HETEROCLOEON,FALSE,
Heterosternuta,HETEROSTERNUTA,FALSE,
Heterosternuta pulchra,HETEROSTERNUTA PULCHRA,FALSE,
Heterosternuta wickhami,HETEROSTERNUTA WICKHAMI,FALSE,
Heterotrissocladius,HETEROTRISSOCLADIUS,FALSE,
Hexagenia,HEXAGENIA,FALSE,
Hexagenia atrocaudata,HEXAGENIA ATROCAUDATA,FALSE,
Hexagenia limbata,HEXAGENIA LIMBATA,FALSE,
Hexatoma,HEXATOMA,FALSE,
Hirudinidae,HIRUDINIDAE,FALSE,
Hirundinidae,HIRUDINIDAE,TRUE,misspelling
Hyalella azteca,HYALELLA AZTECA,FALSE,
Hybomitra,HYBOMITRA,FALSE,
Hydaticus,HYDATICUS,FALSE,
Hydatophylax,HYDATOPHYLAX,FALSE,
Hydracarina,HYDRACARINA,FALSE,
Hydraena,HYDRAENA,FALSE,
Hydrobaenus,HYDROBAENUS,FALSE,
Hydrobiidae,HYDROBIIDAE,FALSE,
Hydrobius,HYDROBIUS,FALSE,
Hydrocanthus,HYDROCANTHUS,FALSE,
Hydrochara,HYDROCHARA,FALSE,
Hydrochus,HYDROCHUS,FALSE,
Hydrometra,HYDROMETRA,FALSE,
Hydroperla,HYDROPERLA,FALSE,
Hydroperla crosbyi,HYDROPERLA CROSBYI,FALSE,
Hydrophilidae,HYDROPHILIDAE,FALSE,
Hydrophilus,HYDROPHILUS,FALSE,
Hydroporus,HYDROPORUS,FALSE,
Hydropsyche,HYDROPSYCHE,FALSE,
Hydropsychidae,HYDROPSYCHIDAE,FALSE,
Hydroptila,HYDROPTILA,FALSE,
Hydroptilidae,HYDROPTILIDAE,FALSE,
Hydrovatus,HYDROVATUS,FALSE,
Hygrotus,HYGROTUS,FALSE,
Hyporhygma,HYPORHYGMA,FALSE,
Ilybius,ILYBIUS,FALSE,
Ilyodrilus templetoni,ILYODRILUS TEMPLETONI,FALSE,
Ironoquia,IRONOQUIA,FALSE,
Ischnura,ISCHNURA,FALSE,
Isonychia,ISONYCHIA,FALSE,
Isonychia bicolor,ISONYCHIA BICOLOR,FALSE,
Isonychia rufa,ISONYCHIA RUFA,FALSE,
Isonychia sicca,ISONYCHIA SICCA,FALSE,
Isonychiidae,ISONYCHIIDAE,FALSE,
Isoperla,ISOPERLA,FALSE,
Kiefferulus,KIEFFERULUS,FALSE,
Kloosia,KLOOSIA,FALSE,
Krenopelopia,KRENOPELOPIA,FALSE,
Krenosmittia,KRENOSMITTIA,FALSE,
Labrundinia,LABRUNDINIA,FALSE,
Laccobius,LACCOBIUS,FALSE,
Laccodytes,LACCODYTES,FALSE,
Laccophilus,LACCOPHILUS,FALSE,
Laevapex,LAEVAPEX,FALSE,
Larsia,LARSIA,FALSE,
Lauterborniella,LAUTERBORNIELLA,FALSE,
Lepidoptera,LEPIDOPTERA,FALSE,
Lepidostoma,LEPIDOSTOMA,FALSE,
Leptoceridae,LEPTOCERIDAE,FALSE,
Leptocerus americanus,LEPTOCERUS AMERICANUS,FALSE,
Leptohyphidae,LEPTOHYPHIDAE,FALSE,
Leptophlebia,LEPTOPHLEBIA,FALSE,
Leptophlebiidae,LEPTOPHLEBIIDAE,FALSE,
Leptoxis,LEPTOXIS,FALSE,
Lestes,LESTES,FALSE,
Lestidae,LESTIDAE,FALSE,
Lethocerus,LETHOCERUS,FALSE,
Leucotrichia,LEUCOTRICHIA,FALSE,
Leucrocuta,LEUCROCUTA,FALSE,
Leuctra,LEUCTRA,FALSE,
Leuctridae,LEUCTRIDAE,FALSE,
Libellula,LIBELLULA,FALSE,
Libellulidae,LIBELLULIDAE,FALSE,
