CommonName,ScientificName,MPCA_Composition,MPCA_Habitat,MPCA_Life History,MPCA_Reproductive,MPCA_Tolerance,MPCA_Trophic,MPCA_Native,TYPE,HABITAT,REPRODUCTION,TOLER,TROPHIC,Schooling
Lampreys,Petromyzontidae,,,,,S,,,,,,S,,
lamprey ammocoete,Petromyzontidae larvae,,,,,"I,S",,,,,,"I,S",,
chestnut lamprey,Ichthyomyzon castaneus,,,,MA>3-T,"I,S",PI,,,,MA>3-T,"I,S",PI,
northern brook lamprey,Ichthyomyzon fossor,,,,MA>3-T,"I,ICW,S,SCW",,,,,MA>3-T,"I,ICW,S,SCW",,
southern brook lamprey,Ichthyomyzon gagei,,,,MA>3-T,"I,ICW,S,SCW",DE,,,,MA>3-T,"I,ICW,S,SCW",DE,
silver lamprey,Ichthyomyzon unicuspis,,,,MA>3-T,S,PI,,,,MA>3-T,S,PI,
American brook lamprey,Lampetra appendix,,HW-T,,MA>3-T,"I,ICW,S,SCW",,,,HW-T,MA>3-T,"I,ICW,S,SCW",,
sea lamprey,Petromyzon marinus,EX,,,MA>3-T,,"DE,PI",Exotic,EX,,MA>3-T,,"DE,PI",
Sturgeons,Acipenseridae,,,,SILI,,"BI-T,IN-T",,,,SILI,,"BI-T,IN-T",
lake sturgeon,Acipenser fulvescens,,,,"MA>3-T,SILI","I,S","BI-T,IN-T",,,,"MA>3-T,SILI","I,S","BI-T,IN-T",
shovelnose sturgeon,Scaphirhynchus platorynchus,,,,"MA>3-T,SILI",,"BI-T,IN-T",,,,"MA>3-T,SILI",,"BI-T,IN-T",
Paddlefishes,Polydontidae,,,,,,,,,,,,,
paddlefish,Polyodon spathula,,,,"MA>3-T,SILI","I,S",,,,,"MA>3-T,SILI","I,S",,
Gars,Lepisosteidae,,,,,,PI,,,,,,PI,
longnose gar,Lepisosteus osseus,,,,"MA>3-T,SER",,PI,,,,"MA>3-T,SER",,PI,
shortnose gar,Lepisosteus platostomus,,,,MA>3-T,,PI,,,,MA>3-T,,PI,
Bowfins,Amiidae,,,,,,,,,,,,,
bowfin,Amia calva,,,,MA>3-T,,PI,,,,MA>3-T,,PI,
Mooneyes,Hiodontidae,,,,,,IN-T,,,,,,IN-T,
goldeye,Hiodon alosoides,,,,MA>3-T,,IN-T,,,,MA>3-T,,IN-T,
mooneye,Hiodon tergisus,,,,,S,IN-T,,,,,S,IN-T,
Eels,Anguillidae,,,,,,,,,,,,,
American eel,Anguilla rostrata,,,,,,PI,,,,,,PI,
Herrings,Clupiidae,,,,,,,,,,,,,
skipjack herring,Alosa chrysochloris,,,,,,PI,,,,,,PI,
alewife,Alosa pseudoharengus,EX,,,MA>3-T,,,Exotic,EX,,MA>3-T,,,
gizzard shad,Dorosoma cepedianum,,,,"MA<2,SER",,DEM,,",SCH",,"MA<2,SER",,DEM,SCH
Minnows,Cyprinidae,,,,,,,,,,,,,
central stoneroller,Campostoma anomalum,,,,,"T,TCW",HE,,,,,"T,TCW",HE,
largescale stoneroller,Campostoma oligolepis,MIN-T,,,MA<2,,"DEM,HE",,MIN-T,,MA<2,,"DEM,HE",
Gen: stonerollers,Campostoma,MIN-T,,,,,HE,,MIN-T,,,,HE,
goldfish,Carassius auratus,EX,,,SER,"T,TCW,VT","DEM,GE,OM",Exotic,EX,,SER,"T,TCW,VT","DEM,GE,OM",
redside dace,Clinostomus elongatus,MIN-T,HW-T,,"MA<2,SILI","I,ICW,S,SCW","IN-T,INCYP",,MIN-T,HW-T,"MA<2,SILI","I,ICW,S,SCW","IN-T,INCYP",
lake chub,Couesius plumbeus,MIN-T,,,SILI,"I,ICW,S,SCW","IN-T,INCYP",,MIN-T,,SILI,"I,ICW,S,SCW","IN-T,INCYP",
grass carp,Ctenopharyngodon idella,EX,,,MA<2,"T,TCW","DEM,HE",Exotic,EX,,MA<2,"T,TCW","DEM,HE",
red shiner,Cyprinella lutrensis,,,SL,"MA<2,SER","T,TCW",GE,,SL,,"MA<2,SER","T,TCW",GE,
spotfin shiner,Cyprinella spiloptera,MIN-T,,,"MA<2,SER",,"DE,DEM,IN-T,INCYP",,MIN-T,,"MA<2,SER",,"DE,DEM,IN-T,INCYP",
common carp,Cyprinus carpio,EX,,,MA<2,"T,TCW,VT","DE,DEM,GE,OM",Exotic,EX,,MA<2,"T,TCW,VT","DE,DEM,GE,OM",
gravel chub,Erimystax x-punctatus,MIN-T,,SL,"MA<2,SILI","I,S","BI-T,DEM,IN-T,INCYP",,"MIN-T,SL",,"MA<2,SILI","I,S","BI-T,DEM,IN-T,INCYP",
brassy minnow,Hybognathus hankinsoni,,,SL,MA<2,"T,TCW","DE,DEM,HE",,SL,,MA<2,"T,TCW","DE,DEM,HE",
Mississippi silvery minnow,Hybognathus nuchalis,MIN-T,,,,"I,S",HE,,MIN-T,,,"I,S",HE,
pallid shiner,Hybopsis amnis,MIN-T,,,,"I,S","IN-T,INCYP",,MIN-T,,,"I,S","IN-T,INCYP",
bighead carp,Hypophthalmichthys nobilis,EX,,,SER,"T,TCW,VT",DEM,Exotic,EX,,SER,"T,TCW,VT",DEM,
silver carp,Hypophthalmichthys molitrix,EX,,,,"T,TCW,VT",,Exotic,EX,,,"T,TCW,VT",,
common shiner,Luxilus cornutus,MIN-T,,,"MA<2,SILI",,"DEM,GE",,MIN-T,,"MA<2,SILI",,"DEM,GE",
redfin shiner,Lythrurus umbratilis,MIN-T,,SL,MA<2,S,"IN-T,INCYP",,"MIN-T,SL",,MA<2,S,"IN-T,INCYP",
shoal chub,Macrhybopsis hyostoma,MIN-T,,SL,MA<2,S,"BI-T,IN-T,INCYP",,"MIN-T,SL",,MA<2,S,"BI-T,IN-T,INCYP",
silver chub,Macrhybopsis storeriana,MIN-T,,,MA<2,,"BI-T,IN-T,INCYP",,MIN-T,,MA<2,,"BI-T,IN-T,INCYP",
northern pearl dace,Margariscus nachtriebi,MIN-T,"HW-T, WE-T",,MA<2,"S,SCW","DEM,IN-T,INCYP",,MIN-T,"HW-T, WE-T",MA<2,"S,SCW","DEM,IN-T,INCYP",
pearl dace,Margariscus margarita,MIN-T,"HW-T, WE-T",,MA<2,"S,SCW","DEM,IN-T,INCYP",,MIN-T,"HW-T, WE-T",MA<2,"S,SCW","DEM,IN-T,INCYP",
hornyhead chub,Nocomis biguttatus,MIN-T,,,"MA<2,SER",S,"DEM,IN-T,INCYP",,MIN-T,,"MA<2,SER",S,"DEM,IN-T,INCYP",
golden shiner,Notemigonus crysoleucas,MIN-T,WE-T,,"MA<2,SER",,GE,,MIN-T,WE-T,"MA<2,SER",,GE,
pugnose shiner,Notropis anogenus,MIN-T,,SL,MA>3-T,"I,S","DE,HE",,"MIN-T,SL",,MA>3-T,"I,S","DE,HE",
emerald shiner,Notropis atherinoides,MIN-T,,SL,"MA<2,SILI",,"DEM,IN-T,INCYP",,"MIN-T,SL,SCH",,"MA<2,SILI",,"DEM,IN-T,INCYP",SCH
river shiner,Notropis blennius,MIN-T,,SL,"MA<2,SILI",,"DEM,IN-T,INCYP",,"MIN-T,SL",,"MA<2,SILI",,"DEM,IN-T,INCYP",
ghost shiner,Notropis buchanani,MIN-T,,,"MA<2,SER","I,S","DE,IN-T,INCYP",,MIN-T,,"MA<2,SER","I,S","DE,IN-T,INCYP",
bigmouth shiner,Notropis dorsalis,,,SL,"MA<2,SER","T,TCW,VT","DEM,INCYP",,SL,,"MA<2,SER","T,TCW,VT","DEM,INCYP",
blackchin shiner,Notropis heterodon,MIN-T,,,"MA<2,SER","I,S","DEM,IN-T,INCYP",,MIN-T,,"MA<2,SER","I,S","DEM,IN-T,INCYP",
blacknose shiner,Notropis heterolepis,MIN-T,,SL,MA<2,"I,S","IN-T,INCYP",,"MIN-T,SL",,MA<2,"I,S","IN-T,INCYP",
spottail shiner,Notropis hudsonius,MIN-T,,,MA<2,S,"IN-T,INCYP",,MIN-T,,MA<2,S,"IN-T,INCYP",
Ozark minnow,Notropis nubilus,MIN-T,,,"MA<2,SILI","I,S","DEM,HE",,MIN-T,,"MA<2,SILI","I,S","DEM,HE",
carmine shiner,Notropis percobromus,MIN-T,,SL,"MA<2,SILI",S,"DE,IN-T,INCYP",,"MIN-T,SL",,"MA<2,SILI",S,"DE,IN-T,INCYP",
sand shiner,Notropis stramineus,,,SL,"MA<2,SER","T,TCW","DE,DEM,INCYP",,SL,,"MA<2,SER","T,TCW","DE,DEM,INCYP",
weed shiner,Notropis texanus,MIN-T,,SL,"MA<2,SER","I,S","DE,DEM,HE",,"MIN-T,SL",,"MA<2,SER","I,S","DE,DEM,HE",
Topeka shiner,Notropis topeka,MIN-T,HW-T,SL,MA<2,"I,S","IN-T,INCYP",,"MIN-T,SL",HW-T,MA<2,"I,S","IN-T,INCYP",
mimic shiner,Notropis volucellus,MIN-T,,SL,SER,"I,S","DEM,IN-T,INCYP",,"MIN-T,SL",,SER,"I,S","DEM,IN-T,INCYP",
channel shiner,Notropis wickliffi,MIN-T,,SL,MA<2,S,"IN-T,INCYP",,"MIN-T,SL",,MA<2,S,"IN-T,INCYP",
Gen: Notropis,Notropis,MIN-T,,,,,,,MIN-T,,,,,
pugnose minnow,Opsopoeodus emiliae,MIN-T,,SL,"MA<2,NE,SER","I,S","DE,DEM,IN-T,INCYP",,"MIN-T,SL",,"MA<2,NE,SER","I,S","DE,DEM,IN-T,INCYP",
suckermouth minnow,Phenacobius mirabilis,MIN-T,,,"MA<2,SER,SILI",,"BI-T,DEM,IN-T,INCYP",,MIN-T,,"MA<2,SER,SILI",,"BI-T,DEM,IN-T,INCYP",
northern redbelly dace,Chrosomus eos,MIN-T,"HW-T, WE-T",SL,"MA<2,SER",S,HE,,"MIN-T,SL","HW-T, WE-T","MA<2,SER",S,HE,
northern redbelly dace,Phoxinus eos,MIN-T,"HW-T, WE-T",SL,"MA<2,SER",S,HE,,"MIN-T,SL","HW-T, WE-T","MA<2,SER",S,HE,
southern redbelly dace,Phoxinus erythrogaster,MIN-T,HW-T,SL,"MA<2,SER,SILI",,"DEM,HE",,"MIN-T,SL",HW-T,"MA<2,SER,SILI",,"DEM,HE",
finescale dace,Chrosomus neogaeus,MIN-T,"HW-T, WE-T",,"MA<2,SER","S,SCW","IN-T,INCYP",,MIN-T,"HW-T, WE-T","MA<2,SER","S,SCW","IN-T,INCYP",
finescale dace,Phoxinus neogaeus,MIN-T,"HW-T, WE-T",,"MA<2,SER","S,SCW","IN-T,INCYP",,MIN-T,"HW-T, WE-T","MA<2,SER","S,SCW","IN-T,INCYP",
Gen: Phoxinus,Phoxinus,,HW-T,,,,,,,HW-T,,,,
bluntnose minnow,Pimephales notatus,,,"PI,SL","MA<2,NE,SER","T,TCW,VT","DE,DEM,GE",,"PI,SL",,"MA<2,NE,SER","T,TCW,VT","DE,DEM,GE",
fathead minnow,Pimephales promelas,,,"PI,SL","MA<2,NE,SER","T,TCW,VT","DE,DEM,GE,OM",,"PI,SL",,"MA<2,NE,SER","T,TCW,VT","DE,DEM,GE,OM",
bullhead minnow,Pimephales vigilax,MIN-T,,,"MA<2,NE,SER",,GE,,MIN-T,,"MA<2,NE,SER",,GE,
flathead chub,Platygobio gracilis,MIN-T,,,"MA<2,SER",,"IN-T,INCYP",,MIN-T,,"MA<2,SER",,"IN-T,INCYP",
western blacknose dace,Rhinichthys obtusus,,,SL,"MA<2,SILI",T,GE,,SL,,"MA<2,SILI",T,GE,
blacknose dace,Rhinichthys atratulus,,,SL,"MA<2,SILI",T,GE,,SL,,"MA<2,SILI",T,GE,
longnose dace,Rhinichthys cataractae,MIN-T,,,SILI,"I,ICW,S,SCW","BI-T,IN-T,INCYP",,MIN-T,,SILI,"I,ICW,S,SCW","BI-T,IN-T,INCYP",
Gen: Rhinichthys,Rhinichthys,,,,SILI,,,,,,SILI,,,
creek chub,Semotilus atromaculatus,,,PI,MA<2,T,GE,,PI,,MA<2,T,GE,
Suckers,Catostomiidae,,,,,,,,,,,,,
river carpsucker,Carpiodes carpio,,,,MA>3-T,,"DE,DEM,GE,OM",,,,MA>3-T,,"DE,DEM,GE,OM",
quillback,Carpiodes cyprinus,,,,MA>3-T,,"DE,DEM,GE,OM",,,,MA>3-T,,"DE,DEM,GE,OM",
highfin carpsucker,Carpiodes velifer,,,,MA>3-T,S,"DE,DEM,GE,OM",,,,MA>3-T,S,"DE,DEM,GE,OM",
Gen: carpsuckers,Carpiodes,,,,,,"GE,OM",,,,,,"GE,OM",
SubFam: buffalo/carpsuckers,Ictiobinae,,,,,,"GE,OM",,,,,,"GE,OM",
longnose sucker,Catostomus catostomus,DSS,,,"MA>3-T,SILI","I,ICW,S,SCW","BI-T,IN-T",,DSS,,"MA>3-T,SILI","I,ICW,S,SCW","BI-T,IN-T",
white sucker,Catostomus commersonii,,,,SILI,T,"DE,DEM,GE,OM",,,,SILI,T,"DE,DEM,GE,OM",
Gen: Catostomus,Catostomus,,,,SILI,,,,,,SILI,,,
blue sucker,Cycleptus elongatus,DSS,,,SILI,"I,S","BI-T,IN-T",,DSS,,SILI,"I,S","BI-T,IN-T",
northern hogsucker,Hypentelium nigricans,DSS,,,"MA>3-T,SILI",S,"BI-T,DEM,IN-T",,DSS,,"MA>3-T,SILI",S,"BI-T,DEM,IN-T",
smallmouth buffalo,Ictiobus bubalus,,,,MA<2,,"DEM,GE,OM",,,,MA<2,,"DEM,GE,OM",
bigmouth buffalo,Ictiobus cyprinellus,,,,,"T,VT","DEM,GE,OM",,,,,"T,VT","DEM,GE,OM",
black buffalo,Ictiobus niger,,,,,,"DE,DEM,GE,OM",,,,,,"DE,DEM,GE,OM",
Gen: buffalos,Ictiobus,,,,,,"GE,OM",,,,,,"GE,OM",
spotted sucker,Minytrema melanops,DSS,,,"MA>3-T,SILI","I,S","BI-T,DEM,IN-T",,DSS,,"MA>3-T,SILI","I,S","BI-T,DEM,IN-T",
silver redhorse,Moxostoma anisurum,DSS,,,"MA>3-T,SILI",,"BI-T,DEM,IN-T",,DSS,,"MA>3-T,SILI",,"BI-T,DEM,IN-T",
river redhorse,Moxostoma carinatum,DSS,,,"MA>3-T,SILI","I,S","BI-T,IN-T",,DSS,,"MA>3-T,SILI","I,S","BI-T,IN-T",
black redhorse,Moxostoma duquesnei,DSS,,,"MA>3-T,SILI","I,S,SCW","BI-T,IN-T",,DSS,,"MA>3-T,SILI","I,S,SCW","BI-T,IN-T",
golden redhorse,Moxostoma erythrurum,DSS,,,"MA>3-T,SILI",,"BI-T,DEM,IN-T",,DSS,,"MA>3-T,SILI",,"BI-T,DEM,IN-T",
shorthead redhorse,Moxostoma macrolepidotum,DSS,,,"MA>3-T,SILI",,"BI-T,DEM,IN-T",,DSS,,"MA>3-T,SILI",,"BI-T,DEM,IN-T",
greater redhorse,Moxostoma valenciennesi,DSS,,,"MA>3-T,SILI","I,S","BI-T,IN-T",,DSS,,"MA>3-T,SILI","I,S","BI-T,IN-T",
Gen: redhorses,Moxostoma,DSS,,,SILI,,"BI-T,IN-T",,DSS,,SILI,,"BI-T,IN-T",
Catfishes,Ictaluridae,,,,,,,,,,,,,
black bullhead,Ameiurus melas,,,,,"T,TCW,VT","DEM,GE,OM",,,,,"T,TCW,VT","DEM,GE,OM",
yellow bullhead,Ameiurus natalis,,WE-T,,"NE,SER",,"DEM,GE,OM",,,WE-T,"NE,SER",,"DEM,GE,OM",
brown bullhead,Ameiurus nebulosus,,WE-T,,"NE,SER",,"DEM,GE,OM",,,WE-T,"NE,SER",,"DEM,GE,OM",
Gen: bullheads,Ameiurus,,,,,,"GE,OM",,,,,,"GE,OM",
blue catfish,Ictalurus furcatus,,,,NE,,PI,,,,NE,,PI,
channel catfish,Ictalurus punctatus,,,,"MA>3-T,NE",,"DEM,PI",,,,"MA>3-T,NE",,"DEM,PI",
slender madtom,Noturus exilis,,,,,"I,S","BI-T,DE,IN-T",,,,,"I,S","BI-T,DE,IN-T",
stonecat,Noturus flavus,,,,"MA>3-T,SER",S,"BI-T,IN-T",,,,"MA>3-T,SER",S,"BI-T,IN-T",
tadpole madtom,Noturus gyrinus,,WE-T,,"MA<2,NE,SER",,"BI-T,IN-T",,,WE-T,"MA<2,NE,SER",,"BI-T,IN-T",
Gen: madtoms,Noturus,,,,,,"BI-T,IN-T",,,,,,"BI-T,IN-T",
flathead catfish,Pylodictis olivaris,,,,"MA>3-T,NE",,PI,,,,"MA>3-T,NE",,PI,
Pikes,Esocidae,,,,,,PI,,,,,,PI,
northern pike,Esox lucius,,WE-T,,MA<2,,PI,,,WE-T,MA<2,,PI,
muskellunge,Esox masquinongy,,,,MA>3-T,"I,S",PI,,,,MA>3-T,"I,S",PI,
tiger musky,Esox hybrid,,,,,,PI,,,,,,PI,
Mudminnows,Umbridae,,,,,,,,,,,,,
central mudminnow,Umbra limi,,,,MA<2,"T,TCW,VT",,,,,MA<2,"T,TCW,VT",,
Smelts,Osmeridae,,,,,,,,,,,,,
rainbow smelt,Osmerus mordax,EX,,,SER,,PI,Exotic,EX,,SER,,PI,
Trouts,Salmonidae,,,,,,,,,,,,,
SubFam: salmonids,Salmoninae,,,,,,PI,,,,,,PI,
lake herring,Coregonus artedi,,,,MA>3-T,,,,,,MA>3-T,,,
lake whitefish,Coregonus clupeaformis,,,,MA>3-T,,IN-T,,,,MA>3-T,,IN-T,
bloater,Coregonus hoyi,,,,MA<2,,,,,,MA<2,,,
kiyi,Coregonus kiyi,,,,MA>3-T,,,,,,MA>3-T,,,
shortjaw cisco,Coregonus zenithicus,,,,MA>3-T,,,,,,MA>3-T,,,
pink salmon,Oncorhynchus gorbuscha,EX,CW,,,,PI,Exotic,EX,CW,,,PI,
coho salmon,Oncorhynchus kisutch,EX,CW,,MA>3-T,,PI,Exotic,EX,CW,MA>3-T,,PI,
rainbow trout,Oncorhynchus mykiss,EX,CW,,MA>3-T,"S,SCW",PI,Exotic,EX,CW,MA>3-T,"S,SCW",PI,
chinook salmon,Oncorhynchus tshawytscha,EX,CW,,MA>3-T,,PI,Exotic,EX,CW,MA>3-T,,PI,
round whitefish,Prosopium cylindraceum,,,,MA>3-T,,IN-T,,,,MA>3-T,,IN-T,
Atlantic salmon,Salmo salar,EX,CW,,MA>3-T,,PI,Exotic,EX,CW,MA>3-T,,PI,
brown trout,Salmo trutta,EX,CW,,MA>3-T,"S,SCW",PI,Exotic,EX,CW,MA>3-T,"S,SCW",PI,
brook trout,Salvelinus fontinalis,,"CW,CWN",,MA>3-T,"I,ICW,S,SCW",PI,,,"CW,CWN",MA>3-T,"I,ICW,S,SCW",PI,
lake trout,Salvelinus namaycush,,"CW,CWN",,MA>3-T,,PI,,,"CW,CWN",MA>3-T,,PI,
tiger trout,Salmonidae hybrid,,CW,,,,PI,,,CW,,,PI,
Trout-perches,Percopsidae,,,,,,,,,,,,,
trout-perch,Percopsis omiscomaycus,,,SL,MA<2,,"BI-T,IN-T",,SL,,MA<2,,"BI-T,IN-T",
Pirate perches,Aphredoderidae,,,,,,,,,,,,,
pirate perch,Aphredoderus sayanus,,,,MA<2,,IN-T,,,,MA<2,,IN-T,
Codfishes,Gadidae,,,,,,,,,,,,,
burbot,Lota lota,,,,"MA>3-T,SILI","I,S",PI,,,,"MA>3-T,SILI","I,S",PI,
Silversides,Atherinidae,,,,,,,,,,,,,
brook silverside,Labidesthes sicculus,,,SL,MA<2,S,IN-T,,SL,,MA<2,S,IN-T,
Killifishes,Fundulidae,,,,,,,,,,,,,
banded killifish,Fundulus diaphanus,,,,"MA<2,SER",,IN-T,,,,"MA<2,SER",,IN-T,
starhead topminnow,Fundulus dispar,,HW-T,,"MA<2,SER","I,S",IN-T,,,HW-T,"MA<2,SER","I,S",IN-T,
blackstripe topminnow,Fundulus notatus,,,,"MA<2,SER",,IN-T,,,,"MA<2,SER",,IN-T,
plains topminnow,Fundulus sciadicus,,,SL,MA<2,S,IN-T,,SL,,MA<2,S,IN-T,
Gen: topminnows,Fundulus,,,,,,IN-T,,,,,,IN-T,
Sticklebacks,Gasterosteidae,,,,,,,,,,,,,
brook stickleback,Culaea inconstans,,,SL,"MA<2,NE",T,,,SL,,"MA<2,NE",T,,
threespine stickleback,Gasterosteus aculeatus,EX,,SL,"MA<2,NE","T,TCW",,Exotic,"EX,SL",,"MA<2,NE","T,TCW",,
ninespine stickleback,Pungitius pungitius,,,,"MA<2,NE",,IN-T,,,,"MA<2,NE",,IN-T,
Sculpins,Cottidae,,,,,,,,,,,,,
mottled sculpin,Cottus bairdii,"DS,DSS","CW,CWN,HW-T",,MA<2,"S,SCW","BI-T,IN-T",,"DS,DSS","CW,CWN,HW-T",MA<2,"S,SCW","BI-T,IN-T",
slimy sculpin,Cottus cognatus,"DS,DSS,PERC","CW,CWN,HW-T",,MA>3-T,"I,ICW,S,SCW","BI-T,IN-T",,"DS,DSS,PERC","CW,CWN,HW-T",MA>3-T,"I,ICW,S,SCW","BI-T,IN-T",
spoonhead sculpin,Cottus ricei,"DS,DSS",,,MA<2,"I,S","BI-T,IN-T",,"DS,DSS",,MA<2,"I,S","BI-T,IN-T",
Gen: sculpins,Cottus,"DS,DSS","CW,CWN",,,"S,SCW","BI-T,IN-T",,"DS,DSS","CW,CWN",,"S,SCW","BI-T,IN-T",
deepwater sculpin,Myoxocephalus thompsonii,"DS,DSS",,,MA>3-T,"I,S","BI-T,IN-T",,"DS,DSS",,MA>3-T,"I,S","BI-T,IN-T",
Temperate Basses,Moronidae,,,,,,,,,,,,,
white perch,Morone americana,"EX,PERC",,,MA>3-T,,IN-T,Exotic,"EX,PERC",,MA>3-T,,IN-T,
white bass,Morone chrysops,PERC,,,MA<2,,PI,,PERC,,MA<2,,PI,
yellow bass,Morone mississippiensis,PERC,,,MA>3-T,,PI,,PERC,,MA>3-T,,PI,
Sunfishes,Centrarchidae,,,,,,,,,,,,,
rock bass,Ambloplites rupestris,PERC,,,"MA>3-T,NE",S,PI,,PERC,,"MA>3-T,NE",S,PI,
green sunfish,Lepomis cyanellus,PERC,,PI,"MA<2,NE","T,TCW,VT",GE,,"PERC,PI",,"MA<2,NE","T,TCW,VT",GE,
pumpkinseed,Lepomis gibbosus,PERC,,,"MA<2,NE",,IN-T,,PERC,,"MA<2,NE",,IN-T,
warmouth,Chaenobryttus gulosus,PERC,,,MA<2,,PI,,PERC,,MA<2,,PI,
orangespotted sunfish,Lepomis humilis,PERC,,,"MA<2,SER","T,TCW,VT",,,PERC,,"MA<2,SER","T,TCW,VT",,
bluegill,Lepomis macrochirus,PERC,,,"MA<2,NE,SER",,IN-T,,PERC,,"MA<2,NE,SER",,IN-T,
longear sunfish,Lepomis megalotis,PERC,,,"MA<2,NE","I,S",IN-T,,PERC,,"MA<2,NE","I,S",IN-T,
hybrid sunfish,Lepomis hybrid,,,,,"T,TCW",,,,,,"T,TCW",,
Gen: common sunfishes,Lepomis,,,,,,IN-T,,,,,,IN-T,
smallmouth bass,Micropterus dolomieu,PERC,,,"MA>3-T,NE","I,S",PI,,PERC,,"MA>3-T,NE","I,S",PI,
largemouth bass,Micropterus salmoides,PERC,,,NE,,PI,,PERC,,NE,,PI,
Gen: Micropterus,Micropterus,,,,,,PI,,,,,,PI,
white crappie,Pomoxis annularis,PERC,,,"MA<2,NE",,PI,,PERC,,"MA<2,NE",,PI,
black crappie,Pomoxis nigromaculatus,PERC,,,NE,,PI,,PERC,,NE,,PI,
Gen: crappies,Pomoxis,,,,,,PI,,,,,,PI,
Perches,Percidae,,,,,,,,,,,,,
western sand darter,Ammocrypta clara,"DS,DSS,PERC",,SL,"MA<2,SER,SILI","I,S","BI-T,IN-T",,"DS,DSS,PERC,SL",,"MA<2,SER,SILI","I,S","BI-T,IN-T",
crystal darter,Crystallaria asprella,"DS,DSS,PERC",,SL,"MA<2,SER,SILI","I,S","BI-T,IN-T",,"DS,DSS,PERC,SL",,"MA<2,SER,SILI","I,S","BI-T,IN-T",
mud darter,Etheostoma asprigene,"DS,DSS,PERC",,SL,MA<2,S,"BI-T,IN-T",,"DS,DSS,PERC,SL",,MA<2,S,"BI-T,IN-T",
rainbow darter,Etheostoma caeruleum,"DS,DSS,PERC",,,"MA<2,SER,SILI","S,SCW","BI-T,IN-T",,"DS,DSS,PERC",,"MA<2,SER,SILI","S,SCW","BI-T,IN-T",
bluntnose darter,Etheostoma chlorosomum,"DS,DSS",,,,,"BI-T,IN-T",,"DS,DSS",,,,"BI-T,IN-T",
Iowa darter,Etheostoma exile,"DS,DSS,PERC",WE-T,SL,MA<2,S,"BI-T,IN-T",,"DS,DSS,PERC,SL",WE-T,MA<2,S,"BI-T,IN-T",
fantail darter,Etheostoma flabellare,"DS,DSS,PERC",HW-T,,"MA<2,SER","S,SCW","BI-T,IN-T",,"DS,DSS,PERC",HW-T,"MA<2,SER","S,SCW","BI-T,IN-T",
least darter,Etheostoma microperca,"DS,DSS,PERC",,SL,"MA<2,SER","I,S","BI-T,IN-T",,"DS,DSS,PERC,SL",,"MA<2,SER","I,S","BI-T,IN-T",
johnny darter,Etheostoma nigrum,"DS,DSS,PERC",,PI,"MA<2,NE",,"BI-T,IN-T",,"DS,DSS,PERC,PI",,"MA<2,NE",,"BI-T,IN-T",
banded darter,Etheostoma zonale,"DS,DSS,PERC",,,"MA<2,SER,SILI",S,"BI-T,IN-T",,"DS,DSS,PERC",,"MA<2,SER,SILI",S,"BI-T,IN-T",
Gen: Etheostoma,Etheostoma,"DS,DSS",,,,,"BI-T,IN-T",,"DS,DSS",,,,"BI-T,IN-T",
ruffe,Gymnocephalus cernuus,EX,,,"MA<2,SER","T,TCW",,Exotic,EX,,"MA<2,SER","T,TCW",,
yellow perch,Perca flavescens,PERC,WE-T,,MA>3-T,,IN-T,,PERC,WE-T,MA>3-T,,IN-T,
logperch,Percina caprodes,"DS,DSS,PERC",,,"MA<2,SILI","I,S","BI-T,IN-T",,"DS,DSS,PERC",,"MA<2,SILI","I,S","BI-T,IN-T",
gilt darter,Percina evides,"DS,DSS,PERC",,,"MA<2,SILI","I,S","BI-T,IN-T",,"DS,DSS,PERC",,"MA<2,SILI","I,S","BI-T,IN-T",
blackside darter,Percina maculata,"DS,DSS,PERC",,,"MA<2,SILI",,"BI-T,IN-T",,"DS,DSS,PERC",,"MA<2,SILI",,"BI-T,IN-T",
slenderhead darter,Percina phoxocephala,"DS,DSS,PERC",,,"MA<2,SILI",S,"BI-T,IN-T",,"DS,DSS,PERC",,"MA<2,SILI",S,"BI-T,IN-T",
river darter,Percina shumardi,"DS,DSS,PERC",,SL,"MA<2,SILI","I,S","BI-T,IN-T",,"DS,DSS,PERC,SL",,"MA<2,SILI","I,S","BI-T,IN-T",
Gen: Percina,Percina,"DS,DSS",,,SILI,,"BI-T,IN-T",,"DS,DSS",,SILI,,"BI-T,IN-T",
sauger,Sander canadensis,PERC,,,"MA>3-T,SILI",,PI,,PERC,,"MA>3-T,SILI",,PI,
walleye,Sander vitreus,PERC,,,"MA>3-T,SILI",,PI,,PERC,,"MA>3-T,SILI",,PI,
saugeye,Sander hybrid,PERC,,,SILI,,PI,,PERC,,SILI,,PI,
Gen: Sander,Sander,,,,SILI,,PI,,,,SILI,,PI,
Drums,Sciaenidae,,,,,,,,,,,,,
freshwater drum,Aplodinotus grunniens,PERC,,,MA>3-T,,IN-T,,PERC,,MA>3-T,,IN-T,
Gobies,Gobiidae,,,,,,,,,,,,,
round goby,Neogobius melanostomus,EX,,,"MA>3- T,NE,SER",,PI,Exotic,EX,,"MA>3- T,NE,SER",,PI,
tubenose goby,Proterorhinus marmoratus,EX,,,,,IN-T,Exotic,EX,,,,IN-T,
