Taxon_Group,Taxon_Orig_Common,Taxon_Orig_Sci,NonTarget,source_MPCA,source_RedLake,Comment,FishTaxaID,OTU_BCG_Common,OTU_IBI_Common,OTU_BCG_Sci,OTU_IBI_Sci,SciID,Kingdom,Phylum,Class,Order,Family,Genus,Species
,Atlantic Salmon,Salmo salar,,MN BCG Access db,,,2,Atlantic Salmon,Atlantic Salmon,Salmo salar,Salmo salar,Salmo salar,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salmo,salar
,Slimy Sculpin,Cottus cognatus,,MN BCG Access db,,,19,Slimy Sculpin,Slimy Sculpin,Cottus cognatus,Cottus cognatus,Cottus cognatus,Animalia,Chordata,Osteichthyes,Scorpaeniformes,Cottidae,Cottus,cognatus
,American brook lamprey,Lethenteron appendix,,MN BCG Access db,,,21,American brook lamprey,American brook lamprey,Lethenteron appendix,Lethenteron appendix,Lethenteron appendix,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,Lethenteron,appendix
,American eel,Anguilla rostrata,,MN BCG Access db,,,22,American eel,American eel,Anguilla rostrata,Anguilla rostrata,Anguilla rostrata,Animalia,Chordata,Osteichthyes,Anguilliformes,Anguillidae,Anguilla,rostrata
,Banded darter,Etheostoma zonale,,MN BCG Access db,,,23,Banded darter,Banded darter,Etheostoma zonale,Etheostoma zonale,Etheostoma zonale,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,zonale
,Banded killifish,Fundulus diaphanus,,MN BCG Access db,,,24,Banded killifish,Banded killifish,Fundulus diaphanus,Fundulus diaphanus,Fundulus diaphanus,Animalia,Chordata,Osteichthyes,Atheriniformes,Cyprinodontidae,Fundulus,diaphanus
,Banded sunfish,Enneacanthus obesus,,MN BCG Access db,,,25,Banded sunfish,Banded sunfish,Enneacanthus obesus,Enneacanthus obesus,Enneacanthus obesus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Enneacanthus,obesus
,Black crappie,Pomoxis nigromaculatus,,MN BCG Access db,,,26,Black crappie,Black crappie,Pomoxis nigromaculatus,Pomoxis nigromaculatus,Pomoxis nigromaculatus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,nigromaculatus
,western blacknose dace,Rhinichthys obtusus,,MN BCG Access db,,,27,western blacknose dace,western blacknose dace,Rhinichthys obtusus,Rhinichthys obtusus,Rhinichthys obtusus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Rhinichthys,obtusus
,Bluegill,Lepomis macrochirus,,MN BCG Access db,,,28,Bluegill,Bluegill,Lepomis macrochirus,Lepomis macrochirus,Lepomis macrochirus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,macrochirus
,Bluespotted sunfish,Enneacanthus gloriosus,,MN BCG Access db,,,29,Bluespotted sunfish,Bluespotted sunfish,Enneacanthus gloriosus,Enneacanthus gloriosus,Enneacanthus gloriosus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Enneacanthus,gloriosus
,Bluntnose minnow,Pimephales notatus,,MN BCG Access db,,,30,Bluntnose minnow,Bluntnose minnow,Pimephales notatus,Pimephales notatus,Pimephales notatus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Pimephales,notatus
,Brook lamprey,Lampetra,,MN BCG Access db,,,31,Brook lamprey,Brook lamprey,Lampetra,Lampetra,Lampetra,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,Lampetra,
,Brook trout,Salvelinus fontinalis,,MN BCG Access db,,,32,Brook trout,Brook trout,Salvelinus fontinalis,Salvelinus fontinalis,Salvelinus fontinalis,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salvelinus,fontinalis
,Brown bullhead,Ameiurus nebulosus,,MN BCG Access db,,,33,Brown bullhead,Brown bullhead,Ameiurus nebulosus,Ameiurus nebulosus,Ameiurus nebulosus,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,nebulosus
,Brown trout,Salmo trutta,,MN BCG Access db,,,34,Brown trout,Brown trout,Salmo trutta,Salmo trutta,Salmo trutta,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salmo,trutta
,Central stoneroller,Campostoma anomalum,,MN BCG Access db,,,35,Central stoneroller,Central stoneroller,Campostoma anomalum,Campostoma anomalum,Campostoma anomalum,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Campostoma,anomalum
,Chain pickerel,Esox niger,,MN BCG Access db,,,36,Chain pickerel,Chain pickerel,Esox niger,Esox niger,Esox niger,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,niger
,Channel catfish,Ictalurus punctatus,,MN BCG Access db,,,37,Channel catfish,Channel catfish,Ictalurus punctatus,Ictalurus punctatus,Ictalurus punctatus,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ictalurus,punctatus
,Checkered sculpin,Cottus sp.,,MN BCG Access db,,,38,Checkered sculpin,Checkered sculpin,Cottus sp.,Cottus sp.,Cottus sp.,Animalia,Chordata,Osteichthyes,Perciformes,Cottidae,Cottus,
,Comely shiner,Notropis amoenus,,MN BCG Access db,,,39,Comely shiner,Comely shiner,Notropis amoenus,Notropis amoenus,Notropis amoenus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,amoenus
,Common carp,Cyrpinus carpio,,MN BCG Access db,,,40,Common carp,Common carp,Cyrpinus carpio,Cyrpinus carpio,Cyrpinus carpio,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyrpinus,carpio
,Common shiner,Luxilus cornutus,,MN BCG Access db,,,41,Common shiner,Common shiner,Luxilus cornutus,Luxilus cornutus,Luxilus cornutus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Luxilus,cornutus
,Creek chub,Semotilus atromaculatus,,MN BCG Access db,,,42,Creek chub,Creek chub,Semotilus atromaculatus,Semotilus atromaculatus,Semotilus atromaculatus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Semotilus,atromaculatus
,Creek chubsucker,Erimyzon oblongus,,MN BCG Access db,,,43,Creek chubsucker,Creek chubsucker,Erimyzon oblongus,Erimyzon oblongus,Erimyzon oblongus,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Erimyzon,oblongus
,Cutlips minnow,Exoglossum maxillingua,,MN BCG Access db,,,44,Cutlips minnow,Cutlips minnow,Exoglossum maxillingua,Exoglossum maxillingua,Exoglossum maxillingua,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Exoglossum,maxillingua
,Eastern Mosquitofish,Gambusia holbrooki,,MN BCG Access db,,,45,Eastern Mosquitofish,Eastern Mosquitofish,Gambusia holbrooki,Gambusia holbrooki,Gambusia holbrooki,Animalia,Chordata,Osteichthyes,Atheriniformes,Poeciliidae,Gambusia,holbrooki
,Eastern mudminnow,Umbra pygmaea,,MN BCG Access db,,,46,Eastern mudminnow,Eastern mudminnow,Umbra pygmaea,Umbra pygmaea,Umbra pygmaea,Animalia,Chordata,Osteichthyes,Salmoniformes,Umbridae,Umbra,pygmaea
,Eastern silvery minnow,Hybognathus regius,,MN BCG Access db,,,47,Eastern silvery minnow,Eastern silvery minnow,Hybognathus regius,Hybognathus regius,Hybognathus regius,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Hybognathus,regius
,Fallfish,Semotilus corporalis,,MN BCG Access db,,,48,Fallfish,Fallfish,Semotilus corporalis,Semotilus corporalis,Semotilus corporalis,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Semotilus,corporalis
,Fantail darter,Etheostoma flabellare,,MN BCG Access db,,,49,Fantail darter,Fantail darter,Etheostoma flabellare,Etheostoma flabellare,Etheostoma flabellare,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,flabellare
,Fathead minnow,Pimephales promelas,,MN BCG Access db,,,50,Fathead minnow,Fathead minnow,Pimephales promelas,Pimephales promelas,Pimephales promelas,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Pimephales,promelas
,Flier,Centrarchus macropterus,,MN BCG Access db,,,51,Flier,Flier,Centrarchus macropterus,Centrarchus macropterus,Centrarchus macropterus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Centrarchus,macropterus
,Gizzard shad,Dorosoma cepedianum,,MN BCG Access db,,,52,Gizzard shad,Gizzard shad,Dorosoma cepedianum,Dorosoma cepedianum,Dorosoma cepedianum,Animalia,Chordata,Osteichthyes,,Clupeidae,Dorosoma,cepedianum
,Glassy darter,Etheostoma vitreum,,MN BCG Access db,,,53,Glassy darter,Glassy darter,Etheostoma vitreum,Etheostoma vitreum,Etheostoma vitreum,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,vitreum
,Golden redhorse,Moxostoma erythrurum,,MN BCG Access db,,,54,Golden redhorse,Golden redhorse,Moxostoma erythrurum,Moxostoma erythrurum,Moxostoma erythrurum,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,erythrurum
,Golden shiner,Notemigonus crysoleucas,,MN BCG Access db,,,55,Golden shiner,Golden shiner,Notemigonus crysoleucas,Notemigonus crysoleucas,Notemigonus crysoleucas,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notemigonus,crysoleucas
,Goldfish,Carassius auratus,,MN BCG Access db,,,56,Goldfish,Goldfish,Carassius auratus,Carassius auratus,Carassius auratus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Carassius,auratus
,Green sunfish,Lepomis cyanellus,,MN BCG Access db,,,57,Green sunfish,Green sunfish,Lepomis cyanellus,Lepomis cyanellus,Lepomis cyanellus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,cyanellus
,Greenside darter,Etheostoma blennioides,,MN BCG Access db,,,58,Greenside darter,Greenside darter,Etheostoma blennioides,Etheostoma blennioides,Etheostoma blennioides,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,blennioides
,Inland silverside,Menidia beryllina,,MN BCG Access db,,,59,Inland silverside,Inland silverside,Menidia beryllina,Menidia beryllina,Menidia beryllina,Animalia,Chordata,Osteichthyes,,Atherinidae,Menidia,beryllina
,Ironcolor shiner,Notropis chalybaeus,,MN BCG Access db,,,60,Ironcolor shiner,Ironcolor shiner,Notropis chalybaeus,Notropis chalybaeus,Notropis chalybaeus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,chalybaeus
,Johnny darter,Etheostoma nigrum,,MN BCG Access db,,,61,Johnny darter,Johnny darter,Etheostoma nigrum,Etheostoma nigrum,Etheostoma nigrum,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,nigrum
,Largemouth bass,Micropterus salmoides,,MN BCG Access db,,,62,Largemouth bass,Largemouth bass,Micropterus salmoides,Micropterus salmoides,Micropterus salmoides,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus,salmoides
,Least brook lamprey,Lampetra aepyptera,,MN BCG Access db,,,63,Least brook lamprey,Least brook lamprey,Lampetra aepyptera,Lampetra aepyptera,Lampetra aepyptera,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,Lampetra,aepyptera
,Logperch,Percina caprodes,,MN BCG Access db,,,64,Logperch,Logperch,Percina caprodes,Percina caprodes,Percina caprodes,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,caprodes
,northern sunfish,Lepomis megalotis,,MN BCG Access db,,,65,northern sunfish,northern sunfish,Lepomis megalotis,Lepomis megalotis,Lepomis megalotis,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,megalotis
,Longnose dace,Rhinichthys cataractae,,MN BCG Access db,,,66,Longnose dace,Longnose dace,Rhinichthys cataractae,Rhinichthys cataractae,Rhinichthys cataractae,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Rhinichthys,cataractae
,Longnose gar,Lepisosteus osseus,,MN BCG Access db,,,67,Longnose gar,Longnose gar,Lepisosteus osseus,Lepisosteus osseus,Lepisosteus osseus,Animalia,Chordata,Osteichthyes,Lepisosteiformes,Lepisosteidae,Lepisosteus,osseus
,Margined madtom,Noturus insignis,,MN BCG Access db,,,68,Margined madtom,Margined madtom,Noturus insignis,Noturus insignis,Noturus insignis,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Noturus,insignis
,Mottled sculpin,Cottus bairdi,,MN BCG Access db,,,69,Mottled sculpin,Mottled sculpin,Cottus bairdi,Cottus bairdi,Cottus bairdi,Animalia,Chordata,Osteichthyes,Perciformes,Cottidae,Cottus,bairdi
,Mud sunfish,Acantharchus pomotis,,MN BCG Access db,,,70,Mud sunfish,Mud sunfish,Acantharchus pomotis,Acantharchus pomotis,Acantharchus pomotis,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Acantharchus,pomotis
,Mummichog,Fundulus heteroclitus,,MN BCG Access db,,,71,Mummichog,Mummichog,Fundulus heteroclitus,Fundulus heteroclitus,Fundulus heteroclitus,Animalia,Chordata,Osteichthyes,Atheriniformes,Cyprinodontidae,Fundulus,heteroclitus
,Northern hogsucker,Hypentelium nigricans,,MN BCG Access db,,,72,Northern hogsucker,Northern hogsucker,Hypentelium nigricans,Hypentelium nigricans,Hypentelium nigricans,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Hypentelium,nigricans
,Northern pike,Esox lucius,,MN BCG Access db,,,73,Northern pike,Northern pike,Esox lucius,Esox lucius,Esox lucius,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,lucius
,northern pearl dace,Margariscus margarita,,MN BCG Access db,,,74,northern pearl dace,northern pearl dace,Margariscus margarita,Margariscus margarita,Margariscus margarita,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Margariscus,margarita
,Pirate perch,Aphredoderus sayanus,,MN BCG Access db,,,75,Pirate perch,Pirate perch,Aphredoderus sayanus,Aphredoderus sayanus,Aphredoderus sayanus,Animalia,Chordata,Osteichthyes,Percopsiformes,Aphredoderidae,Aphredoderus,sayanus
,Potomic sculpin,Cottus girardi,,MN BCG Access db,,,76,Potomic sculpin,Potomic sculpin,Cottus girardi,Cottus girardi,Cottus girardi,Animalia,Chordata,Osteichthyes,Perciformes,Cottidae,Cottus,girardi
,Pumpkinseed,Lepomis gibbosus,,MN BCG Access db,,,77,Pumpkinseed,Pumpkinseed,Lepomis gibbosus,Lepomis gibbosus,Lepomis gibbosus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,gibbosus
,Rainbow trout,Oncorhynchus mykiss,,MN BCG Access db,,,78,Rainbow trout,Rainbow trout,Oncorhynchus mykiss,Oncorhynchus mykiss,Oncorhynchus mykiss,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,mykiss
,Rainwater killifish,Lucania parva,,MN BCG Access db,,,79,Rainwater killifish,Rainwater killifish,Lucania parva,Lucania parva,Lucania parva,Animalia,Chordata,Osteichthyes,,Fundulidae,Lucania,parva
,Redbreast sunfish,Lepomis auritus,,MN BCG Access db,,,80,Redbreast sunfish,Redbreast sunfish,Lepomis auritus,Lepomis auritus,Lepomis auritus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,auritus
,Redfin pickerel,Esox americanus americanus,,MN BCG Access db,,,81,Redfin pickerel,Redfin pickerel,Esox americanus americanus,Esox americanus americanus,Esox americanus americanus,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,americanus americanus
,River chub,Nocomis micropogon,,MN BCG Access db,,,82,River chub,River chub,Nocomis micropogon,Nocomis micropogon,Nocomis micropogon,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Nocomis,micropogon
,Rock bass,Ambloplites rupestris,,MN BCG Access db,,,83,Rock bass,Rock bass,Ambloplites rupestris,Ambloplites rupestris,Ambloplites rupestris,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Ambloplites,rupestris
,Rosyface shiner,Notropis rubellus,,MN BCG Access db,,,84,Rosyface shiner,Rosyface shiner,Notropis rubellus,Notropis rubellus,Notropis rubellus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,rubellus
,Rosyside dace,Clinostomus funduloides,,MN BCG Access db,,,85,Rosyside dace,Rosyside dace,Clinostomus funduloides,Clinostomus funduloides,Clinostomus funduloides,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Clinostomus,funduloides
,Satinfin shiner,Cyprinella analostana,,MN BCG Access db,,,86,Satinfin shiner,Satinfin shiner,Cyprinella analostana,Cyprinella analostana,Cyprinella analostana,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinella,analostana
,Shield darter,Percina peltata,,MN BCG Access db,,,87,Shield darter,Shield darter,Percina peltata,Percina peltata,Percina peltata,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,peltata
,Shorthead redhorse,Moxostoma macrolepidotum,,MN BCG Access db,,,88,Shorthead redhorse,Shorthead redhorse,Moxostoma macrolepidotum,Moxostoma macrolepidotum,Moxostoma macrolepidotum,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,macrolepidotum
,Silverjaw minnow,Notropis buccatus,,MN BCG Access db,,,89,Silverjaw minnow,Silverjaw minnow,Notropis buccatus,Notropis buccatus,Notropis buccatus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,buccatus
,Smallmouth bass,Micropterus dolomieu,,MN BCG Access db,,,91,Smallmouth bass,Smallmouth bass,Micropterus dolomieu,Micropterus dolomieu,Micropterus dolomieu,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus,dolomieu
,Spot,Leiostomus xanthurus,,MN BCG Access db,,,92,Spot,Spot,Leiostomus xanthurus,Leiostomus xanthurus,Leiostomus xanthurus,Animalia,Chordata,Osteichthyes,Perciformes,Sciaenidae,Leiostomus,xanthurus
,Spotfin shiner,Cyprinella spiloptera,,MN BCG Access db,,,93,Spotfin shiner,Spotfin shiner,Cyprinella spiloptera,Cyprinella spiloptera,Cyprinella spiloptera,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinella,spiloptera
,Spottail shiner,Notropis hudsonius,,MN BCG Access db,,,94,Spottail shiner,Spottail shiner,Notropis hudsonius,Notropis hudsonius,Notropis hudsonius,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,hudsonius
,Stonecat,Noturus flavus,,MN BCG Access db,,,95,Stonecat,Stonecat,Noturus flavus,Noturus flavus,Noturus flavus,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Noturus,flavus
,Striped bass,Morone saxatilis,,MN BCG Access db,,,96,Striped bass,Striped bass,Morone saxatilis,Morone saxatilis,Morone saxatilis,Animalia,Chordata,Osteichthyes,Perciformes,Moronidae,Morone,saxatilis
,Striped killifish,Fundulus majalis,,MN BCG Access db,,,97,Striped killifish,Striped killifish,Fundulus majalis,Fundulus majalis,Fundulus majalis,Animalia,Chordata,Osteichthyes,Atheriniformes,Fundulidae,Fundulus,majalis
,Striped shiner,Luxilus chrysocephalus,,MN BCG Access db,,,98,Striped shiner,Striped shiner,Luxilus chrysocephalus,Luxilus chrysocephalus,Luxilus chrysocephalus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Luxilus,chrysocephalus
,Swallowtail shiner,Notropis procne,,MN BCG Access db,,,99,Swallowtail shiner,Swallowtail shiner,Notropis procne,Notropis procne,Notropis procne,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,procne
,Swamp darter,Etheostoma fusiforme,,MN BCG Access db,,,100,Swamp darter,Swamp darter,Etheostoma fusiforme,Etheostoma fusiforme,Etheostoma fusiforme,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,fusiforme
,Tadpole madtom,Noturus gyrinus,,MN BCG Access db,,,101,Tadpole madtom,Tadpole madtom,Noturus gyrinus,Noturus gyrinus,Noturus gyrinus,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Noturus,gyrinus
,Tesselated darter,Etheostoma olmstedi,,MN BCG Access db,,,102,Tesselated darter,Tesselated darter,Etheostoma olmstedi,Etheostoma olmstedi,Etheostoma olmstedi,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,olmstedi
,Warmouth,Lepomis gulosus,,MN BCG Access db,,,103,Warmouth,Warmouth,Lepomis gulosus,Lepomis gulosus,Lepomis gulosus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,gulosus
,watercolumn fish,Osteichthyes,,MN BCG Access db,,,104,watercolumn fish,watercolumn fish,Osteichthyes,Osteichthyes,Osteichthyes,Animalia,Chordata,Osteichthyes,,,,
,White catfish,Ameiurus catus,,MN BCG Access db,,,105,White catfish,White catfish,Ameiurus catus,Ameiurus catus,Ameiurus catus,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,catus
,White crappie,Pomoxis annularis,,MN BCG Access db,,,106,White crappie,White crappie,Pomoxis annularis,Pomoxis annularis,Pomoxis annularis,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,annularis
,White perch,Morone americana,,MN BCG Access db,,,107,White perch,White perch,Morone americana,Morone americana,Morone americana,Animalia,Chordata,Osteichthyes,Perciformes,Moronidae,Morone,americana
